A;VALORE DELLA PRODUZIONE;;0,00 
A.1;ricavi delle vendite e delle prestazioni;;0,00 
A.2;variaz. riman. prodotti in lav., semil., finiti.;;0,00 
A.3;variaz. lavori in corso su ordinazione;;0,00 
A.4;incrementi di immobilizzazioni per lavori interni;;0,00 
A.5;altri ricavi e proventi con separata ind. contributi c/e;;0,00 
B;COSTI DELLA PRODUZIONE;0,00 ;
B.6;per mat. prime, sussidiarie, consumo e merci;0,00 ;
B.7;per servizi;0,00 ;
B.8;per godimento di beni di terzi;0,00 ;
B.9;per il personale;0,00 ;
B.9.a;salari e stipendi;0,00 ;
B.9.b;oneri sociali;0,00 ;
B.9.c;trattamento fine rapporto;0,00 ;
B.9.d;trattamento quiescenza e simili;0,00 ;
B.9.e;altri costi;0,00 ;
B.10;Ammortamenti e svalutazioni;0,00 ;
B.10.a;amm.to immobilizzazioni. immateriali;0,00 ;
B.10.b;amm.to immobilizzazioni materiali;0,00 ;
B.10.c;altre svalutazioni delle immobilizzazioni;0,00 ;
B.10.b;svalut. crediti dell'attivo circolante e disp. liquide;0,00 ;
B.11;variaz. mat. prime, di consumo, merci, ecc.;0,00 ;
B.12;accantonamenti per rischi;0,00 ;
B.13;altri accantonamenti;0,00 ;
B.14;oneri diversi di gestione;0,00 ;
C;PROVENTI E ONERI FINANZIARI;;0,00 
C.15;proventi da partecipazioni;;0,00 
C.16;altri proventi finanziari;;0,00 
C.16.a;da crediti iscritti nelle immobilizzazioni;;0,00 
C.16.b;da titoli iscritti nelle imm. che non sono partecipazioni;;0,00 
C.16.c;da titoli iscritti nell'attivo circolante;;0,00 
C.16.d;proventi diversi dai precedenti;;0,00 
C.17;Interessi e altri oneri finanziari;0,00 ;
C.17.2;utili e perdite su cambi;0,00 ;
D;RETTIFICHE DI VALORE DI ATTIVITA' FINANZIARIE;;0,00 
D.18;rivalutazioni di attività finanziarie;;0,00 
D.18.a;di partecipazioni;;0,00 
D.18.b;di imm.ni finanziarie  che non sono partecipazioni;;0,00 
D.18.c;di titoli iscritti nell'attivo circolante che non sono partecipazioni;;0,00 
D.19;svalutazioni di attività finanziarie;0,00 ;
D.19.a;di partecipazioni;0,00 ;
D.19.b;di imm.ni finanziarie  che non sono partecipazioni;0,00 ;
D.19.c;di titoli iscritti nell'attivo circolante che non sono partecipazioni;0,00 ;
E;PROVENTI E ONERI STRAORDINARI;;0,00 
E.20;proventi con separata indicazione delle plusvalenze;;0,00 
E.21;oneri con separata indicazione delle minusvalenze;0,00 ;
