47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;196960,47;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;196960,47;
47.01.01;Vendita prodotti finiti;0,00;196960,47;
53;ALTRI RICAVI E PROVENTI;0,00;3872,51;
53.01;PROVENTI DIVERSI;0,00;3872,51;
53.01.01;Proventi immobiliari;0,00;3800,00;
53.01.01.01;Proventi da immobili strumentali;0,00;3800,00;
53.01.29;Arrotondamenti attivi diversi;0,00;2,51;
53.01.51;Altri ricavi e proventi;0,00;70,00;
53.01.51.01;Altri ricavi e proventi imponibili;0,00;70,00;
55;ACQUISTI DI BENI;174461,46;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;166837,25;0,00;
55.01.01;Acquisti materie prime;158865,00;0,00;
55.01.05;Acquisti materiali di consumo;807,70;0,00;
55.01.09;Confezioni e imballi;7164,55;0,00;
55.07;ACQUISTI DIVERSI;7624,21;0,00;
55.07.13;Materiali manutenzioni diverse;7476,60;0,00;
55.07.23;Indumenti da lavoro;147,61;0,00;
57;ACQUISTI DI SERVIZI;16910,09;0,00;
57.03;COSTI ACCESSORI PER VENDITE;8380,00;0,00;
57.03.01;Trasporti su vendite;8380,00;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;6274,94;0,00;
57.11.03;Spese manutenzione attrezzature proprie;6274,94;0,00;
57.13;MANUTENZIONE FABBRICATI;2255,15;0,00;
57.13.01;Spese manutenzione fabbricati;2255,15;0,00;
57.13.01.01;Spese manut.fabbricati strumentali;2255,15;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;1669,24;0,00;
61.03;ALTRE PRESTAZIONI DI LAVORO;1669,24;0,00;
61.03.01;Compensi/rimborsi co.co.co.;1439,00;0,00;
61.03.01.01;Compensi/rimborsi co.co.co.afferenti;1439,00;0,00;
61.03.07;Contributi previdenziali co.co.co.;230,24;0,00;
61.03.07.01;Contrib.previd. co.co.co. afferenti;230,24;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;771,32;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;771,32;0,00;
63.05.11;Altre spese amministrative;546,00;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;140,00;0,00;
63.05.13.03;Premi di assicuraz.non obblig.indeducib.;140,00;0,00;
63.05.51;Spese generali varie;85,32;0,00;Centro imputazione non assegnato
65;COSTI PER GODIMENTO BENI DI TERZI;4550,00;0,00;
65.01;GESTIONE IMMOBILI;2650,00;0,00;
65.01.05;Canoni locazione immobili;2650,00;0,00;
65.01.05.01;Canoni locazione immobili deducibili;2650,00;0,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;1900,00;0,00;
65.05.15;Canoni noleggio attrezzature;1900,00;0,00;
67;COSTI PERSONALE DIPENDENTE;10694,20;0,00;
67.01;COSTI PERSONALE DIPENDENTE;10624,20;0,00;
67.01.01;Retribuzioni lorde;8440,62;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;7315,47;0,00;
67.01.01.05;Retribuzioni lorde apprendisti;1125,15;0,00;
67.01.03;Contributi INPS;1980,60;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;1962,26;0,00;
67.01.03.05;Contributi INPS apprendisti;18,34;0,00;
67.01.07;Quote TFR dipendenti;126,76;0,00;
67.01.07.21;Quote TFR (Qu.I.R.) dipendenti ordinari;126,76;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;76,22;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;63,51;0,00;
67.01.09.03;Contrib.altri enti previd/ass.apprend.;12,71;0,00;
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;70,00;0,00;
67.03.25;Visite mediche periodiche ai dipendenti;70,00;0,00;
71;ONERI DIVERSI DI GESTIONE;133,57;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;28,57;0,00;
71.03.09;Cancelleria varia;26,02;0,00;
71.03.17;Arrotondamenti passivi diversi;2,55;0,00;
71.07;COMP.NEG.DA EVENTI STRAORD./ES.PREC.;105,00;0,00;
71.07.01;Minusvalenze da eventi straordinari;105,00;0,00;
71.07.01.09;Minus.e perdite da eventi straordinari;105,00;0,00;
