47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;408898,43;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;408898,43;
47.01.01;Vendita prodotti finiti;0,00;405433,43;
47.01.03;Vendita merci;0,00;3465,00;
53;ALTRI RICAVI E PROVENTI;0,00;10159,06;
53.01;PROVENTI DIVERSI;0,00;10159,06;
53.01.01;Proventi immobiliari;0,00;7600,00;
53.01.01.01;Proventi da immobili strumentali;0,00;7600,00;
53.01.29;Arrotondamenti attivi diversi;0,00;5,06;
53.01.51;Altri ricavi e proventi;0,00;2554,00;
53.01.51.01;Altri ricavi e proventi imponibili;0,00;2554,00;
55;ACQUISTI DI BENI;249568,27;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;241984,88;0,00;
55.01.01;Acquisti materie prime;228521,94;0,00;
55.01.05;Acquisti materiali di consumo;1256,45;0,00;
55.01.09;Confezioni e imballi;12206,49;0,00;
55.07;ACQUISTI DIVERSI;7583,39;0,00;
55.07.13;Materiali manutenzioni diverse;7476,60;0,00;
55.07.23;Indumenti da lavoro;106,79;0,00;
57;ACQUISTI DI SERVIZI;27478,23;0,00;
57.03;COSTI ACCESSORI PER VENDITE;16430,00;0,00;
57.03.01;Trasporti su vendite;16430,00;0,00;
57.09;COSTI PER UTENZE;20,25;0,00;
57.09.01;Spese telefoniche ordinarie;20,25;0,00;
57.09.01.01;Spese telefoniche ordinarie;20,25;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;8772,83;0,00;
57.11.03;Spese manutenzione attrezzature proprie;8772,83;0,00;
57.13;MANUTENZIONE FABBRICATI;2255,15;0,00;
57.13.01;Spese manutenzione fabbricati;2255,15;0,00;
57.13.01.01;Spese manut.fabbricati strumentali;2255,15;0,00;
59;GESTIONE VEICOLI AZIENDALI;475,41;0,00;
59.01;ESERCIZIO AUTOMEZZI;475,41;0,00;
59.01.01;Carburanti e lubrificanti automezzi;327,87;0,00;
59.01.13;Spese manutenzione automezzi propri;147,54;0,00;
59.01.13.03;Spese manutenzione automezzi propri;147,54;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;3339,64;0,00;
61.03;ALTRE PRESTAZIONI DI LAVORO;3339,64;0,00;
61.03.01;Compensi/rimborsi co.co.co.;2879,00;0,00;Centro imputazione non assegnato
61.03.01.01;Compensi/rimborsi co.co.co.afferenti;2879,00;0,00;
61.03.07;Contributi previdenziali co.co.co.;460,64;0,00;
61.03.07.01;Contrib.previd. co.co.co. afferenti;460,64;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1840,27;0,00;
63.01;SPESE COMMERCIALI E DI VIAGGIO;95,82;0,00;
63.01.21;Spese rappres.deduc.(con limite ricavi);95,82;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;1744,45;0,00;
63.05.07;Servizi contabili di terzi;637,32;0,00;
63.05.11;Altre spese amministrative;546,00;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;280,00;0,00;
63.05.13.03;Premi di assicuraz.non obblig.indeducib.;280,00;0,00;
63.05.25;Assistenza software;195,81;0,00;
63.05.51;Spese generali varie;85,32;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;9100,00;0,00;
65.01;GESTIONE IMMOBILI;5300,00;0,00;
65.01.05;Canoni locazione immobili;5300,00;0,00;
65.01.05.01;Canoni locazione immobili deducibili;5300,00;0,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;3800,00;0,00;
65.05.15;Canoni noleggio attrezzature;3800,00;0,00;
67;COSTI PERSONALE DIPENDENTE;20186,36;0,00;
67.01;COSTI PERSONALE DIPENDENTE;20116,36;0,00;
67.01.01;Retribuzioni lorde;15716,02;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;14461,24;0,00;
67.01.01.05;Retribuzioni lorde apprendisti;1254,78;0,00;
67.01.03;Contributi INPS;3900,48;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;3879,82;0,00;
67.01.03.05;Contributi INPS apprendisti;20,66;0,00;
67.01.07;Quote TFR dipendenti;352,56;0,00;
67.01.07.07;Quote TFR apprendisti (in azienda);98,20;0,00;
67.01.07.21;Quote TFR (Qu.I.R.) dipendenti ordinari;254,36;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;147,30;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;126,25;0,00;
67.01.09.03;Contrib.altri enti previd/ass.apprend.;21,05;0,00;
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;70,00;0,00;
67.03.25;Visite mediche periodiche ai dipendenti;70,00;0,00;
71;ONERI DIVERSI DI GESTIONE;0,00;91,77;
71.01;ONERI TRIBUTARI;0,00;228,00;Centro imputazione non assegnato
71.01.07;Imposta di registro e concess. govern.;0,00;228,00;
71.03;ALTRI COSTI DI ESERCIZIO;31,23;0,00;
71.03.09;Cancelleria varia;26,02;0,00;
71.03.17;Arrotondamenti passivi diversi;5,21;0,00;
71.07;COMP.NEG.DA EVENTI STRAORD./ES.PREC.;105,00;0,00;
71.07.01;Minusvalenze da eventi straordinari;105,00;0,00;
71.07.01.09;Minus.e perdite da eventi straordinari;105,00;0,00;
