47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;593786,40;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;593186,40;
47.01.01;Vendita prodotti finiti;0,00;587988,90;
47.01.03;Vendita merci;0,00;5197,50;
47.09;RICAVI ACCESSORI DI VENDITA;0,00;600,00;
47.09.01;Rivalsa spese di trasporto e installaz.;0,00;600,00;
53;ALTRI RICAVI E PROVENTI;0,00;13959,06;
53.01;PROVENTI DIVERSI;0,00;13959,06;
53.01.01;Proventi immobiliari;0,00;11400,00;
53.01.01.01;Proventi da immobili strumentali;0,00;11400,00;
53.01.29;Arrotondamenti attivi diversi;0,00;5,06;
53.01.51;Altri ricavi e proventi;0,00;2554,00;
53.01.51.01;Altri ricavi e proventi imponibili;0,00;2554,00;
55;ACQUISTI DI BENI;287639,70;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;274962,31;0,00;
55.01.01;Acquisti materie prime;260311,94;0,00;
55.01.05;Acquisti materiali di consumo;2443,88;0,00;
55.01.09;Confezioni e imballi;12206,49;0,00;
55.07;ACQUISTI DIVERSI;12677,39;0,00;
55.07.11;Materiali manutenz.impianti e macchinari;4979,50;0,00;
55.07.13;Materiali manutenzioni diverse;7591,10;0,00;
55.07.23;Indumenti da lavoro;106,79;0,00;
57;ACQUISTI DI SERVIZI;86101,34;0,00;
57.03;COSTI ACCESSORI PER VENDITE;25160,00;0,00;
57.03.01;Trasporti su vendite;25160,00;0,00;
57.09;COSTI PER UTENZE;46525,86;0,00;
57.09.01;Spese telefoniche ordinarie;78,05;0,00;
57.09.01.01;Spese telefoniche ordinarie;78,05;0,00;
57.09.03;Spese telefoniche radiomobili;36,63;0,00;
57.09.13;Energia elettrica;46376,92;0,00;
57.09.13.01;Energia elettrica;46376,92;0,00;
57.09.17;Acqua potabile;34,26;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;11935,33;0,00;
57.11.01;Spese manut.impianti e macchin.propri;3000,00;0,00;
57.11.03;Spese manutenzione attrezzature proprie;8935,33;0,00;
57.13;MANUTENZIONE FABBRICATI;2480,15;0,00;
57.13.01;Spese manutenzione fabbricati;2480,15;0,00;
57.13.01.01;Spese manut.fabbricati strumentali;2480,15;0,00;Centro imputazione non assegnato
59;GESTIONE VEICOLI AZIENDALI;648,69;0,00;
59.01;ESERCIZIO AUTOMEZZI;648,69;0,00;
59.01.01;Carburanti e lubrificanti automezzi;501,15;0,00;
59.01.13;Spese manutenzione automezzi propri;147,54;0,00;
59.01.13.03;Spese manutenzione automezzi propri;147,54;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;3885,64;0,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;546,00;0,00;
61.01.03;Consulenze tecniche;546,00;0,00;
61.03;ALTRE PRESTAZIONI DI LAVORO;3339,64;0,00;
61.03.01;Compensi/rimborsi co.co.co.;2879,00;0,00;
61.03.01.01;Compensi/rimborsi co.co.co.afferenti;2879,00;0,00;
61.03.07;Contributi previdenziali co.co.co.;460,64;0,00;
61.03.07.01;Contrib.previd. co.co.co. afferenti;460,64;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2562,27;0,00;
63.01;SPESE COMMERCIALI E DI VIAGGIO;95,82;0,00;
63.01.21;Spese rappres.deduc.(con limite ricavi);95,82;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;2466,45;0,00;
63.05.07;Servizi contabili di terzi;637,32;0,00;
63.05.11;Altre spese amministrative;1096,00;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;420,00;0,00;
63.05.13.03;Premi di assicuraz.non obblig.indeducib.;420,00;0,00;
63.05.23;Valori bollati;32,00;0,00;
63.05.25;Assistenza software;195,81;0,00;
63.05.51;Spese generali varie;85,32;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;13650,00;0,00;
65.01;GESTIONE IMMOBILI;7950,00;0,00;
65.01.05;Canoni locazione immobili;7950,00;0,00;
65.01.05.01;Canoni locazione immobili deducibili;7950,00;0,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;5700,00;0,00;
65.05.15;Canoni noleggio attrezzature;5700,00;0,00;
67;COSTI PERSONALE DIPENDENTE;20186,36;0,00;
67.01;COSTI PERSONALE DIPENDENTE;20116,36;0,00;
67.01.01;Retribuzioni lorde;15716,02;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;14461,24;0,00;
67.01.01.05;Retribuzioni lorde apprendisti;1254,78;0,00;
67.01.03;Contributi INPS;3900,48;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;3879,82;0,00;Centro imputazione non assegnato
67.01.03.05;Contributi INPS apprendisti;20,66;0,00;
67.01.07;Quote TFR dipendenti;352,56;0,00;
67.01.07.07;Quote TFR apprendisti (in azienda);98,20;0,00;
67.01.07.21;Quote TFR (Qu.I.R.) dipendenti ordinari;254,36;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;147,30;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;126,25;0,00;
67.01.09.03;Contrib.altri enti previd/ass.apprend.;21,05;0,00;
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;70,00;0,00;
67.03.25;Visite mediche periodiche ai dipendenti;70,00;0,00;
71;ONERI DIVERSI DI GESTIONE;0,00;91,77;
71.01;ONERI TRIBUTARI;0,00;228,00;
71.01.07;Imposta di registro e concess. govern.;0,00;228,00;
71.03;ALTRI COSTI DI ESERCIZIO;31,23;0,00;
71.03.09;Cancelleria varia;26,02;0,00;
71.03.17;Arrotondamenti passivi diversi;5,21;0,00;
71.07;COMP.NEG.DA EVENTI STRAORD./ES.PREC.;105,00;0,00;
71.07.01;Minusvalenze da eventi straordinari;105,00;0,00;
71.07.01.09;Minus.e perdite da eventi straordinari;105,00;0,00;
