47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;86326,63
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;8320,69
47.01.03;Vendita merci;0,00;8320,69
47.07;CORRISPETTIVI;0,00;78005,94
47.07.01;Corrispettivi;0,00;78005,94
47.07.01;VENDITA PRODUZIONE PROPRIA;0,00;78005,94
55;ACQUISTI DI BENI;29349,18;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;25155,78;
55.01.01;Acquisti materie prime;21761,80;
55.01.05;Acquisti materiali di consumo;1291,41;
55.01.07;Acquisti merci per la rivendita;148,17;
55.01.09;Confezioni e imballi;1945,39;
55.01.17;Acquisti materiali vari;9,01;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;695,20;
55.03.01;Acq.beni materiali per produz. servizi;695,20;
55.07;ACQUISTI DIVERSI;3498,20;
55.07.01;Acquisto beni strumentali inf.516,46;2835,88;
55.07.13;Materiali manutenzioni diverse;381,86;
55.07.51;Materiale vario di consumo;280,46;
57;ACQUISTI DI SERVIZI;4614,57;
57.01;SERVIZI PER LA PRODUZIONE;77,58;
57.01.51;Altri servizi per la produzione;77,58;
57.09;COSTI PER UTENZE;4095,89;
57.09.01;Spese telefoniche ordinarie;123,84;
57.09.03;Spese telefoniche radiomobili;793,55;
57.09.13;Energia elettrica;3100,39;
57.09.17;Acqua potabile;78,11;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;441,10;
57.11.01;Spese manut.impianti e macchin.propri;441,10;
59;GESTIONE VEICOLI AZIENDALI;116,01;
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;116,01;
59.03.15;Spese manutenzione veicoli propri;116,01;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1220,66;
63.01;SPESE COMMERCIALI E DI VIAGGIO;91,26;
63.01.13;Spese di viaggio;91,26;
63.05;SPESE AMMINISTRATIVE E GENERALI;1129,40;
63.05.07;Servizi contabili di terzi;360,00;
63.05.11;Altre spese amministrative;474,40;
63.05.13;Premi di assicurazioni non obbligatorie;291,00;
63.05.23;Valori bollati;4,00;
65;COSTI PER GODIMENTO BENI DI TERZI;7204,72;
65.01;GESTIONE IMMOBILI;6488,14;
65.01.05;Canoni locazione immobili;6488,14;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;410,58;
65.05.15;Canoni noleggio attrezzature;410,58;
65.07;CANONI E LICENZE SOFTWARE;306,00;
65.07.01;Canoni per utilizzo licenze software;306,00;
67;COSTI PERSONALE DIPENDENTE;13600,01;
67.01;COSTI PERSONALE DIPENDENTE;13600,01;
67.01.01;Retribuzioni lorde;10636,66;
67.01.03;Contributi INPS;2764,97;
67.01.09;Contrib.altri enti previdenz./assistenz.;198,38;
71;ONERI DIVERSI DI GESTIONE;265,61;
71.01;ONERI TRIBUTARI;65,00;
71.01.07;Imposta di registro e concess. govern.;65,00;
71.03;ALTRI COSTI DI ESERCIZIO;200,61;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
71.03.09;Cancelleria varia;200,61;
75;ONERI FINANZIARI;48,26;
75.01;ONERI FINANZIARI VERSO BANCHE;48,26;
75.01.07;Commissioni e spese bancarie;48,26;
75.03;ONERI FINANZIARI DIVERSI;0,00;
75.03.13;Interessi passivi versam.iva trimestrali;0,00;
80;AMMORTAMENTI;11153,86;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;730,91;
80.01.11;Amm.to costi di pubblicita';582,11;
80.01.53;Amm.to altre spese pluriennali;148,80;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;10422,95;
80.03.23;Amm.to ordinario impianti specifici;117,80;
80.03.27;Amm.to ordinario macchinari automatici;79,23;
80.03.29;Amm.to ordin.altri impianti e macchinari;384,42;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;544,34;
80.03.33;Amm.to ordinario attrezz.varia e minuta;326,01;
80.03.35;Amm.to ordinario mobili e arredi;6169,83;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;306,73;
80.03.47;Amm.to ordinario telefonia mobile;72,67;
80.03.49;Ammortamento ordinario veicoli;2421,92;
