47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;103866,10
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;9372,34
47.01.03;Vendita merci;0,00;9372,34
47.07;CORRISPETTIVI;0,00;94493,76
47.07.01;Corrispettivi;0,00;94493,76
47.07.01;VENDITA PRODUZIONE PROPRIA;0,00;94493,76
55;ACQUISTI DI BENI;33784,19;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;29568,09;
55.01.01;Acquisti materie prime;25209,58;
55.01.05;Acquisti materiali di consumo;1359,16;
55.01.07;Acquisti merci per la rivendita;206,25;
55.01.09;Confezioni e imballi;2784,09;
55.01.17;Acquisti materiali vari;9,01;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;717,90;
55.03.01;Acq.beni materiali per produz. servizi;717,90;
55.07;ACQUISTI DIVERSI;3498,20;
55.07.01;Acquisto beni strumentali inf.516,46;2835,88;
55.07.13;Materiali manutenzioni diverse;381,86;
55.07.51;Materiale vario di consumo;280,46;
57;ACQUISTI DI SERVIZI;5993,19;
57.01;SERVIZI PER LA PRODUZIONE;77,58;
57.01.51;Altri servizi per la produzione;77,58;
57.09;COSTI PER UTENZE;5474,51;
57.09.01;Spese telefoniche ordinarie;123,84;
57.09.03;Spese telefoniche radiomobili;793,55;
57.09.13;Energia elettrica;4145,51;
57.09.17;Acqua potabile;411,61;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;441,10;
57.11.01;Spese manut.impianti e macchin.propri;441,10;
59;GESTIONE VEICOLI AZIENDALI;116,01;
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;116,01;
59.03.15;Spese manutenzione veicoli propri;116,01;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1402,68;
63.01;SPESE COMMERCIALI E DI VIAGGIO;91,26;
63.01.13;Spese di viaggio;91,26;
63.05;SPESE AMMINISTRATIVE E GENERALI;1311,42;
63.05.07;Servizi contabili di terzi;485,75;
63.05.11;Altre spese amministrative;474,40;
63.05.13;Premi di assicurazioni non obbligatorie;347,27;
63.05.23;Valori bollati;4,00;
65;COSTI PER GODIMENTO BENI DI TERZI;8644,43;
65.01;GESTIONE IMMOBILI;7573,54;
65.01.05;Canoni locazione immobili;7573,54;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;764,89;
65.05.15;Canoni noleggio attrezzature;764,89;
65.07;CANONI E LICENZE SOFTWARE;306,00;
65.07.01;Canoni per utilizzo licenze software;306,00;
67;COSTI PERSONALE DIPENDENTE;16049,41;
67.01;COSTI PERSONALE DIPENDENTE;16049,41;
67.01.01;Retribuzioni lorde;12529,35;
67.01.03;Contributi INPS;3277,03;
67.01.09;Contrib.altri enti previdenz./assistenz.;243,03;
71;ONERI DIVERSI DI GESTIONE;354,03;
71.01;ONERI TRIBUTARI;65,00;
71.01.07;Imposta di registro e concess. govern.;65,00;
71.03;ALTRI COSTI DI ESERCIZIO;289,03;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
71.03.09;Cancelleria varia;280,61;
71.03.11;Abbonamenti, libri e pubblicazioni;8,42;
75;ONERI FINANZIARI;48,26;
75.01;ONERI FINANZIARI VERSO BANCHE;48,26;
75.01.07;Commissioni e spese bancarie;48,26;
75.03;ONERI FINANZIARI DIVERSI;0,00;
75.03.13;Interessi passivi versam.iva trimestrali;0,00;
80;AMMORTAMENTI;13040,40;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;856,16;
80.01.11;Amm.to costi di pubblicita';681,86;
80.01.53;Amm.to altre spese pluriennali;174,30;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;12184,24;
80.03.23;Amm.to ordinario impianti specifici;118,75;
80.03.27;Amm.to ordinario macchinari automatici;92,80;
80.03.29;Amm.to ordin.altri impianti e macchinari;450,26;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;637,34;
80.03.33;Amm.to ordinario attrezz.varia e minuta;381,66;
80.03.35;Amm.to ordinario mobili e arredi;7223,02;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;359,29;
80.03.47;Amm.to ordinario telefonia mobile;85,13;
80.03.49;Ammortamento ordinario veicoli;2835,99;
