47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;127248,69
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;12169,14
47.01.03;Vendita merci;0,00;12169,14
47.07;CORRISPETTIVI;0,00;115079,55
47.07.01;Corrispettivi;0,00;115079,55
47.07.01;VENDITA PRODUZIONE PROPRIA;0,00;115079,55
53;ALTRI RICAVI E PROVENTI;0,00;150,00
53.01;PROVENTI DIVERSI;0,00;150,00
53.01.51;Altri ricavi e proventi;0,00;150,00
55;ACQUISTI DI BENI;41858,37;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;36394,48;
55.01.01;Acquisti materie prime;31364,03;
55.01.05;Acquisti materiali di consumo;1368,95;
55.01.07;Acquisti merci per la rivendita;373,80;
55.01.09;Confezioni e imballi;3252,34;
55.01.17;Acquisti materiali vari;35,36;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;717,90;
55.03.01;Acq.beni materiali per produz. servizi;717,90;
55.07;ACQUISTI DIVERSI;4745,99;
55.07.01;Acquisto beni strumentali inf.516,46;3587,66;
55.07.03;Attrezzatura minuta;420,60;
55.07.13;Materiali manutenzioni diverse;400,61;
55.07.51;Materiale vario di consumo;337,12;
57;ACQUISTI DI SERVIZI;8316,24;
57.01;SERVIZI PER LA PRODUZIONE;77,58;
57.01.51;Altri servizi per la produzione;77,58;
57.09;COSTI PER UTENZE;7797,56;
57.09.01;Spese telefoniche ordinarie;123,84;
57.09.03;Spese telefoniche radiomobili;1072,18;
57.09.13;Energia elettrica;6189,93;
57.09.17;Acqua potabile;411,61;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;441,10;
57.11.01;Spese manut.impianti e macchin.propri;441,10;
59;GESTIONE VEICOLI AZIENDALI;266,63;
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;266,63;
59.03.03;Premi assicurazioni veicoli;84,00;
59.03.15;Spese manutenzione veicoli propri;182,63;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2963,57;
63.01;SPESE COMMERCIALI E DI VIAGGIO;91,26;
63.01.13;Spese di viaggio;91,26;
63.05;SPESE AMMINISTRATIVE E GENERALI;2872,31;
63.05.07;Servizi contabili di terzi;1475,64;
63.05.11;Altre spese amministrative;754,40;
63.05.13;Premi di assicurazioni non obbligatorie;638,27;
63.05.23;Valori bollati;4,00;
65;COSTI PER GODIMENTO BENI DI TERZI;11022,98;
65.01;GESTIONE IMMOBILI;9744,34;
65.01.05;Canoni locazione immobili;9744,34;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;972,64;
65.05.15;Canoni noleggio attrezzature;972,64;
65.07;CANONI E LICENZE SOFTWARE;306,00;
65.07.01;Canoni per utilizzo licenze software;306,00;
67;COSTI PERSONALE DIPENDENTE;21178,80;
67.01;COSTI PERSONALE DIPENDENTE;21178,80;
67.01.01;Retribuzioni lorde;16495,50;
67.01.03;Contributi INPS;4350,14;
67.01.09;Contrib.altri enti previdenz./assistenz.;333,16;
71;ONERI DIVERSI DI GESTIONE;1639,64;
71.01;ONERI TRIBUTARI;1313,00;
71.01.05;Diritti camerali;29,00;
71.01.07;Imposta di registro e concess. govern.;65,00;
71.01.13;Tassa raccolta e smaltimento rifiuti;1011,00;
71.01.51;Altre imposte e tasse indirette;208,00;
71.03;ALTRI COSTI DI ESERCIZIO;326,64;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
71.03.09;Cancelleria varia;318,22;
71.03.11;Abbonamenti, libri e pubblicazioni;8,42;
75;ONERI FINANZIARI;141,85;
75.01;ONERI FINANZIARI VERSO BANCHE;141,85;
75.01.07;Commissioni e spese bancarie;141,85;
75.03;ONERI FINANZIARI DIVERSI;0,00;
75.03.13;Interessi passivi versam.iva trimestrali;0,00;
80;AMMORTAMENTI;16805,15;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;1102,25;
80.01.11;Amm.to costi di pubblicita';877,85;
80.01.53;Amm.to altre spese pluriennali;224,40;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;15702,90;
80.03.23;Amm.to ordinario impianti specifici;118,75;
80.03.27;Amm.to ordinario macchinari automatici;119,34;
80.03.29;Amm.to ordin.altri impianti e macchinari;579,04;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;820,16;
80.03.33;Amm.to ordinario attrezz.varia e minuta;491,64;
80.03.35;Amm.to ordinario mobili e arredi;9304,51;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;507,44;
80.03.47;Amm.to ordinario telefonia mobile;109,60;
80.03.49;Ammortamento ordinario veicoli;3652,42;
