47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;145808,15
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;14239,58
47.01.03;Vendita merci;0,00;14239,58
47.07;CORRISPETTIVI;0,00;131568,57
47.07.01;Corrispettivi;0,00;131568,57
47.07.01;VENDITA PRODUZIONE PROPRIA;0,00;131568,57
53;ALTRI RICAVI E PROVENTI;0,00;150,00
53.01;PROVENTI DIVERSI;0,00;150,00
53.01.51;Altri ricavi e proventi;0,00;150,00
55;ACQUISTI DI BENI;49020,62;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;43530,23;
55.01.01;Acquisti materie prime;37883,68;
55.01.05;Acquisti materiali di consumo;1387,53;
55.01.07;Acquisti merci per la rivendita;373,80;
55.01.09;Confezioni e imballi;3825,82;
55.01.17;Acquisti materiali vari;59,40;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;717,90;
55.03.01;Acq.beni materiali per produz. servizi;717,90;
55.07;ACQUISTI DIVERSI;4772,49;
55.07.01;Acquisto beni strumentali inf.516,46;3587,66;
55.07.03;Attrezzatura minuta;420,60;
55.07.13;Materiali manutenzioni diverse;427,11;
55.07.51;Materiale vario di consumo;337,12;
57;ACQUISTI DI SERVIZI;10147,28;
57.01;SERVIZI PER LA PRODUZIONE;77,58;
57.01.51;Altri servizi per la produzione;77,58;
57.09;COSTI PER UTENZE;9628,60;
57.09.01;Spese telefoniche ordinarie;222,19;
57.09.03;Spese telefoniche radiomobili;1260,93;
57.09.13;Energia elettrica;7733,87;
57.09.17;Acqua potabile;411,61;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;441,10;
57.11.01;Spese manut.impianti e macchin.propri;441,10;
59;GESTIONE VEICOLI AZIENDALI;266,63;
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;266,63;
59.03.03;Premi assicurazioni veicoli;84,00;
59.03.15;Spese manutenzione veicoli propri;182,63;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;5072,26;
63.01;SPESE COMMERCIALI E DI VIAGGIO;864,41;
63.01.01;Pubblicit…, inserzioni e affissioni;753,15;
63.01.13;Spese di viaggio;111,26;
63.05;SPESE AMMINISTRATIVE E GENERALI;4207,85;
63.05.07;Servizi contabili di terzi;2705,64;
63.05.11;Altre spese amministrative;859,94;
63.05.13;Premi di assicurazioni non obbligatorie;638,27;
63.05.23;Valori bollati;4,00;
65;COSTI PER GODIMENTO BENI DI TERZI;13243,73;
65.01;GESTIONE IMMOBILI;11915,14;
65.01.05;Canoni locazione immobili;11915,14;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;972,64;
65.05.15;Canoni noleggio attrezzature;972,64;
65.07;CANONI E LICENZE SOFTWARE;355,95;
65.07.01;Canoni per utilizzo licenze software;355,95;
67;COSTI PERSONALE DIPENDENTE;26266,77;
67.01;COSTI PERSONALE DIPENDENTE;26266,77;
67.01.01;Retribuzioni lorde;20429,26;
67.01.03;Contributi INPS;5414,38;
67.01.09;Contrib.altri enti previdenz./assistenz.;423,13;
71;ONERI DIVERSI DI GESTIONE;1648,76;
71.01;ONERI TRIBUTARI;1313,00;
71.01.05;Diritti camerali;29,00;
71.01.07;Imposta di registro e concess. govern.;65,00;
71.01.13;Tassa raccolta e smaltimento rifiuti;1011,00;
71.01.51;Altre imposte e tasse indirette;208,00;
71.03;ALTRI COSTI DI ESERCIZIO;335,76;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
71.03.03;Sanzioni, penalit… e multe;0,00;
71.03.09;Cancelleria varia;327,34;
71.03.11;Abbonamenti, libri e pubblicazioni;8,42;
75;ONERI FINANZIARI;141,85;
75.01;ONERI FINANZIARI VERSO BANCHE;141,85;
75.01.07;Commissioni e spese bancarie;141,85;
75.03;ONERI FINANZIARI DIVERSI;0,00;
75.03.13;Interessi passivi versam.iva trimestrali;0,00;
80;AMMORTAMENTI;20537,26;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;1348,34;
80.01.11;Amm.to costi di pubblicita';1073,84;
80.01.53;Amm.to altre spese pluriennali;274,50;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;19188,92;
80.03.23;Amm.to ordinario impianti specifici;118,75;
80.03.27;Amm.to ordinario macchinari automatici;146,09;
80.03.29;Amm.to ordin.altri impianti e macchinari;708,80;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;1004,03;
80.03.33;Amm.to ordinario attrezz.varia e minuta;601,63;
80.03.35;Amm.to ordinario mobili e arredi;11385,98;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;620,73;
80.03.47;Amm.to ordinario telefonia mobile;134,07;
80.03.49;Ammortamento ordinario veicoli;4468,84;
