 58.05.220;SCONTI SU VENDITE;202,38; 
 66.20.005;MATERIE DI CONSUMO C/ACQUISTI;3,69; 
 66.20.502;MATERIE DI CONS. X PREST.DI SERV;309,87; 
 66.25.005;MERCI C/ACQUISTI;29.849,99; 
 66.30.015;MATERIALE DI PULIZIA;16,48; 
 66.30.025;CANCELLERIA;500,34; 
 68.05.005;TRASPORTI SU ACQUISTI;303,21; 
 68.05.045;ACQUA;3,09; 
 68.05.052;CANONE DI MANUTENZIONE PERIODICA;483,61; 
 68.05.055;MANUT.E RIPARAZ.BENI PROPRI 5%;8.321,66; 
 68.05.075;MAN. E RIP. BENI DI TERZI;669,91; 
 68.05.110;ASSICURAZIONI R.C.A.;1.278,22; 
 68.05.120;ASSICURAZIONI R.C.A. PARZ.DEDUC.;400,95; 
 68.05.125;ASSICURAZ. NON OBBLIGATORIE;1.433,49; 
 68.05.127;PREMI INAIL SOCI/TITOLARE;245,56; 
 68.05.320;SPESE TELEFONICHE;72,31; 
 68.05.325;SPESE CELLULARI;133,88; 
 68.05.341;PASTI/SOGGIORNI-SPESE DI RAPPRES;340; 
 68.05.370;ONERI BANCARI;2.433,86; 
 68.05.385;TENUTA PAGHE,CONT.DICH.DA IMPRES;440; 
 68.05.386;TEN.PAGHE,CONT.,DICH.DA LAV.AUT.;823,68; 
 68.05.490;ALTRI SERVIZI DEDUCIBILI;536,59; 
 70.05.010;FITTI PASSIVI (BENI IMMOBILI);11.385,62; 
 70.10.005;CANONI DI LEASING BENI MOB. DED.;6.416,63; 
 72.05.010;SALARI E STIPENDI;15.104,23; 
 72.15.005;ONERI SOCIALI INPS;4.277,37; 
 72.15.025;ONERI SOCIALI INAIL;758,34; 
 72.15.090;ALTRI ONERI SOCIALI;299,72; 
 72.20.008;TFR A FONDI PENSIONE (-50 DIP.);297,47; 
 80.25.005;MERCI C/ESISTENZE INIZIALI;92.779,69; 
 84.05.005;IMPOSTA DI BOLLO;100; 
 84.05.045;TASSA SUI RIFIUTI;467; 
 84.05.090;ALTRE IMPOSTE E TASSE DEDUCIBILI;720; 
 84.10.050;SOPRAVVENIENZ. PASSIVE ORD.DED.;211,45; 
 84.10.090;ABBUONI/ARROTONDAMENTI PASSIVI;0,43; 
 84.10.190;ALTRI ONERI DI GEST. DEDUC.;180; 
 84.10.191;ALTRI ONERI DI GEST.INDEDUCIBILI;4.184,63; 
 84.10.502;CONTRIBUTI ASSOCIATIVI;210; 
 88.20.010;INT.PASS.SUI DEB.V/BAN.DI CR.ORD;667,11; 
 58.05.010;MERCI C/VENDITE; ;5.231,56
 58.05.501;INCASSI ERBORISTERIA SESTO F.N; ;3.732,80
 58.05.502;INCASSI ERBORISTERIA CALENZANO; ;22.590,17
 58.05.503;INCASSI ERBORISTERIA PRATO; ;68.795,53
 58.05.504;INCASSI ERBORISTERIA SCANDICCI; ;76.485,27
 58.10.010;PRESTAZIONI DI ESTETICA SESTO; ;10.208,22
 64.05.100;ABBUONI/ARROT. ATTIVI IMP.; ;0,07
 64.05.115;SOPRAVVENIENZE ORDINARIE ATTIVE; ;933,17
 64.05.150;OMAGGI DA FORNITORI; ;18
 68.05.025;ENERGIA ELETTRICA; ;341,6
 68.05.355;RICERCA,ADDESTRAM.E FORMAZIONE; ;100
 70.10.021;CAN.LEAS.QUO.INT.BEN.IMM.IND IRA; ;2,24
