 58.05.220;SCONTI SU VENDITE;469,47; 
 58.05;RICAVI DELLE VENDITE;469,47; 
 58;RICAVI;469,47; 
 66.20.005;MATERIE DI CONSUMO C.ACQUISTI;653,63; 
 66.20;MATERIE DI CONSUMO;653,63; 
 66.25.005;MERCI C.ACQUISTI;15.763,10; 
 66.25;MERCI;15.763,10; 
 66.30.015;MATERIALE DI PULIZIA;28,57; 
 66.30.025;CANCELLERIA;3.694,80; 
 66.30;ALTRI ACQUISTI;3.723,37; 
 66;COSTI P.MAT.PRI,SUSS.,CON.E MER.;20.140,10; 
 68.05.005;TRASPORTI SU ACQUISTI;117,13; 
 68.05.025;ENERGIA ELETTRICA;452,05; 
 68.05.045;ACQUA;78,07; 
 68.05.055;MANUT.E RIPARAZ.BENI PROPRI 5%;70,98; 
 68.05.057;MANUT. E RIP.VEICOLI PARZ.DEDUC.;72,19; 
 68.05.105;ALTRI ONERI P.VEICOLI PARZ.DEDUC;777,36; 
 68.05.125;ASSICURAZ. NON OBBLIGATORIE;19,22; 
 68.05.261;COMP.PROF. ATTINENTI ATTIVITA';794,44; 
 68.05.310;SPESE LEGALI;1.639,33; 
 68.05.320;SPESE TELEFONICHE;155,65; 
 68.05.325;SPESE CELLULARI;667,09; 
 68.05.341;PASTI.SOGGIORNI-SPESE DI RAPPRES;280; 
 68.05.355;RICERCA,ADDESTRAM.E FORMAZIONE;139,34; 
 68.05.370;ONERI BANCARI;335,96; 
 68.05.490;ALTRI SERVIZI DEDUCIBILI;1.522,45; 
 68.05;COSTI PER SERVIZI;7.121,26; 
 68;COSTI PER SERVIZI;7.121,26; 
 70.05.010;FITTI PASSIVI (BENI IMMOBILI);2.983,78; 
 70.05;AFFITTI E LOCAZIONI;2.983,78; 
 70;COSTI P.GODIMENTO BENI DI TERZI;2.983,78; 
 72.05.010;SALARI E STIPENDI;12.643,03; 
 72.05;SALARI E STIPENDI;12.643,03; 
 72.15.005;ONERI SOCIALI INPS;3.300,76; 
 72.15.090;ALTRI ONERI SOCIALI;270,24; 
 72.15;ONERI SOCIALI;3.571,00; 
 72.20.008;TFR A FONDI PENSIONE (-50 DIP.);345,01; 
 72.20;TRATTAMENTO FINE RAPPORTO;345,01; 
 72;COSTI PER IL PERSONALE;16.559,04; 
 74.20.015;AMM.TO LIC.USO SOFT.A TEMP.DET.;783,26; 
 74.20;AMM.TO CONCESS.,LICENZE,MARCHI;783,26; 
 74;AMM.TI IMM. IMMATERIALI;783,26; 
 75.10.005;AMM.TO ORD.IMP.GEN.;986,65; 
 75.10.010;AMM.TO ORD. IMP. SPEC.;68,52; 
 75.10.011;AMM.TO ORD.IMP. SPEC. INDED.;17,12; 
 75.10.015;AMM.TO ORD. MACC.;2.799,06; 
 75.10;AMM.TO IMPIANTI E MACCHINARIO;3.871,35; 
 75.15.005;AMM.TO ORD.ATT.IND.LI E COMM.;235,15; 
 75.15;AMM.TO ATTREZ. IND.LI E COMM.LI;235,15; 
 75.20.005;AMM.TO ORD.MOB.E MAC.ORD.UF.;38,16; 
 75.20.010;AMM.TO ORD.MAC.ELETTROM.UF.;968; 
 75.20;AMM.TO MOBILI E MACCHINE D'UFF.;1.006,16; 
 75.25.025;AMM.TO ORD. AUTOVETTURE;649,19; 
 75.25.026;AMM.TO AUTOVETTURE IND.;4.554,66; 
 75.25;AMM.TO AUTOMEZZI (ALTRI BENI);5.203,85; 
 75.30.040;AMM.TO ORD.ARREDAMENTO;471,68; 
 75.30;AMM.TO ALTRI BENI;471,68; 
 75;AMM.TO IMM. MAT. - ORDINARIO;10.788,19; 
 84.05.005;IMPOSTA DI BOLLO;4; 
 84.05.042;TASSE PROPR.VEICOLI PARZ.DEDUC.;695,36; 
 84.05.045;TASSA SUI RIFIUTI;868; 
 84.05.090;ALTRE IMPOSTE E TASSE DEDUCIBILI;115,04; 
 84.05;IMPOSTE E TASSE;1.682,40; 
 84.10.035;MULTE E AMMENDE INDEDUCIBILI;180; 
 84.10.191;ALTRI ONERI DI GEST.INDEDUCIBILI;124,38; 
 84.10;ALTRI ONERI DIVERSI DI GESTIONE;304,38; 
 84;ONERI DIVERSI DI GESTIONE;1.986,78; 
 88.20.020;INT.PASS.SUI DEB. V.ALTRI FINAN.;8,1; 
 88.20.032;INT.PASS.FINANZ.AUTO PARZ.DED.;212,86; 
 88.20;VERSO ALTRI (ONERI FINANZIARI);220,96; 
 88;INT. PASS.E ALTRI ONERI FINANZ.;220,96; 
 58.05.010;MERCI C.VENDITE; ;7.954,66
 58.05.501;INCASSI ERBORISTERIA SESTO F.N; ;846,56
 58.05.502;INCASSI ERBORISTERIA CALENZANO; ;7.154,23
 58.05.503;INCASSI ERBORISTERIA PRATO; ;20.973,55
 58.05.504;INCASSI ERBORISTERIA SCANDICCI; ;22.260,07
 58.05;RICAVI DELLE VENDITE; ;59.189,07
 58.10.010;PRESTAZIONI DI ESTETICA SESTO; ;2.950,58
 58.10;RICAVI DELLE PRESTAZ. - IMPRESE; ;2.950,58
 58;RICAVI; ;62.139,65
 64.05.100;ABBUONI.ARROT. ATTIVI IMP.; ;1,21
 64.05;ALTRI RICAVI E PROVENTI; ;1,21
 64;ALTRI RICAVI E PROVENTI; ;1,21
 70.10.005;CANONI DI LEASING BENI MOB. DED.; ;5.303,67
 70.10.021;CAN.LEAS.QUO.INT.BEN.IMM.IND IRA; ;3,49
 70.10;LEASING; ;5.307,16
 70;COSTI P.GODIMENTO BENI DI TERZI; ;5.307,16
 ***;TOTALE RICAVI; ;67.448,02
 ****;UTILE DI ESERCIZIO;6.395,18; 
 *****;TOTALE A PAREGGIO;67.448,02;67.448,02
