47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;54738,20;
47.07;CORRISPETTIVI;0,00;54738,20;
47.07.01;Corrispettivi;0,00;54738,20;
53;ALTRI RICAVI E PROVENTI;0,00;9,68;
53.01;PROVENTI DIVERSI;0,00;9,68;
53.01.29;Arrotondamenti attivi diversi;0,00;9,68;
55;ACQUISTI DI BENI;4348,65;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;4348,65;0,00;
55.01.05;Acquisti materiali di consumo;267,88;0,00;
55.01.07;Acquisti merci per la rivendita;4080,77;0,00;
57;ACQUISTI DI SERVIZI;3364,65;0,00;
57.01;SERVIZI PER LA PRODUZIONE;530,00;0,00;
57.01.51;Altri servizi per la produzione;530,00;0,00;
57.01.51.01;Altri servizi per la produzione;530,00;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;10,00;0,00;
57.05.01;Trasporti su acquisti;10,00;0,00;
57.05.01.01;Trasporti su acquisti;10,00;0,00;
57.09;COSTI PER UTENZE;2824,65;0,00;
57.09.01;Spese telefoniche ordinarie;171,60;0,00;
57.09.01.01;Spese telefoniche ordinarie;171,60;0,00;
57.09.13;Energia elettrica;2637,84;0,00;
57.09.13.01;Energia elettrica;2637,84;0,00;
57.09.17;Acqua potabile;15,21;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;8352,24;0,00;
61.05;COMPENSI ORGANI SOCIALI;8352,24;0,00;
61.05.01;Compensi amministratori;7000,00;0,00;
61.05.01.07;Compensi amministr.soci co.co.co SP;7000,00;0,00;
61.05.11;Contributi previdenziali amministratori;1120,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;1120,00;0,00;
61.05.15;Premi INAIL soci/titolari;232,24;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1324,28;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;1324,28;0,00;
63.05.07;Servizi contabili di terzi;991,96;0,00;
63.05.11;Altre spese amministrative;50,00;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;0,00;138,47;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;0,00;138,47;
63.05.17;Servizi di vigilanza;150,00;0,00;
63.05.25;Assistenza software;270,79;0,00;Centro imputazione non assegnato
65;COSTI PER GODIMENTO BENI DI TERZI;17939,66;0,00;
65.01;GESTIONE IMMOBILI;17939,66;0,00;
65.01.05;Canoni locazione immobili;17803,66;0,00;
65.01.05.01;Canoni locazione immobili deducibili;17803,66;0,00;
65.01.07;Spese condominiali e varie;136,00;0,00;
65.01.07.01;Spese condominiali e varie deducibili;136,00;0,00;
67;COSTI PERSONALE DIPENDENTE;28089,77;0,00;
67.01;COSTI PERSONALE DIPENDENTE;28089,77;0,00;
67.01.01;Retribuzioni lorde;20922,87;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;20922,87;0,00;
67.01.03;Contributi INPS;5149,17;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;5149,17;0,00;
67.01.07;Quote TFR dipendenti;66,72;0,00;
67.01.07.01;Quote TFR dipend.ordinari (in azienda);66,72;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;177,05;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;177,05;0,00;
67.01.11;Premi INAIL;1773,96;0,00;
71;ONERI DIVERSI DI GESTIONE;90,09;0,00;
71.01;ONERI TRIBUTARI;81,50;0,00;
71.01.07;Imposta di registro e concess. govern.;81,50;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;8,59;0,00;
71.03.17;Arrotondamenti passivi diversi;8,59;0,00;
75;ONERI FINANZIARI;145,61;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;145,61;0,00;
75.01.07;Commissioni e spese bancarie;145,61;0,00;
80;AMMORTAMENTI;455,06;0,00;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;455,06;0,00;
80.03.23;Amm.to ordinario impianti specifici;203,70;0,00;
80.03.29;Amm.to ordin.altri impianti e macchinari;173,17;0,00;
80.03.35;Amm.to ordinario mobili e arredi;8,26;0,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;52,27;0,00;
80.03.59;Amm.to ordinario altri beni materiali;17,66;0,00;
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;17,66;0,00;
