47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;3913,87
47.07;;CORRISPETTIVI;0,00;3913,87
47.07.01;;Corrispettivi;0,00;3913,87
47.07.01;2;(A) Acquariologia;0,00;579,60
47.07.01;3;(D) Animali Domestici;0,00;1870,51
47.07.01;4;(R) Rettili;0,00;1463,76
53;;ALTRI RICAVI E PROVENTI;0,00;320,52
53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;0,00;320,52
53.09.01;;Plusvalenze da eventi straordinari;0,00;320,52
53.09.01.11;;Plusv.e altri proventi da eventi straor.;0,00;320,52
55;;ACQUISTI DI BENI;2526,72;0,00
55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;2386,18;0,00
55.01.07;;Acquisti merci per la rivendita;2386,18;0,00
55.01.07;1;(A)Acquariologia;645,49;0,00
55.01.07;2;(D) Animali Domestici;879,83;0,00
55.01.07;3;(R) Rettili;860,86;0,00
55.07;;ACQUISTI DIVERSI;140,54;0,00
55.07.51;;Materiale vario di consumo;140,54;0,00
57;;ACQUISTI DI SERVIZI;589,19;0,00
57.05;;COSTI ACCESSORI PER ACQUISTI;14,54;0,00
57.05.01;;Trasporti su acquisti;14,54;0,00
57.05.01.01;;Trasporti su acquisti;14,54;0,00
57.09;;COSTI PER UTENZE;528,75;0,00
57.09.13;;Energia elettrica;405,56;0,00
57.09.13.01;;Energia elettrica;405,56;0,00
57.09.15;;Riscaldamento;123,19;0,00
57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;25,00;0,00
57.11.07;;Altre spese manutenzione beni propri;25,00;0,00
57.11.07.01;;Altre spese manutenzione beni propri;25,00;0,00
57.13;;MANUTENZIONE FABBRICATI;20,90;0,00
57.13.01;;Spese manutenzione fabbricati;20,90;0,00
57.13.01.13;;Spese manut.su immobili di terzi;20,90;0,00
63;;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;95,60;0,00
63.05;;SPESE AMMINISTRATIVE E GENERALI;95,60;0,00
63.05.17;;Servizi di vigilanza;70,50;0,00
63.05.23;;Valori bollati;25,10;0,00
71;;ONERI DIVERSI DI GESTIONE;8905,24;0,00
71.03;;ALTRI COSTI DI ESERCIZIO;8905,24;0,00
71.03.01;;Spese, perdite e sopravvenienze passive;8691,03;0,00
71.03.01.05;;Spese, perdite e sopravv.passive inded.;8691,03;0,00
71.03.03;;Sanzioni, penalit… e multe;199,55;0,00
71.03.09;;Cancelleria varia;14,63;0,00
71.03.17;;Arrotondamenti passivi diversi;0,03;0,00
75;;ONERI FINANZIARI;323,84;0,00
75.01;;ONERI FINANZIARI VERSO BANCHE;323,84;0,00
75.01.07;;Commissioni e spese bancarie;323,84;0,00
84;;IMPOSTE DELL'ESERCIZIO;1260,00;0,00
84.01;;IMPOSTE DELL'ESERCIZIO;1260,00;0,00
84.01.01;;IRES corrente;1260,00;0,00
