47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;144923,48
47.01;VENDITE PRODOTTI FINITI E MERCI;;1151,80
47.01.11;Aggio su beni di monopolio;;1151,80
47.07;CORRISPETTIVI;;143771,68
47.07.01;Corrispettivi;;143771,68
53;ALTRI RICAVI E PROVENTI;;120,00
53.01;PROVENTI DIVERSI;;120,00
53.01.51;Altri ricavi e proventi;;120,00
55;ACQUISTI DI BENI;60470,72;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;183,89;
55.01.09;Confezioni e imballi;180,81;
55.01.19;Oneri accessori su acquisti;3,08;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;61416,99;
55.03.01;Acq.beni materiali per produz. servizi;61324,61;
55.03.03;Acq.materiali di consumo (att.servizi);92,38;
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-1493,52;
55.05.01;Sconti su acquisti;-1493,52;
55.07;ACQUISTI DIVERSI;363,36;
55.07.03;Attrezzatura minuta;77,51;
55.07.51;Materiale vario di consumo;285,85;
57;ACQUISTI DI SERVIZI;4115,93;
57.01;SERVIZI PER LA PRODUZIONE;280,02;
57.01.51;Altri servizi per la produzione;280,02;
57.09;COSTI PER UTENZE;3835,91;
57.09.01;Spese telefoniche ordinarie;208,34;
57.09.13;Energia elettrica;2998,01;
57.09.17;Acqua potabile;629,56;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;694,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;694,00;
61.01.03;Consulenze tecniche;694,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2921,57;
63.05;SPESE AMMINISTRATIVE E GENERALI;2921,57;
63.05.07;Servizi contabili di terzi;824,11;
63.05.11;Altre spese amministrative;63,59;
63.05.15;Premi di assicurazioni obbligatorie;1660,93;
63.05.17;Servizi di vigilanza;345,84;
63.05.23;Valori bollati;27,10;
65;COSTI PER GODIMENTO BENI DI TERZI;5823,00;
65.01;GESTIONE IMMOBILI;5778,00;
65.01.05;Canoni locazione immobili;5778,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;45,00;
65.05.15;Canoni noleggio attrezzature;45,00;
67;COSTI PERSONALE DIPENDENTE;22521,63;
67.01;COSTI PERSONALE DIPENDENTE;22521,63;
67.01.01;Retribuzioni lorde;16667,73;
67.01.03;Contributi INPS;5098,95;
67.01.07;Quote TFR dipendenti;615,78;
67.01.09;Contrib.altri enti previdenz./assistenz.;139,17;
71;ONERI DIVERSI DI GESTIONE;1968,78;
71.01;ONERI TRIBUTARI;1169,03;
71.01.07;Imposta di registro e concess. govern.;106,03;
71.01.13;Tassa raccolta e smaltimento rifiuti;1063,00;
71.03;ALTRI COSTI DI ESERCIZIO;799,75;
71.03.01;Spese, perdite e sopravvenienze passive;193,95;
71.03.11;Abbonamenti, libri e pubblicazioni;605,80;
75;ONERI FINANZIARI;167,28;
75.01;ONERI FINANZIARI VERSO BANCHE;165,20;
75.01.07;Commissioni e spese bancarie;165,20;
75.03;ONERI FINANZIARI DIVERSI;2,08;
75.03.27;Interessi passivi di mora;2,08;
80;AMMORTAMENTI;6150,67;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;5634,77;
80.01.19;Amm.to avviamento;5354,40;
80.01.27;Amm.to spese di manut.su beni di terzi;176,82;
80.01.53;Amm.to altre spese pluriennali;103,55;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;515,90;
80.03.29;Amm.to ordin.altri impianti e macchinari;193,44;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;205,34;
80.03.35;Amm.to ordinario mobili e arredi;117,12;
