47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0;43537,07
47.01;VENDITE PRODOTTI FINITI E MERCI;0;378,71
47.01.03;Vendita merci;0;90,82
47.01.92;Vendite Online;0;287,89
47.07;CORRISPETTIVI;0;43018,96
47.07.01;Corrispettivi;0;43018,96
47.07.01;(A) Acquariologia;0;7717,33
47.07.01;(D) Animali Domestici;0;15325,02
47.07.01;(R) Rettili;0;13340,6
47.07.01;CORRISPETTIVI;0;6632,14
47.07.01;Shopper;0;3,87
47.09;RICAVI ACCESSORI DI VENDITA;0;139,4
47.09.01;Rivalsa spese di trasporto e installaz.;0;139,4
53;ALTRI RICAVI E PROVENTI;0;32,79
53.01;PROVENTI DIVERSI;0;32,79
53.01.51;Altri ricavi e proventi;0;32,79
53.01.51.01;Altri ricavi e proventi imponibili;0;32,79
55;ACQUISTI DI BENI;26297,02;0
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;25782,78;0
55.01.07;Acquisti merci per la rivendita;25782,78;0
55.01.07;(A)Acquariologia;4626,86;0
55.01.07;(D) Animali Domestici;14684,67;0
55.01.07;(R) Rettili;6452,81;0
55.01.07;VARIO;18,44;0
55.07;ACQUISTI DIVERSI;514,24;0
55.07.51;Materiale vario di consumo;514,24;0
57;ACQUISTI DI SERVIZI;3622,63;0
57.09;COSTI PER UTENZE;3508,16;0
57.09.01;Spese telefoniche ordinarie;412,5;0
57.09.01.01;Spese telefoniche ordinarie;412,5;0
57.09.13;Energia elettrica;2334,41;0
57.09.13.01;Energia elettrica;2334,41;0
57.09.15;Riscaldamento;574,39;0
57.09.17;Acqua potabile;186,86;0
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;114,47;0
57.11.07;Altre spese manutenzione beni propri;50;0
57.11.07.01;Altre spese manutenzione beni propri;50;0
57.11.09;Canoni manut.impianti e macchin.propri;64,47;0
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2896,93;0
63.01;SPESE COMMERCIALI E DI VIAGGIO;1185;0
63.01.09;Spese per alberghi e ristoranti;1185;0
63.01.09.03;Sp.alberghi,rist(rappr.con limite ricavi);1185;0
63.05;SPESE AMMINISTRATIVE E GENERALI;1711,93;0
63.05.01;Spese postali;153,49;0
63.05.07;Servizi contabili di terzi;1439,71;0
63.05.11;Altre spese amministrative;31,84;0
63.05.17;Servizi di vigilanza;70,5;0
63.05.25;Assistenza software;16,39;0
65;COSTI PER GODIMENTO BENI DI TERZI;6969,99;0
65.01;GESTIONE IMMOBILI;6969,99;0
65.01.05;Canoni locazione immobili;6969,99;0
65.01.05.01;Canoni locazione immobili deducibili;6969,99;0
71;ONERI DIVERSI DI GESTIONE;1412,95;0
71.01;ONERI TRIBUTARI;173,83;0
71.01.07;Imposta di registro e concess. govern.;173,83;0
71.03;ALTRI COSTI DI ESERCIZIO;1239,12;0
71.03.09;Cancelleria varia;863,06;0
71.03.51;Costi e spese diverse;376,06;0
75;ONERI FINANZIARI;2,78;0
75.03;ONERI FINANZIARI DIVERSI;2,78;0
75.03.27;Interessi passivi di mora;2,78;0
75.03.27.01;Interessi passivi di mora pagati;2,78;0
80;AMMORTAMENTI;148,59;0
80.05;AMM.TI CIVILISTICI IMMOBILIZZ. MATERIALI;19,39;0
80.05.27;Amm.to civilistico mobili e arredi;19,39;0
80.07;AMM.TI CIVILISTICI IMMOBILIZZ. IMMATER.;129,2;0
80.07.19;Amm.to civilistico avviamento;129,2;0
