47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;74572,38
47.01;VENDITE PRODOTTI FINITI E MERCI;;622,20
47.01.11;Aggio su beni di monopolio;;622,20
47.07;CORRISPETTIVI;;73950,18
47.07.01;Corrispettivi;;73950,18
47.07.01;BAR- ATTIVIT… PRINCIPALE;;47119,22
47.07.01;MINIMERCATO;;26830,96
55;ACQUISTI DI BENI;34492,75;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;1,54;
55.01.19;Oneri accessori su acquisti;1,54;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;35625,38;
55.03.01;Acq.beni materiali per produz. servizi;35625,38;
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-1187,72;
55.05.01;Sconti su acquisti;-1187,72;
55.05.01.03;Sconti su acquisti beni per produz.serv.;-1187,72;
55.07;ACQUISTI DIVERSI;53,55;
55.07.51;Materiale vario di consumo;53,55;
57;ACQUISTI DI SERVIZI;2944,26;
57.01;SERVIZI PER LA PRODUZIONE;112,16;
57.01.51;Altri servizi per la produzione;112,16;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);112,16;
57.09;COSTI PER UTENZE;2602,10;
57.09.01;Spese telefoniche ordinarie;175,51;
57.09.01.01;Spese telefoniche ordinarie;175,51;
57.09.13;Energia elettrica;2195,85;
57.09.13.01;Energia elettrica;2195,85;
57.09.17;Acqua potabile;230,74;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;230,00;
57.11.01;Spese manut.impianti e macchin.propri;230,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;176,47;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;176,47;
61.01.03;Consulenze tecniche;176,47;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;3127,33;
63.05;SPESE AMMINISTRATIVE E GENERALI;3127,33;
63.05.07;Servizi contabili di terzi;2680,65;
63.05.11;Altre spese amministrative;214,12;
63.05.17;Servizi di vigilanza;230,56;
63.05.23;Valori bollati;2,00;
65;COSTI PER GODIMENTO BENI DI TERZI;3897,00;
65.01;GESTIONE IMMOBILI;3852,00;
65.01.05;Canoni locazione immobili;3852,00;
65.01.05.01;Canoni locazione immobili deducibili;3852,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;45,00;
65.05.15;Canoni noleggio attrezzature;45,00;
67;COSTI PERSONALE DIPENDENTE;6262,38;
67.01;COSTI PERSONALE DIPENDENTE;6262,38;
67.01.01;Retribuzioni lorde;4580,39;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;4580,39;
67.01.03;Contributi INPS;1544,71;
67.01.03.01;Contributi INPS dipendenti ordinari;1544,71;
67.01.09;Contrib.altri enti previdenz./assistenz.;137,28;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;137,28;
71;ONERI DIVERSI DI GESTIONE;1288,92;
71.01;ONERI TRIBUTARI;897,24;
71.01.13;Tassa raccolta e smaltimento rifiuti;831,00;
71.01.51;Altre imposte e tasse indirette;66,24;
71.01.51.01;Altre imposte e tasse indirette ded.;66,24;
71.03;ALTRI COSTI DI ESERCIZIO;391,68;
71.03.11;Abbonamenti, libri e pubblicazioni;391,68;
75;ONERI FINANZIARI;14,77;
75.03;ONERI FINANZIARI DIVERSI;14,77;
75.03.27;Interessi passivi di mora;14,77;
75.03.27.01;Interessi passivi di mora pagati;14,77;
80;AMMORTAMENTI;4056,27;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;3667,49;
80.01.19;Amm.to avviamento;3550,20;
80.01.27;Amm.to spese di manut.su beni di terzi;117,29;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;388,78;
80.03.29;Amm.to ordin.altri impianti e macchinari;128,18;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;195,43;
80.03.35;Amm.to ordinario mobili e arredi;65,17;
