47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;157424,57
47.01;VENDITE PRODOTTI FINITI E MERCI;;1224,86
47.01.11;Aggio su beni di monopolio;;1224,86
47.07;CORRISPETTIVI;;156199,71
47.07.01;Corrispettivi;;156199,71
47.07.01;BAR- ATTIVIT… PRINCIPALE;;99289,34
47.07.01;MINIMERCATO;;56910,37
55;ACQUISTI DI BENI;70608,98;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;252,86;
55.01.09;Confezioni e imballi;250,55;
55.01.19;Oneri accessori su acquisti;2,31;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;71771,92;
55.03.01;Acq.beni materiali per produz. servizi;71599,24;
55.03.03;Acq.materiali di consumo (att.servizi);172,68;
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-1814,92;
55.05.01;Sconti su acquisti;-1814,92;
55.05.01.03;Sconti su acquisti beni per produz.serv.;-1814,92;
55.07;ACQUISTI DIVERSI;399,12;
55.07.01;Acquisto beni strumentali inf.516,46;162,35;
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;162,35;
55.07.51;Materiale vario di consumo;236,77;
57;ACQUISTI DI SERVIZI;6425,55;
57.01;SERVIZI PER LA PRODUZIONE;218,84;
57.01.51;Altri servizi per la produzione;218,84;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);218,84;
57.09;COSTI PER UTENZE;5732,71;
57.09.01;Spese telefoniche ordinarie;422,84;
57.09.01.01;Spese telefoniche ordinarie;422,84;
57.09.13;Energia elettrica;4811,32;
57.09.13.01;Energia elettrica;4811,32;
57.09.17;Acqua potabile;498,55;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;474,00;
57.11.01;Spese manut.impianti e macchin.propri;474,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;289,22;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;289,22;
61.01.03;Consulenze tecniche;176,47;
61.01.11;Consulenze/prestazioni diverse;112,75;
61.01.11.01;Consulenze afferenti diverse;112,75;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;6940,95;
63.05;SPESE AMMINISTRATIVE E GENERALI;6940,95;
63.05.07;Servizi contabili di terzi;5373,69;
63.05.11;Altre spese amministrative;289,12;
63.05.15;Premi di assicurazioni obbligatorie;815,02;
63.05.17;Servizi di vigilanza;461,12;
63.05.23;Valori bollati;2,00;
65;COSTI PER GODIMENTO BENI DI TERZI;7749,00;
65.01;GESTIONE IMMOBILI;7704,00;
65.01.05;Canoni locazione immobili;7704,00;
65.01.05.01;Canoni locazione immobili deducibili;7704,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;45,00;
65.05.15;Canoni noleggio attrezzature;45,00;
67;COSTI PERSONALE DIPENDENTE;17152,04;
67.01;COSTI PERSONALE DIPENDENTE;17152,04;
67.01.01;Retribuzioni lorde;12786,50;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;12786,50;
67.01.03;Contributi INPS;4112,47;
67.01.03.01;Contributi INPS dipendenti ordinari;4112,47;
67.01.09;Contrib.altri enti previdenz./assistenz.;253,07;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;253,07;
71;ONERI DIVERSI DI GESTIONE;1288,92;
71.01;ONERI TRIBUTARI;897,24;
71.01.13;Tassa raccolta e smaltimento rifiuti;831,00;
71.01.51;Altre imposte e tasse indirette;66,24;
71.01.51.01;Altre imposte e tasse indirette ded.;66,24;
71.03;ALTRI COSTI DI ESERCIZIO;391,68;
71.03.11;Abbonamenti, libri e pubblicazioni;391,68;
75;ONERI FINANZIARI;158,67;
75.01;ONERI FINANZIARI VERSO BANCHE;143,90;
75.01.07;Commissioni e spese bancarie;143,90;
75.03;ONERI FINANZIARI DIVERSI;14,77;
75.03.27;Interessi passivi di mora;14,77;
75.03.27.01;Interessi passivi di mora pagati;14,77;
80;AMMORTAMENTI;9052,33;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;8281,22;
80.01.19;Amm.to avviamento;7178,00;
80.01.27;Amm.to spese di manut.su beni di terzi;1103,22;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;771,11;
80.03.29;Amm.to ordin.altri impianti e macchinari;259,74;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;395,60;
80.03.35;Amm.to ordinario mobili e arredi;115,77;
