47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;183047,51
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1353,60
47.01.11;Aggio su beni di monopolio;0,00;1353,60
47.07;CORRISPETTIVI;0,00;181693,91
47.07.01;Corrispettivi;0,00;181693,91
53;ALTRI RICAVI E PROVENTI;0,00;120,00
53.01;PROVENTI DIVERSI;0,00;120,00
53.01.51;Altri ricavi e proventi;0,00;120,00
55;ACQUISTI DI BENI;79041,50;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;369,43;
55.01.09;Confezioni e imballi;366,35;
55.01.19;Oneri accessori su acquisti;3,08;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;80084,47;
55.03.01;Acq.beni materiali per produz. servizi;79853,47;
55.03.03;Acq.materiali di consumo (att.servizi);231,00;
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-1775,76;
55.05.01;Sconti su acquisti;-1775,76;
55.07;ACQUISTI DIVERSI;363,36;
55.07.03;Attrezzatura minuta;77,51;
55.07.51;Materiale vario di consumo;285,85;
57;ACQUISTI DI SERVIZI;5987,37;
57.01;SERVIZI PER LA PRODUZIONE;386,70;
57.01.51;Altri servizi per la produzione;386,70;
57.09;COSTI PER UTENZE;5600,67;
57.09.01;Spese telefoniche ordinarie;314,46;
57.09.13;Energia elettrica;4656,65;
57.09.17;Acqua potabile;629,56;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;694,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;694,00;
61.01.03;Consulenze tecniche;694,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;3355,34;
63.05;SPESE AMMINISTRATIVE E GENERALI;3355,34;
63.05.07;Servizi contabili di terzi;1142,60;
63.05.11;Altre spese amministrative;63,59;
63.05.15;Premi di assicurazioni obbligatorie;1660,93;
63.05.17;Servizi di vigilanza;461,12;
63.05.23;Valori bollati;27,10;
65;COSTI PER GODIMENTO BENI DI TERZI;7749,00;
65.01;GESTIONE IMMOBILI;7704,00;
65.01.05;Canoni locazione immobili;7704,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;45,00;
65.05.15;Canoni noleggio attrezzature;45,00;
67;COSTI PERSONALE DIPENDENTE;25038,41;
67.01;COSTI PERSONALE DIPENDENTE;25038,41;
67.01.01;Retribuzioni lorde;18584,63;
67.01.03;Contributi INPS;5696,36;
67.01.07;Quote TFR dipendenti;615,78;
67.01.09;Contrib.altri enti previdenz./assistenz.;141,64;
71;ONERI DIVERSI DI GESTIONE;3031,78;
71.01;ONERI TRIBUTARI;2232,03;
71.01.07;Imposta di registro e concess. govern.;106,03;
71.01.13;Tassa raccolta e smaltimento rifiuti;2126,00;
71.03;ALTRI COSTI DI ESERCIZIO;799,75;
71.03.01;Spese, perdite e sopravvenienze passive;193,95;
71.03.11;Abbonamenti, libri e pubblicazioni;605,80;
75;ONERI FINANZIARI;167,28;
75.01;ONERI FINANZIARI VERSO BANCHE;165,20;
75.01.07;Commissioni e spese bancarie;165,20;
75.03;ONERI FINANZIARI DIVERSI;2,08;
75.03.27;Interessi passivi di mora;2,08;
80;AMMORTAMENTI;8247,17;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;7554,46;
80.01.19;Amm.to avviamento;7178,00;
80.01.27;Amm.to spese di manut.su beni di terzi;237,42;
80.01.53;Amm.to altre spese pluriennali;139,04;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;692,71;
80.03.29;Amm.to ordin.altri impianti e macchinari;259,74;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;275,72;
80.03.35;Amm.to ordinario mobili e arredi;157,25;
