47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;217053,36;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;81743,28;
47.01.03;Vendita merci;0,00;81743,28;
47.07;CORRISPETTIVI;0,00;135278,08;
47.07.01;Corrispettivi;0,00;135278,08;
47.09;RICAVI ACCESSORI DI VENDITA;0,00;32,00;
47.09.03;Rivalsa spese di incasso;0,00;32,00;
53;ALTRI RICAVI E PROVENTI;98,24;;
53.01;PROVENTI DIVERSI;98,24;;
53.01.29;Arrotondamenti attivi diversi;0,00;;
53.01.51;Altri ricavi e proventi;100,00;;
53.01.51.01;Altri ricavi e proventi imponibili;100,00;;
55;ACQUISTI DI BENI;69226,67;;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;68171,88;;
55.01.01;Acquisti materie prime;54708,27;;
55.01.05;Acquisti materiali di consumo;2982,40;;
55.01.07;Acquisti merci per la rivendita;5776,35;;
55.01.09;Confezioni e imballi;4498,63;;
55.01.19;Oneri accessori su acquisti;206,23;;
55.07;ACQUISTI DIVERSI;1054,79;;
55.07.03;Attrezzatura minuta;166,16;;
55.07.11;Materiali manutenz.impianti e macchinari;157,00;;
55.07.23;Indumenti da lavoro;48,70;;
55.07.51;Materiale vario di consumo;682,93;;
57;ACQUISTI DI SERVIZI;7889,03;;
57.09;COSTI PER UTENZE;7604,96;;
57.09.01;Spese telefoniche ordinarie;183,70;;
57.09.01.01;Spese telefoniche ordinarie;183,70;;
57.09.13;Energia elettrica;2520,75;;
57.09.13.01;Energia elettrica;2520,75;;
57.09.17;Acqua potabile;454,77;;
57.09.19;Gas;1145,74;;
57.09.21;Pulizia locali;3300,00;;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;284,07;;
57.11.01;Spese manut.impianti e macchin.propri;55,00;;
57.11.03;Spese manutenzione attrezzature proprie;56,00;;
57.11.11;Canoni manutenzione attrezzature proprie;173,07;;
59;GESTIONE VEICOLI AZIENDALI;1302,71;;
59.01;ESERCIZIO AUTOMEZZI;1302,71;;
59.01.01;Carburanti e lubrificanti automezzi;475,50;;
59.01.05;Premi di assicurazione automezzi;209,99;;
59.01.07;Altre spese automezzi;617,22;;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;367,75;;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;367,75;;
61.01.01;Consulenze amministrative e fiscali;343,20;;
61.01.01.01;Consulenze ammin.e fiscali (non ordin.);343,20;;
61.01.19;Contributi cassa previdenza lav.autonomo;24,55;;
61.01.19.05;Contr.cassa prev.cons.ammin.fisc.(ordin);24,55;;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1685,59;;
63.01;SPESE COMMERCIALI E DI VIAGGIO;3,35;;
63.01.21;Spese rappres.deduc.(con limite ricavi);3,35;;
63.05;SPESE AMMINISTRATIVE E GENERALI;1682,24;;
63.05.07;Servizi contabili di terzi;1093,56;;
63.05.11;Altre spese amministrative;40,11;;
63.05.15;Premi di assicurazioni obbligatorie;548,57;;
63.05.17;Servizi di vigilanza;0,00;;
65;COSTI PER GODIMENTO BENI DI TERZI;12720,00;;
65.01;GESTIONE IMMOBILI;11943,00;;
65.01.05;Canoni locazione immobili;11943,00;;
65.01.05.01;Canoni locazione immobili deducibili;11943,00;;
65.07;CANONI E LICENZE SOFTWARE;777,00;;
65.07.01;Canoni per utilizzo licenze software;69,00;;
65.07.03;Licenze d'uso software non capitalizzati;708,00;;
67;COSTI PERSONALE DIPENDENTE;72338,30;;
67.01;COSTI PERSONALE DIPENDENTE;71798,30;;
67.01.01;Retribuzioni lorde;58530,90;;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;58530,90;;
67.01.03;Contributi INPS;13267,40;;
67.01.03.01;Contributi INPS dipendenti ordinari;13267,40;;
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;540,00;;
67.03.25;Visite mediche periodiche ai dipendenti;540,00;;
71;ONERI DIVERSI DI GESTIONE;536,93;;
71.03;ALTRI COSTI DI ESERCIZIO;536,93;;
71.03.01;Spese, perdite e sopravvenienze passive;73,93;;
71.03.01.05;Spese, perdite e sopravv.passive inded.;73,93;;
71.03.07;Contributi associativi;180,00;;
71.03.07.01;Contributi associativi versati;180,00;;
71.03.09;Cancelleria varia;282,52;;
71.03.17;Arrotondamenti passivi diversi;0,48;;
75;ONERI FINANZIARI;2,02;;
75.01;ONERI FINANZIARI VERSO BANCHE;1,60;;
75.01.07;Commissioni e spese bancarie;1,60;;
75.03;ONERI FINANZIARI DIVERSI;0,42;;
75.03.27;Interessi passivi di mora;0,42;;
75.03.27.01;Interessi passivi di mora pagati;0,42;;
80;AMMORTAMENTI;8557,27;;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;995,67;;
80.01.27;Amm.to spese di manut.su beni di terzi;995,67;;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;7561,60;;
80.03.19;Amm.to ordinario impianti elettrici;288,57;;
80.03.23;Amm.to ordinario impianti specifici;1338,08;;
80.03.29;Amm.to ordin.altri impianti e macchinari;167,50;;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;1091,24;;
80.03.35;Amm.to ordinario mobili e arredi;3806,81;;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;43,38;;
80.03.45;Amm.to ordinario automezzi;826,02;;
