47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;641971,69
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;248897,29
47.01.03;Vendita merci;0,00;248897,29
47.07;CORRISPETTIVI;0,00;392942,40
47.07.01;Corrispettivi;0,00;392942,40
47.09;RICAVI ACCESSORI DI VENDITA;0,00;132,00
47.09.03;Rivalsa spese di incasso;0,00;132,00
53;ALTRI RICAVI E PROVENTI;0,00;114,13
53.01;PROVENTI DIVERSI;0,00;114,13
53.01.29;Arrotondamenti attivi diversi;0,00;14,13
53.01.51;Altri ricavi e proventi;0,00;100,00
53.01.51.01;Altri ricavi e proventi imponibili;0,00;100,00
55;ACQUISTI DI BENI;201101,59;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;198610,15;0,00
55.01.01;Acquisti materie prime;159035,38;0,00
55.01.05;Acquisti materiali di consumo;7000,49;0,00
55.01.07;Acquisti merci per la rivendita;18428,85;0,00
55.01.09;Confezioni e imballi;13714,16;0,00
55.01.19;Oneri accessori su acquisti;431,27;0,00
55.07;ACQUISTI DIVERSI;2491,44;0,00
55.07.01;Acquisto beni strumentali inf.516,46;54,40;0,00
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;54,40;0,00
55.07.03;Attrezzatura minuta;324,42;0,00
55.07.11;Materiali manutenz.impianti e macchinari;157,00;0,00
55.07.23;Indumenti da lavoro;48,70;0,00
55.07.51;Materiale vario di consumo;1906,92;0,00
57;ACQUISTI DI SERVIZI;32996,39;0,00
57.01;SERVIZI PER LA PRODUZIONE;992,62;0,00
57.01.01;Lavorazioni di terzi;10,40;0,00
57.01.01.01;Lavorazioni di terzi;10,40;0,00
57.01.51;Altri servizi per la produzione;982,22;0,00
57.01.51.01;Altri servizi per la produzione;982,22;0,00
57.09;COSTI PER UTENZE;26953,42;0,00
57.09.01;Spese telefoniche ordinarie;1079,68;0,00
57.09.01.01;Spese telefoniche ordinarie;1079,68;0,00
57.09.13;Energia elettrica;11675,50;0,00
57.09.13.01;Energia elettrica;11675,50;0,00
57.09.17;Acqua potabile;1166,74;0,00
57.09.19;Gas;3531,50;0,00
57.09.21;Pulizia locali;9500,00;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;5050,35;0,00
57.11.01;Spese manut.impianti e macchin.propri;3814,50;0,00
57.11.03;Spese manutenzione attrezzature proprie;56,00;0,00
57.11.09;Canoni manut.impianti e macchin.propri;595,00;0,00
57.11.11;Canoni manutenzione attrezzature proprie;584,85;0,00
59;GESTIONE VEICOLI AZIENDALI;5215,94;0,00
59.01;ESERCIZIO AUTOMEZZI;5215,94;0,00
59.01.01;Carburanti e lubrificanti automezzi;1473,87;0,00
59.01.05;Premi di assicurazione automezzi;969,60;0,00
59.01.07;Altre spese automezzi;2191,01;0,00
59.01.13;Spese manutenzione automezzi propri;581,46;0,00
59.01.13.03;Spese manutenzione automezzi propri;581,46;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;2747,54;0,00
61.01;PRESTAZIONI DI LAVORO AUTONOMO;2747,54;0,00
61.01.01;Consulenze amministrative e fiscali;2557,58;0,00
61.01.01.01;Consulenze ammin.e fiscali (non ordin.);2557,58;0,00
61.01.19;Contributi cassa previdenza lav.autonomo;189,96;0,00
61.01.19.05;Contr.cassa prev.cons.ammin.fisc.(ordin);189,96;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;6728,45;0,00
63.01;SPESE COMMERCIALI E DI VIAGGIO;367,89;0,00
63.01.21;Spese rappres.deduc.(con limite ricavi);367,89;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;6360,56;0,00
63.05.01;Spese postali;24,10;0,00
63.05.07;Servizi contabili di terzi;5228,52;0,00
63.05.11;Altre spese amministrative;104,61;0,00
63.05.15;Premi di assicurazioni obbligatorie;548,57;0,00
63.05.17;Servizi di vigilanza;181,98;0,00
63.05.23;Valori bollati;24,99;0,00
63.05.25;Assistenza software;247,79;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;40587,00;0,00
65.01;GESTIONE IMMOBILI;39810,00;0,00
65.01.05;Canoni locazione immobili;39810,00;0,00
65.01.05.01;Canoni locazione immobili deducibili;39810,00;0,00
65.07;CANONI E LICENZE SOFTWARE;777,00;0,00
