47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;27685,00
47.07;CORRISPETTIVI;0,00;26805,00
47.07.01;Corrispettivi;0,00;26805,00
47.07.01;LEZIONI DI GRUPPO;0,00;20425,00
47.07.01;LEZIONI INDIVIDUALI;0,00;6380,00
47.11;RICAVI DA PRESTAZIONI;0,00;880,00
47.11.03;Prestazioni di servizi;0,00;880,00
53;ALTRI RICAVI E PROVENTI;0,00;194,75
53.01;PROVENTI DIVERSI;0,00;194,75
53.01.51;Altri ricavi e proventi;0,00;194,75
53.01.51.01;Altri ricavi e proventi imponibili;0,00;194,75
55;ACQUISTI DI BENI;920,21;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;590,79;
55.03.01;Acq.beni materiali per produz. servizi;590,79;
55.07;ACQUISTI DIVERSI;329,42;
55.07.01;Acquisto beni strumentali inf.516,46;63,98;
55.07.01.03;Acq.beni strum.inf.516,46 tel.fissa/mob.;63,98;
55.07.03;Attrezzatura minuta;45,69;
55.07.17;Cancelleria varia;219,75;
57;ACQUISTI DI SERVIZI;1625,90;
57.01;SERVIZI PER LA PRODUZIONE;305,00;
57.01.51;Altri servizi per la produzione;305,00;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);305,00;
57.03;COSTI ACCESSORI PER VENDITE;457,61;
57.03.01;Trasporti su vendite;457,61;
57.09;COSTI PER UTENZE;841,11;
57.09.01;Spese telefoniche ordinarie;200,31;
57.09.01.01;Spese telefoniche ordinarie;200,31;
57.09.03;Spese telefoniche radiomobili;103,66;
57.09.13;Energia elettrica;537,14;
57.09.13.01;Energia elettrica;537,14;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;22,18;
57.11.03;Spese manutenzione attrezzature proprie;11,00;
57.11.05;Spese manutenzione telefoni propri;11,18;
57.11.05.01;Spese manut.telefoni radiomobili propri;11,18;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2402,59;
63.01;SPESE COMMERCIALI E DI VIAGGIO;1226,10;
63.01.01;Pubblicit…, inserzioni e affissioni;854,00;
63.01.01.01;PUBBLICITA CARTELLONI AUTOBUS E SEAT PG;854,00;
63.01.03;Materiale pubblicitario;372,10;
63.01.03.01;TIPOGRAFIA/PROSPETTI PUBBL., VOLANTINI;372,10;
63.01.07;IVA non detratta su prestaz.alberghiere;0,00;
63.01.09;Spese per alberghi e ristoranti;0,00;
63.01.09.05;Sp.alberghi,rist(rappr.indeducibili);0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;1176,49;
63.05.01;Spese postali;78,25;
63.05.07;Servizi contabili di terzi;1096,24;
63.05.23;Valori bollati;2,00;
65;COSTI PER GODIMENTO BENI DI TERZI;366,38;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;366,38;
65.05.15;Canoni noleggio attrezzature;366,38;
67;COSTI PERSONALE DIPENDENTE;11069,54;
67.01;COSTI PERSONALE DIPENDENTE;11069,54;
67.01.01;Retribuzioni lorde;11073,63;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;11073,63;
67.01.03;Contributi INPS;-4,09;
67.01.03.01;Contributi INPS dipendenti ordinari;-4,09;
71;ONERI DIVERSI DI GESTIONE;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;0,00;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
71.03.01.05;Spese, perdite e sopravv.passive inded.;0,00;
80;AMMORTAMENTI;222,58;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;222,58;
80.03.13;Amm.ordinario impianti condizionamento;28,70;
80.03.35;Amm.to ordinario mobili e arredi;16,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;177,88;
