47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;104917,50;;
47.07;CORRISPETTIVI;0,00;79601,50;;
47.07.01;Corrispettivi;0,00;79601,50;;
47.07.01;LEZIONI DI GRUPPO;0,00;49296,50;;
47.07.01;LEZIONI INDIVIDUALI;0,00;30305,00;;
47.11;RICAVI DA PRESTAZIONI;0,00;25316,00;;
47.11.03;Prestazioni di servizi;0,00;25316,00;;
53;ALTRI RICAVI E PROVENTI;0,00;194,75;;
53.01;PROVENTI DIVERSI;0,00;194,75;;
53.01.51;Altri ricavi e proventi;0,00;194,75;;
53.01.51.01;Altri ricavi e proventi imponibili;0,00;194,75;;
55;ACQUISTI DI BENI;3984,44;;;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;1180,38;;;
55.03.01;Acq.beni materiali per produz. servizi;1180,38;;;
55.07;ACQUISTI DIVERSI;2804,06;;;
55.07.01;Acquisto beni strumentali inf.516,46;264,97;;;
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;200,99;;;
55.07.01.03;Acq.beni strum.inf.516,46 tel.fissa/mob.;63,98;;;
55.07.03;Attrezzatura minuta;76,68;;;
55.07.17;Cancelleria varia;2203,27;;;
55.07.51;Materiale vario di consumo;259,14;;;
57;ACQUISTI DI SERVIZI;7848,47;;;
57.01;SERVIZI PER LA PRODUZIONE;305,00;;;
57.01.51;Altri servizi per la produzione;305,00;;;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);305,00;;;
57.03;COSTI ACCESSORI PER VENDITE;1374,19;;;
57.03.01;Trasporti su vendite;1374,19;;;
57.09;COSTI PER UTENZE;3219,66;;;
57.09.01;Spese telefoniche ordinarie;1385,57;;;
57.09.01.01;Spese telefoniche ordinarie;1385,57;;;
57.09.03;Spese telefoniche radiomobili;534,18;;;
57.09.13;Energia elettrica;1299,91;;;
57.09.13.01;Energia elettrica;1299,91;;;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;54,18;;;
57.11.03;Spese manutenzione attrezzature proprie;43,00;;;
57.11.05;Spese manutenzione telefoni propri;11,18;;;
57.11.05.01;Spese manut.telefoni radiomobili propri;11,18;;;
57.13;MANUTENZIONE FABBRICATI;2895,44;;;
57.13.01;Spese manutenzione fabbricati;2895,44;;;
57.13.01.13;Spese manut.su immobili di terzi;2895,44;;;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;250,00;;;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;250,00;;;
61.01.11;Consulenze/prestazioni diverse;250,00;;;
61.01.11.01;Consulenze afferenti diverse;250,00;;;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;12004,21;;;
63.01;SPESE COMMERCIALI E DI VIAGGIO;6803,94;;;
63.01.01;Pubblicit…, inserzioni e affissioni;2318,00;;;
63.01.01.01;PUBBLICITA CARTELLONI AUTOBUS E SEAT PG;2318,00;;;
63.01.03;Materiale pubblicitario;4485,94;;;
63.01.03.01;TIPOGRAFIA/PROSPETTI PUBBL., VOLANTINI;4485,94;;;
63.01.07;IVA non detratta su prestaz.alberghiere;0,00;;;
63.01.09;Spese per alberghi e ristoranti;0,00;;;
63.01.09.05;Sp.alberghi,rist(rappr.indeducibili);0,00;;;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);608,24;;;
63.03.01;Spese di rappresentanza (on.gest.);608,24;;;
63.03.01.01;Sp.di rappr.ded.con lim.ricavi(on.gest.);608,24;;;
63.05;SPESE AMMINISTRATIVE E GENERALI;4592,03;;;
63.05.01;Spese postali;128,60;;;
63.05.07;Servizi contabili di terzi;3518,63;;;
63.05.11;Altre spese amministrative;292,80;;;
63.05.23;Valori bollati;42,00;;;
63.05.25;Assistenza software;610,00;;;
65;COSTI PER GODIMENTO BENI DI TERZI;4313,20;;;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;4313,20;;;
65.05.15;Canoni noleggio attrezzature;4313,20;;;
67;COSTI PERSONALE DIPENDENTE;56780,66;;;
67.01;COSTI PERSONALE DIPENDENTE;56780,66;;;
67.01.01;Retribuzioni lorde;47654,27;;;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;47654,27;;;
67.01.03;Contributi INPS;9126,39;;;
67.01.03.01;Contributi INPS dipendenti ordinari;9126,39;;;
71;ONERI DIVERSI DI GESTIONE;165,49;;;
71.03;ALTRI COSTI DI ESERCIZIO;165,49;;;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;;;
71.03.01.05;Spese, perdite e sopravv.passive inded.;0,00;;;
71.03.11;Abbonamenti, libri e pubblicazioni;165,49;;;
75;ONERI FINANZIARI;819,69;;;
75.01;ONERI FINANZIARI VERSO BANCHE;819,69;;;
75.01.07;Commissioni e spese bancarie;819,69;;;
80;AMMORTAMENTI;1133,43;;;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1133,43;;;
80.03.13;Amm.ordinario impianti condizionamento;133,05;;;
80.03.33;Amm.to ordinario attrezz.varia e minuta;130,26;;;
80.03.35;Amm.to ordinario mobili e arredi;73,85;;;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;796,27;;;
