47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;148448,85
  47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;148429,35
    47.01.03;Vendita merci;0,00;133471,02
    47.01.91;Vendite Intracomunitarie;0,00;14958,33
  47.09;RICAVI ACCESSORI DI VENDITA;0,00;19,50
    47.09.03;Rivalsa spese di incasso;0,00;3,50
    47.09.90;Rivalsa Diritti e Bolli;0,00;16,00
53;ALTRI RICAVI E PROVENTI;0,00;11920,33
  53.01;PROVENTI DIVERSI;0,00;11920,33
    53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00
    53.01.29;Arrotondamenti attivi diversi;0,00;5,53
    53.01.51;Altri ricavi e proventi;0,00;2758,80
      53.01.51.01;Altri ricavi e proventi imponibili;0,00;2758,80
55;ACQUISTI DI BENI;8208,68;0,00
  55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;8223,31;0,00
    55.01.01;Acquisti materie prime;7509,53;0,00
    55.01.05;Acquisti materiali di consumo;337,22;0,00
    55.01.09;Confezioni e imballi;376,56;0,00
  55.07;ACQUISTI DIVERSI;0,00;14,63
    55.07.03;Attrezzatura minuta;0,00;14,63
57;ACQUISTI DI SERVIZI;37686,53;0,00
  57.01;SERVIZI PER LA PRODUZIONE;36856,52;0,00
    57.01.01;Lavorazioni di terzi;36856,52;0,00
      57.01.01.01;Lavorazioni di terzi;36856,52;0,00
  57.03;COSTI ACCESSORI PER VENDITE;81,82;0,00
    57.03.01;Trasporti su vendite;81,82;0,00
  57.09;COSTI PER UTENZE;182,95;0,00
    57.09.01;Spese telefoniche ordinarie;318,15;0,00
      57.09.01.01;Spese telefoniche ordinarie;318,15;0,00
    57.09.03;Spese telefoniche radiomobili;0,00;135,20
  57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;565,24;0,00
    57.11.01;Spese manut.impianti e macchin.propri;555,62;0,00
    57.11.07;Altre spese manutenzione beni propri;98,80;0,00
      57.11.07.01;Altre spese manutenzione beni propri;98,80;0,00
    57.11.09;Canoni manut.impianti e macchin.propri;0,00;89,18
59;GESTIONE VEICOLI AZIENDALI;1584,44;0,00
  59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;1584,44;0,00
    59.03.01;Carburanti e lubrificanti veicoli;90,16;0,00
      59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;90,16;0,00
    59.03.03;Premi assicurazioni veicoli;1393,01;0,00
      59.03.03.01;Premi assicur.veicoli aziendali deduc.;614,79;0,00
      59.03.03.05;Premi assicur.veicoli aziend.non strum.;778,22;0,00
    59.03.13;Tasse possesso veicoli;101,27;0,00
      59.03.13.01;Tassa possesso veicoli aziendali deduc.;5,89;0,00
      59.03.13.11;Tassa possesso veic. azien. non strum.;95,38;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1662,06;0,00
  63.01;SPESE COMMERCIALI E DI VIAGGIO;61,51;0,00
    63.01.21;Spese rappres.deduc.(con limite ricavi);61,51;0,00
  63.05;SPESE AMMINISTRATIVE E GENERALI;1600,55;0,00
    63.05.11;Altre spese amministrative;4,00;0,00
    63.05.13;Premi di assicurazioni non obbligatorie;1245,28;0,00
      63.05.13.01;Premi di assicuraz.non obblig.deducibili;1245,28;0,00
    63.05.17;Servizi di vigilanza;92,70;0,00
    63.05.23;Valori bollati;47,50;0,00
    63.05.25;Assistenza software;211,07;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;16766,31;0,00
  65.01;GESTIONE IMMOBILI;6588,23;0,00
    65.01.05;Canoni locazione immobili;6588,23;0,00
      65.01.05.01;Canoni locazione immobili deducibili;6588,23;0,00
  65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;10178,08;0,00
    65.05.03;Canoni leasing impianti e macchinari;9641,07;0,00
    65.05.09;Inter.canoni leasing imp.e macchinari;397,24;0,00
    65.05.15;Canoni noleggio attrezzature;139,77;0,00
67;COSTI PERSONALE DIPENDENTE;32894,96;0,00
  67.01;COSTI PERSONALE DIPENDENTE;29575,80;0,00
    67.01.01;Retribuzioni lorde;23226,28;0,00
      67.01.01.01;Retribuzioni lorde dipendenti ordinari;23226,28;0,00
    67.01.03;Contributi INPS;6074,72;0,00
      67.01.03.01;Contributi INPS dipendenti ordinari;6074,72;0,00
    67.01.09;Contrib.altri enti previdenz./assistenz.;274,80;0,00
      67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;274,80;0,00
  67.03;COSTI DIVERSI PERSONALE DIPENDENTE;3319,16;0,00
