47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;500351,08
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;500283,58
47.01.03;Vendita merci;0,00;422681,28
47.01.90;Vendite Estero;0,00;18645,00
47.01.91;Vendite Intracomunitarie;0,00;58957,30
47.09;RICAVI ACCESSORI DI VENDITA;0,00;67,50
47.09.03;Rivalsa spese di incasso;0,00;3,50
47.09.90;Rivalsa Diritti e Bolli;0,00;64,00
53;ALTRI RICAVI E PROVENTI;0,00;16656,09
53.01;PROVENTI DIVERSI;0,00;16656,09
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00
53.01.29;Arrotondamenti attivi diversi;0,00;16,29
53.01.51;Altri ricavi e proventi;0,00;7483,80
53.01.51.01;Altri ricavi e proventi imponibili;0,00;7483,80
55;ACQUISTI DI BENI;105157,66;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;102323,38;0,00
55.01.01;Acquisti materie prime;96284,57;0,00
55.01.05;Acquisti materiali di consumo;5341,15;0,00
55.01.09;Confezioni e imballi;687,86;0,00
55.01.19;Oneri accessori su acquisti;9,80;0,00
55.07;ACQUISTI DIVERSI;2834,28;0,00
55.07.03;Attrezzatura minuta;878,12;0,00
55.07.11;Materiali manutenz.impianti e macchinari;1081,45;0,00
55.07.13;Materiali manutenzioni diverse;874,71;0,00
57;ACQUISTI DI SERVIZI;106815,16;0,00
57.01;SERVIZI PER LA PRODUZIONE;82749,37;0,00
57.01.01;Lavorazioni di terzi;82749,37;0,00
57.01.01.01;Lavorazioni di terzi;82749,37;0,00
57.03;COSTI ACCESSORI PER VENDITE;599,93;0,00
57.03.01;Trasporti su vendite;599,93;0,00
57.05;COSTI ACCESSORI PER ACQUISTI;50,00;0,00
57.05.01;Trasporti su acquisti;50,00;0,00
57.05.01.01;Trasporti su acquisti;50,00;0,00
57.09;COSTI PER UTENZE;7163,81;0,00
57.09.01;Spese telefoniche ordinarie;803,13;0,00
57.09.01.01;Spese telefoniche ordinarie;803,13;0,00
57.09.03;Spese telefoniche radiomobili;135,20;0,00
57.09.13;Energia elettrica;6225,48;0,00
57.09.13.01;Energia elettrica;6225,48;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;16252,05;0,00
57.11.01;Spese manut.impianti e macchin.propri;4330,53;0,00
57.11.03;Spese manutenzione attrezzature proprie;69,75;0,00
57.11.07;Altre spese manutenzione beni propri;7264,41;0,00
57.11.07.01;Altre spese manutenzione beni propri;7264,41;0,00
57.11.09;Canoni manut.impianti e macchin.propri;2095,76;0,00
57.11.15;Spese manut.impianti e macchin.di terzi;2491,60;0,00
59;GESTIONE VEICOLI AZIENDALI;1852,86;0,00
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;1852,86;0,00
59.03.01;Carburanti e lubrificanti veicoli;180,32;0,00
59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;180,32;0,00
59.03.03;Premi assicurazioni veicoli;1393,01;0,00
59.03.03.01;Premi assicur.veicoli aziendali deduc.;614,79;0,00
59.03.03.05;Premi assicur.veicoli aziend.non strum.;778,22;0,00
59.03.05;Altre spese veicoli;2,34;0,00
59.03.05.07;Altre spese veicoli aziendali non strum.;2,34;0,00
59.03.13;Tasse possesso veicoli;101,27;0,00
59.03.13.01;Tassa possesso veicoli aziendali deduc.;5,89;0,00
59.03.13.11;Tassa possesso veic. azien. non strum.;95,38;0,00
59.03.15;Spese manutenzione veicoli propri;175,92;0,00
59.03.15.11;Spese manut.veic.propri aziend.non strum;175,92;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;1842,64;0,00
61.01;PRESTAZIONI DI LAVORO AUTONOMO;1700,00;0,00
61.01.11;Consulenze/prestazioni diverse;1700,00;0,00
61.01.11.05;Consulenze non afferenti diverse;1700,00;0,00
61.05;COMPENSI ORGANI SOCIALI;142,64;0,00
61.05.15;Premi INAIL soci/titolari;142,64;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;15363,69;0,00
63.01;SPESE COMMERCIALI E DI VIAGGIO;1565,88;0,00
63.01.13;Spese di viaggio;1314,54;0,00
63.01.15;Pedaggi autostradali veicoli;153,55;0,00
63.01.15.09;Pedaggi autostr.veicoli azien.non strum;153,55;0,00
63.01.21;Spese rappres.deduc.(con limite ricavi);97,79;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;13797,81;0,00
63.05.01;Spese postali;6,00;0,00
63.05.07;Servizi contabili di terzi;2422,54;0,00
63.05.11;Altre spese amministrative;7,50;0,00
63.05.13;Premi di assicurazioni non obbligatorie;1875,58;0,00
63.05.13.01;Premi di assicuraz.non obblig.deducibili;1875,58;0,00
63.05.17;Servizi di vigilanza;278,10;0,00
63.05.19;Servizi smaltimento rifiuti;8232,10;0,00
63.05.23;Valori bollati;151,00;0,00
63.05.25;Assistenza software;824,99;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;48672,60;0,00
65.01;GESTIONE IMMOBILI;19764,69;0,00
65.01.05;Canoni locazione immobili;19764,69;0,00
65.01.05.01;Canoni locazione immobili deducibili;19764,69;0,00
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;28907,91;0,00
65.05.03;Canoni leasing impianti e macchinari;27327,75;0,00
65.05.09;Inter.canoni leasing imp.e macchinari;1125,90;0,00
65.05.15;Canoni noleggio attrezzature;454,26;0,00
67;COSTI PERSONALE DIPENDENTE;93302,33;0,00
67.01;COSTI PERSONALE DIPENDENTE;89983,17;0,00
67.01.01;Retribuzioni lorde;67958,20;0,00
67.01.01.01;Retribuzioni lorde dipendenti ordinari;67958,20;0,00
67.01.03;Contributi INPS;17774,67;0,00
67.01.03.01;Contributi INPS dipendenti ordinari;17774,67;0,00
67.01.09;Contrib.altri enti previdenz./assistenz.;816,65;0,00
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;816,65;0,00
67.01.11;Premi INAIL;3433,65;0,00
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;3319,16;0,00
67.03.19;Erogaz.altre indennit…/incentivi/accordi;3169,16;0,00
67.03.51;Altri costi per il personale dipendente;150,00;0,00
71;ONERI DIVERSI DI GESTIONE;1576,83;0,00
71.03;ALTRI COSTI DI ESERCIZIO;1576,83;0,00
71.03.01;Spese, perdite e sopravvenienze passive;217,08;0,00
71.03.01.05;Spese, perdite e sopravv.passive inded.;217,08;0,00
71.03.09;Cancelleria varia;471,52;0,00
71.03.17;Arrotondamenti passivi diversi;25,66;0,00
71.03.19;Carbur.e lubrif.(no costi produz.);566,00;0,00
71.03.19.01;Carb.e lubr.veic.az.non strum.(no prod);566,00;0,00
71.03.51;Costi e spese diverse;296,57;0,00
75;ONERI FINANZIARI;347,42;0,00
75.01;ONERI FINANZIARI VERSO BANCHE;283,59;0,00
75.01.07;Commissioni e spese bancarie;283,59;0,00
75.03;ONERI FINANZIARI DIVERSI;63,83;0,00
75.03.05;Interessi passivi su mutui;52,80;0,00
75.03.27;Interessi passivi di mora;11,03;0,00
75.03.27.01;Interessi passivi di mora pagati;11,03;0,00
80;AMMORTAMENTI;5716,08;0,00
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;5716,08;0,00
80.03.13;Amm.ordinario impianti condizionamento;157,76;0,00
80.03.21;Amm.to ordin.impianti telefonici;111,81;0,00
80.03.21.01;Amm.to ordin.impianti telef.totalm.ded.;111,81;0,00
80.03.23;Amm.to ordinario impianti specifici;104,76;0,00
80.03.27;Amm.to ordinario macchinari automatici;899,51;0,00
80.03.29;Amm.to ordin.altri impianti e macchinari;2744,38;0,00
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;583,08;0,00
80.03.33;Amm.to ordinario attrezz.varia e minuta;226,07;0,00
80.03.35;Amm.to ordinario mobili e arredi;434,45;0,00
80.03.37;Amm.ordin.mobili e macchine da ufficio;44,40;0,00
80.03.39;Amm.ord.macchine d'ufficio elettroniche;279,88;0,00
80.03.41;Amm.to ordinario costruzioni leggere;100,04;0,00
80.03.59;Amm.to ordinario altri beni materiali;29,94;0,00
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;29,94;0,00
