47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;918266,01
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;918142,01
47.01.03;Vendita merci;0,00;829319,58
47.01.90;Vendite Estero;0,00;22584,40
47.01.91;Vendite Intracomunitarie;0,00;66238,03
47.09;RICAVI ACCESSORI DI VENDITA;0,00;124,00
47.09.03;Rivalsa spese di incasso;0,00;14,00
47.09.90;Rivalsa Diritti e Bolli;0,00;110,00
53;ALTRI RICAVI E PROVENTI;0,00;25863,79
53.01;PROVENTI DIVERSI;0,00;25440,79
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00
53.01.29;Arrotondamenti attivi diversi;0,00;26,80
53.01.51;Altri ricavi e proventi;0,00;16257,99
53.01.51.01;Altri ricavi e proventi imponibili;0,00;16257,99
53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;0,00;423,00
53.09.03;Sopravv.attive da eventi str./es.prec.;0,00;423,00
53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;0,00;423,00
55;ACQUISTI DI BENI;160320,85;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;156014,96;0,00
55.01.01;Acquisti materie prime;146968,92;0,00
55.01.05;Acquisti materiali di consumo;8242,08;0,00
55.01.09;Confezioni e imballi;791,06;0,00
55.01.19;Oneri accessori su acquisti;12,90;0,00
55.07;ACQUISTI DIVERSI;4305,89;0,00
55.07.03;Attrezzatura minuta;1013,04;0,00
55.07.11;Materiali manutenz.impianti e macchinari;2319,43;0,00
55.07.13;Materiali manutenzioni diverse;973,42;0,00
57;ACQUISTI DI SERVIZI;226416,62;0,00
57.01;SERVIZI PER LA PRODUZIONE;180350,79;0,00
57.01.01;Lavorazioni di terzi;175160,04;0,00
57.01.01.01;Lavorazioni di terzi;175160,04;0,00
57.01.51;Altri servizi per la produzione;5190,75;0,00
57.01.51.01;Altri servizi per la produzione;5190,75;0,00
57.03;COSTI ACCESSORI PER VENDITE;1135,15;0,00
57.03.01;Trasporti su vendite;1135,15;0,00
57.05;COSTI ACCESSORI PER ACQUISTI;516,72;0,00
57.05.01;Trasporti su acquisti;516,72;0,00
57.05.01.01;Trasporti su acquisti;516,72;0,00
57.07;COSTI PER INTERMEDIAZIONE VENDITE;105,05;0,00
57.07.03;Quote ENASARCO;105,05;0,00
57.07.03.01;Quote ENASARCO;105,05;0,00
57.09;COSTI PER UTENZE;13225,76;0,00
57.09.01;Spese telefoniche ordinarie;1283,60;0,00
57.09.01.01;Spese telefoniche ordinarie;1283,60;0,00
57.09.03;Spese telefoniche radiomobili;370,48;0,00
57.09.13;Energia elettrica;11571,68;0,00
57.09.13.01;Energia elettrica;11571,68;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;31083,15;0,00
57.11.01;Spese manut.impianti e macchin.propri;17261,73;0,00
57.11.03;Spese manutenzione attrezzature proprie;69,75;0,00
57.11.07;Altre spese manutenzione beni propri;8997,31;0,00
57.11.07.01;Altre spese manutenzione beni propri;8997,31;0,00
57.11.09;Canoni manut.impianti e macchin.propri;2095,76;0,00
57.11.15;Spese manut.impianti e macchin.di terzi;2609,60;0,00
57.11.17;Spese manutenzione attrezzature di terzi;49,00;0,00
59;GESTIONE VEICOLI AZIENDALI;1951,22;0,00
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;1951,22;0,00
59.03.01;Carburanti e lubrificanti veicoli;278,68;0,00
59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;278,68;0,00
59.03.03;Premi assicurazioni veicoli;1393,01;0,00
59.03.03.01;Premi assicur.veicoli aziendali deduc.;614,79;0,00
