47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;1160385,18
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1152950,83
47.01.03;Vendita merci;0,00;1060623,20
47.01.90;Vendite Estero;0,00;22584,40
47.01.91;Vendite Intracomunitarie;0,00;69743,23
47.09;RICAVI ACCESSORI DI VENDITA;0,00;7434,35
47.09.03;Rivalsa spese di incasso;0,00;14,00
47.09.05;Ricavi accessori diversi;0,00;7292,35
47.09.90;Rivalsa Diritti e Bolli;0,00;128,00
53;ALTRI RICAVI E PROVENTI;0,00;25869,91
53.01;PROVENTI DIVERSI;0,00;25446,91
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00
53.01.29;Arrotondamenti attivi diversi;0,00;32,92
53.01.51;Altri ricavi e proventi;0,00;16257,99
53.01.51.01;Altri ricavi e proventi imponibili;0,00;16257,99
53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;0,00;423,00
53.09.03;Sopravv.attive da eventi str./es.prec.;0,00;423,00
53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;0,00;423,00
55;ACQUISTI DI BENI;193544,16;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;187119,24;0,00
55.01.01;Acquisti materie prime;177135,86;0,00
55.01.05;Acquisti materiali di consumo;9164,71;0,00
55.01.09;Confezioni e imballi;791,06;0,00
55.01.19;Oneri accessori su acquisti;27,61;0,00
55.07;ACQUISTI DIVERSI;6424,92;0,00
55.07.03;Attrezzatura minuta;1205,04;0,00
55.07.11;Materiali manutenz.impianti e macchinari;2534,92;0,00
55.07.13;Materiali manutenzioni diverse;2684,96;0,00
57;ACQUISTI DI SERVIZI;299787,83;0,00
57.01;SERVIZI PER LA PRODUZIONE;247833,52;0,00
57.01.01;Lavorazioni di terzi;237974,47;0,00
57.01.01.01;Lavorazioni di terzi;237974,47;0,00
57.01.51;Altri servizi per la produzione;9859,05;0,00
57.01.51.01;Altri servizi per la produzione;9859,05;0,00
57.03;COSTI ACCESSORI PER VENDITE;1135,15;0,00
57.03.01;Trasporti su vendite;1135,15;0,00
57.05;COSTI ACCESSORI PER ACQUISTI;1292,72;0,00
57.05.01;Trasporti su acquisti;1292,72;0,00
57.05.01.01;Trasporti su acquisti;1292,72;0,00
57.07;COSTI PER INTERMEDIAZIONE VENDITE;105,05;0,00
57.07.03;Quote ENASARCO;105,05;0,00
57.07.03.01;Quote ENASARCO;105,05;0,00
57.09;COSTI PER UTENZE;16999,08;0,00
57.09.01;Spese telefoniche ordinarie;1283,60;0,00
57.09.01.01;Spese telefoniche ordinarie;1283,60;0,00
57.09.03;Spese telefoniche radiomobili;370,48;0,00
57.09.13;Energia elettrica;15345,00;0,00
57.09.13.01;Energia elettrica;15345,00;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;32422,31;0,00
57.11.01;Spese manut.impianti e macchin.propri;17401,93;0,00
57.11.03;Spese manutenzione attrezzature proprie;69,75;0,00
57.11.07;Altre spese manutenzione beni propri;8489,47;0,00
57.11.07.01;Altre spese manutenzione beni propri;8489,47;0,00
57.11.09;Canoni manut.impianti e macchin.propri;3802,56;0,00
57.11.15;Spese manut.impianti e macchin.di terzi;2609,60;0,00
57.11.17;Spese manutenzione attrezzature di terzi;49,00;0,00
59;GESTIONE VEICOLI AZIENDALI;2000,40;0,00
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;2000,40;0,00
59.03.01;Carburanti e lubrificanti veicoli;327,86;0,00
59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;327,86;0,00
59.03.03;Premi assicurazioni veicoli;1393,01;0,00
59.03.03.01;Premi assicur.veicoli aziendali deduc.;614,79;0,00
59.03.03.05;Premi assicur.veicoli aziend.non strum.;778,22;0,00
59.03.05;Altre spese veicoli;2,34;0,00
59.03.05.07;Altre spese veicoli aziendali non strum.;2,34;0,00
59.03.13;Tasse possesso veicoli;101,27;0,00
59.03.13.01;Tassa possesso veicoli aziendali deduc.;5,89;0,00
59.03.13.11;Tassa possesso veic. azien. non strum.;95,38;0,00
59.03.15;Spese manutenzione veicoli propri;175,92;0,00
59.03.15.11;Spese manut.veic.propri aziend.non strum;175,92;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;9259,64;0,00
61.01;PRESTAZIONI DI LAVORO AUTONOMO;9117,00;0,00
61.01.11;Consulenze/prestazioni diverse;8703,00;0,00
61.01.11.05;Consulenze non afferenti diverse;8703,00;0,00
61.01.17;Altri costi per prestazioni di terzi;350,00;0,00
61.01.17.03;Altri costi per prest.di terzi non affer.;350,00;0,00
61.01.19;Contributi cassa previdenza lav.autonomo;64,00;0,00
61.01.19.03;Contrib.cassa previd.lav.aut. non affer.;64,00;0,00
61.05;COMPENSI ORGANI SOCIALI;142,64;0,00
61.05.15;Premi INAIL soci/titolari;142,64;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;29587,24;0,00
63.01;SPESE COMMERCIALI E DI VIAGGIO;6413,76;0,00
63.01.01;Pubblicit…, inserzioni e affissioni;453,00;0,00
63.01.01.01;Pubblicit…, inserz. e affissioni ded.;453,00;0,00
63.01.13;Spese di viaggio;5493,33;0,00
63.01.15;Pedaggi autostradali veicoli;225,31;0,00
63.01.15.09;Pedaggi autostr.veicoli azien.non strum;225,31;0,00
63.01.21;Spese rappres.deduc.(con limite ricavi);242,12;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;23173,48;0,00
63.05.01;Spese postali;52,00;0,00
63.05.07;Servizi contabili di terzi;6765,92;0,00
63.05.11;Altre spese amministrative;105,51;0,00
63.05.13;Premi di assicurazioni non obbligatorie;3177,88;0,00
63.05.13.01;Premi di assicuraz.non obblig.deducibili;3177,88;0,00
63.05.17;Servizi di vigilanza;556,20;0,00
63.05.19;Servizi smaltimento rifiuti;10165,70;0,00
63.05.23;Valori bollati;654,40;0,00
63.05.25;Assistenza software;1695,87;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;85583,70;0,00
65.01;GESTIONE IMMOBILI;39529,38;0,00
65.01.05;Canoni locazione immobili;39529,38;0,00
65.01.05.01;Canoni locazione immobili deducibili;39529,38;0,00
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;46004,32;0,00
65.05.03;Canoni leasing impianti e macchinari;43078,16;0,00
65.05.09;Inter.canoni leasing imp.e macchinari;2191,13;0,00
65.05.15;Canoni noleggio attrezzature;735,03;0,00
65.07;CANONI E LICENZE SOFTWARE;50,00;0,00
65.07.03;Licenze d'uso software non capitalizzati;50,00;0,00
67;COSTI PERSONALE DIPENDENTE;202990,25;0,00
67.01;COSTI PERSONALE DIPENDENTE;198517,94;0,00
67.01.01;Retribuzioni lorde;153345,36;0,00
67.01.01.01;Retribuzioni lorde dipendenti ordinari;153345,36;0,00
67.01.03;Contributi INPS;40091,38;0,00
67.01.03.01;Contributi INPS dipendenti ordinari;40091,38;0,00
67.01.09;Contrib.altri enti previdenz./assistenz.;1647,55;0,00
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;1647,55;0,00
67.01.11;Premi INAIL;3433,65;0,00
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;4472,31;0,00
67.03.19;Erogaz.altre indennit…/incentivi/accordi;3169,16;0,00
67.03.25;Visite mediche periodiche ai dipendenti;1153,15;0,00
67.03.51;Altri costi per il personale dipendente;150,00;0,00
71;ONERI DIVERSI DI GESTIONE;6188,95;0,00
71.01;ONERI TRIBUTARI;1780,00;0,00
71.01.13;Tassa raccolta e smaltimento rifiuti;1383,00;0,00
71.01.51;Altre imposte e tasse indirette;397,00;0,00
71.01.51.01;Altre imposte e tasse indirette ded.;397,00;0,00
71.03;ALTRI COSTI DI ESERCIZIO;4131,85;0,00
71.03.01;Spese, perdite e sopravvenienze passive;289,45;0,00
71.03.01.05;Spese, perdite e sopravv.passive inded.;289,45;0,00
71.03.09;Cancelleria varia;1300,88;0,00
71.03.17;Arrotondamenti passivi diversi;32,79;0,00
71.03.19;Carbur.e lubrif.(no costi produz.);1159,83;0,00
71.03.19.01;Carb.e lubr.veic.az.non strum.(no prod);1159,83;0,00
71.03.51;Costi e spese diverse;1348,90;0,00
71.07;COMP.NEG.DA EVENTI STRAORD./ES.PREC.;277,10;0,00
71.07.03;Sopr.pass.oneri div.gest.str./es.prec.;277,10;0,00
71.07.03.01;Sopravv.pas.ded.oneri div.gest.ev.str.;1,50;0,00
71.07.03.07;Sop.pass.imp.indir. e oneri acc.es.prec.;275,60;0,00
75;ONERI FINANZIARI;4264,78;0,00
75.01;ONERI FINANZIARI VERSO BANCHE;4008,51;0,00
75.01.01;Interessi passivi bancari;2309,81;0,00
75.01.07;Commissioni e spese bancarie;1278,70;0,00
75.01.17;Commissioni disponibilit… fondi;420,00;0,00
75.03;ONERI FINANZIARI DIVERSI;256,27;0,00
75.03.05;Interessi passivi su mutui;243,90;0,00
75.03.27;Interessi passivi di mora;11,03;0,00
75.03.27.01;Interessi passivi di mora pagati;11,03;0,00
75.03.29;INT.PASS.DIL.IMPOSTE E CONTRIB.;1,34;0,00
80;AMMORTAMENTI;19854,10;0,00
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;19854,10;0,00
80.03.13;Amm.ordinario impianti condizionamento;317,44;0,00
80.03.21;Amm.to ordin.impianti telefonici;224,99;0,00
80.03.21.01;Amm.to ordin.impianti telef.totalm.ded.;224,99;0,00
80.03.23;Amm.to ordinario impianti specifici;286,69;0,00
80.03.27;Amm.to ordinario macchinari automatici;9446,63;0,00
80.03.29;Amm.to ordin.altri impianti e macchinari;5471,78;0,00
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;1173,84;0,00
80.03.33;Amm.to ordinario attrezz.varia e minuta;455,08;0,00
80.03.35;Amm.to ordinario mobili e arredi;873,32;0,00
80.03.37;Amm.ordin.mobili e macchine da ufficio;89,25;0,00
80.03.39;Amm.ord.macchine d'ufficio elettroniche;563,09;0,00
80.03.41;Amm.to ordinario costruzioni leggere;200,88;0,00
80.03.59;Amm.to ordinario altri beni materiali;751,11;0,00
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;751,11;0,00
