47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;18431,24
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;197,80
47.01.11;Aggio su beni di monopolio;0,00;197,80
47.07;CORRISPETTIVI;0,00;18233,44
47.07.01;Corrispettivi;0,00;18233,44
55;ACQUISTI DI BENI;7775,05;0,00
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;7697,54;0,00
55.03.01;Acq.beni materiali per produz. servizi;7697,54;0,00
55.07;ACQUISTI DIVERSI;77,51;0,00
55.07.03;Attrezzatura minuta;77,51;0,00
57;ACQUISTI DI SERVIZI;650,94;0,00
57.01;SERVIZI PER LA PRODUZIONE;60,00;0,00
57.01.51;Altri servizi per la produzione;60,00;0,00
57.09;COSTI PER UTENZE;590,94;0,00
57.09.13;Energia elettrica;590,94;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;976,73;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;976,73;0,00
63.05.07;Servizi contabili di terzi;25,33;0,00
63.05.11;Altre spese amministrative;39,00;0,00
63.05.15;Premi di assicurazioni obbligatorie;854,76;0,00
63.05.17;Servizi di vigilanza;57,64;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;963,00;0,00
65.01;GESTIONE IMMOBILI;963,00;0,00
65.01.05;Canoni locazione immobili;963,00;0,00
67;COSTI PERSONALE DIPENDENTE;3578,78;0,00
67.01;COSTI PERSONALE DIPENDENTE;3578,78;0,00
67.01.01;Retribuzioni lorde;2724,31;0,00
67.01.03;Contributi INPS;829,54;0,00
67.01.09;Contrib.altri enti previdenz./assistenz.;24,93;0,00
71;ONERI DIVERSI DI GESTIONE;106,03;0,00
71.01;ONERI TRIBUTARI;106,03;0,00
71.01.07;Imposta di registro e concess. govern.;106,03;0,00
80;AMMORTAMENTI;1086,06;0,00
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;997,85;0,00
80.01.19;Amm.to avviamento;911,80;0,00
80.01.27;Amm.to spese di manut.su beni di terzi;30,30;0,00
80.01.53;Amm.to altre spese pluriennali;55,75;0,00
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;88,21;0,00
80.03.29;Amm.to ordin.altri impianti e macchinari;33,02;0,00
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;35,20;0,00
80.03.35;Amm.to ordinario mobili e arredi;19,99;0,00
