47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;1428730,26
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1421267,91
47.01.03;Vendita merci;0,00;1322346,23
47.01.90;Vendite Estero;0,00;22584,40
47.01.91;Vendite Intracomunitarie;0,00;76337,28
47.09;RICAVI ACCESSORI DI VENDITA;0,00;7462,35
47.09.03;Rivalsa spese di incasso;0,00;14,00
47.09.05;Ricavi accessori diversi;0,00;7292,35
47.09.90;Rivalsa Diritti e Bolli;0,00;156,00
53;ALTRI RICAVI E PROVENTI;0,00;25875,31
53.01;PROVENTI DIVERSI;0,00;25452,31
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00
53.01.29;Arrotondamenti attivi diversi;0,00;38,32
53.01.51;Altri ricavi e proventi;0,00;16257,99
53.01.51.01;Altri ricavi e proventi imponibili;0,00;16257,99
53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;0,00;423,00
53.09.03;Sopravv.attive da eventi str./es.prec.;0,00;423,00
53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;0,00;423,00
55;ACQUISTI DI BENI;209243,87;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;201696,45;0,00
55.01.01;Acquisti materie prime;190756,91;0,00
55.01.05;Acquisti materiali di consumo;9684,71;0,00
55.01.09;Confezioni e imballi;1225,67;0,00
55.01.19;Oneri accessori su acquisti;29,16;0,00
55.07;ACQUISTI DIVERSI;7547,42;0,00
55.07.03;Attrezzatura minuta;1488,85;0,00
55.07.11;Materiali manutenz.impianti e macchinari;2534,92;0,00
55.07.13;Materiali manutenzioni diverse;3523,65;0,00
57;ACQUISTI DI SERVIZI;366023,86;0,00
57.01;SERVIZI PER LA PRODUZIONE;310506,20;0,00
57.01.01;Lavorazioni di terzi;296975,15;0,00
57.01.01.01;Lavorazioni di terzi;296975,15;0,00
57.01.51;Altri servizi per la produzione;13531,05;0,00
57.01.51.01;Altri servizi per la produzione;13531,05;0,00
57.03;COSTI ACCESSORI PER VENDITE;1186,06;0,00
57.03.01;Trasporti su vendite;1186,06;0,00
57.05;COSTI ACCESSORI PER ACQUISTI;1292,72;0,00
57.05.01;Trasporti su acquisti;1292,72;0,00
57.05.01.01;Trasporti su acquisti;1292,72;0,00
57.07;COSTI PER INTERMEDIAZIONE VENDITE;105,05;0,00
57.07.03;Quote ENASARCO;105,05;0,00
57.07.03.01;Quote ENASARCO;105,05;0,00
57.09;COSTI PER UTENZE;20511,52;0,00
57.09.01;Spese telefoniche ordinarie;1772,66;0,00
57.09.01.01;Spese telefoniche ordinarie;1772,66;0,00
57.09.03;Spese telefoniche radiomobili;516,60;0,00
57.09.13;Energia elettrica;18222,26;0,00
