47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;1500634,05
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1472441,28
47.01.03;Vendita merci;0,00;1370457,50
47.01.90;Vendite Estero;0,00;22584,40
47.01.91;Vendite Intracomunitarie;0,00;79399,38
47.09;RICAVI ACCESSORI DI VENDITA;0,00;28192,77
47.09.03;Rivalsa spese di incasso;0,00;14,00
47.09.05;Ricavi accessori diversi;0,00;28016,77
47.09.90;Rivalsa Diritti e Bolli;0,00;162,00
53;ALTRI RICAVI E PROVENTI;0,00;25880,09
53.01;PROVENTI DIVERSI;0,00;25457,09
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00
53.01.29;Arrotondamenti attivi diversi;0,00;43,10
53.01.51;Altri ricavi e proventi;0,00;16257,99
53.01.51.01;Altri ricavi e proventi imponibili;0,00;16257,99
53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;0,00;423,00
53.09.03;Sopravv.attive da eventi str./es.prec.;0,00;423,00
53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;0,00;423,00
55;ACQUISTI DI BENI;229605,31;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;222057,89;0,00
55.01.01;Acquisti materie prime;209036,38;0,00
55.01.05;Acquisti materiali di consumo;11574,68;0,00
55.01.09;Confezioni e imballi;1417,67;0,00
55.01.19;Oneri accessori su acquisti;29,16;0,00
55.07;ACQUISTI DIVERSI;7547,42;0,00
55.07.03;Attrezzatura minuta;1488,85;0,00
55.07.11;Materiali manutenz.impianti e macchinari;2534,92;0,00
55.07.13;Materiali manutenzioni diverse;3523,65;0,00
57;ACQUISTI DI SERVIZI;404693,35;0,00
57.01;SERVIZI PER LA PRODUZIONE;344446,98;0,00
57.01.01;Lavorazioni di terzi;326595,93;0,00
57.01.01.01;Lavorazioni di terzi;326595,93;0,00
57.01.51;Altri servizi per la produzione;17851,05;0,00
57.01.51.01;Altri servizi per la produzione;17851,05;0,00
57.03;COSTI ACCESSORI PER VENDITE;1384,67;0,00
57.03.01;Trasporti su vendite;1384,67;0,00
57.05;COSTI ACCESSORI PER ACQUISTI;1555,70;0,00
57.05.01;Trasporti su acquisti;1555,70;0,00
57.05.01.01;Trasporti su acquisti;1555,70;0,00
57.07;COSTI PER INTERMEDIAZIONE VENDITE;105,05;0,00
57.07.03;Quote ENASARCO;105,05;0,00
57.07.03.01;Quote ENASARCO;105,05;0,00
57.09;COSTI PER UTENZE;23878,54;0,00
57.09.01;Spese telefoniche ordinarie;1772,66;0,00
57.09.01.01;Spese telefoniche ordinarie;1772,66;0,00
57.09.03;Spese telefoniche radiomobili;516,60;0,00
57.09.13;Energia elettrica;21589,28;0,00
57.09.13.01;Energia elettrica;21589,28;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;33322,41;0,00
57.11.01;Spese manut.impianti e macchin.propri;17758,93;0,00
57.11.03;Spese manutenzione attrezzature proprie;69,75;0,00
57.11.07;Altre spese manutenzione beni propri;9032,57;0,00
57.11.07.01;Altre spese manutenzione beni propri;9032,57;0,00
57.11.09;Canoni manut.impianti e macchin.propri;3802,56;0,00
57.11.15;Spese manut.impianti e macchin.di terzi;2609,60;0,00
57.11.17;Spese manutenzione attrezzature di terzi;49,00;0,00
59;GESTIONE VEICOLI AZIENDALI;2180,11;0,00
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;2180,11;0,00
59.03.01;Carburanti e lubrificanti veicoli;450,81;0,00
59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;450,81;0,00
59.03.03;Premi assicurazioni veicoli;1393,01;0,00
59.03.03.01;Premi assicur.veicoli aziendali deduc.;614,79;0,00
59.03.03.05;Premi assicur.veicoli aziend.non strum.;778,22;0,00
59.03.05;Altre spese veicoli;2,34;0,00
59.03.05.07;Altre spese veicoli aziendali non strum.;2,34;0,00
59.03.13;Tasse possesso veicoli;101,27;0,00
59.03.13.01;Tassa possesso veicoli aziendali deduc.;5,89;0,00
59.03.13.11;Tassa possesso veic. azien. non strum.;95,38;0,00
59.03.15;Spese manutenzione veicoli propri;222,48;0,00
59.03.15.11;Spese manut.veic.propri aziend.non strum;222,48;0,00
59.03.25;Servizi generali vari veicoli;10,20;0,00
59.03.25.09;Servizi generali vari veicoli non strum.;10,20;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;9259,64;0,00
61.01;PRESTAZIONI DI LAVORO AUTONOMO;9117,00;0,00
61.01.11;Consulenze/prestazioni diverse;8703,00;0,00
61.01.11.05;Consulenze non afferenti diverse;8703,00;0,00
61.01.17;Altri costi per prestazioni di terzi;350,00;0,00
61.01.17.03;Altri costi per prest.di terzi non affer.;350,00;0,00
61.01.19;Contributi cassa previdenza lav.autonomo;64,00;0,00
61.01.19.03;Contrib.cassa previd.lav.aut. non affer.;64,00;0,00
61.05;COMPENSI ORGANI SOCIALI;142,64;0,00
61.05.15;Premi INAIL soci/titolari;142,64;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;33047,37;0,00
63.01;SPESE COMMERCIALI E DI VIAGGIO;6696,11;0,00
63.01.01;Pubblicit…, inserzioni e affissioni;453,00;0,00
63.01.01.01;Pubblicit…, inserz. e affissioni ded.;453,00;0,00
63.01.09;Spese per alberghi e ristoranti;75,46;0,00
63.01.09.01;Spese per alberghi e ristoranti(no rappr.);75,46;0,00
63.01.13;Spese di viaggio;5493,33;0,00
63.01.15;Pedaggi autostradali veicoli;402,22;0,00
63.01.15.09;Pedaggi autostr.veicoli azien.non strum;402,22;0,00
63.01.21;Spese rappres.deduc.(con limite ricavi);272,10;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;26351,26;0,00
63.05.01;Spese postali;52,00;0,00
63.05.07;Servizi contabili di terzi;9356,21;0,00
63.05.11;Altre spese amministrative;129,51;0,00
63.05.13;Premi di assicurazioni non obbligatorie;3185,75;0,00
