47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;1876020,55;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1875668,05;
47.01.03;Vendita merci;0,00;1764148,59;
47.01.90;Vendite Estero;0,00;23524,40;
47.01.91;Vendite Intracomunitarie;0,00;87995,06;
47.09;RICAVI ACCESSORI DI VENDITA;0,00;352,50;
47.09.03;Rivalsa spese di incasso;0,00;10,50;
47.09.05;Ricavi accessori diversi;0,00;150,00;
47.09.90;Rivalsa Diritti e Bolli;0,00;192,00;
53;ALTRI RICAVI E PROVENTI;0,00;59001,14;
53.01;PROVENTI DIVERSI;0,00;57578,14;
53.01.23;Contributi in conto esercizio;0,00;31032,00;
53.01.23.05;Contributi in c/esercizio non imponibili;0,00;31032,00;
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00;
53.01.29;Arrotondamenti attivi diversi;0,00;50,15;
53.01.51;Altri ricavi e proventi;0,00;17339,99;
53.01.51.01;Altri ricavi e proventi imponibili;0,00;17339,99;
53.03;PLUSVAL.DA ALIENAZIONE CESPITI;0,00;1000,00;
53.03.01;Plusvalenze da alienazione cespiti;0,00;1000,00;
53.03.01.01;Plusv. da alienazione cespiti impon.;0,00;1000,00;
53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;0,00;423,00;
53.09.03;Sopravv.attive da eventi str./es.prec.;0,00;423,00;
53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;0,00;423,00;
55;ACQUISTI DI BENI;285110,34;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;277280,92;0,00;
55.01.01;Acquisti materie prime;258837,59;0,00;
55.01.05;Acquisti materiali di consumo;16610,75;0,00;
55.01.09;Confezioni e imballi;1800,32;0,00;
55.01.19;Oneri accessori su acquisti;32,26;0,00;
55.07;ACQUISTI DIVERSI;7829,42;0,00;
55.07.03;Attrezzatura minuta;1720,85;0,00;
55.07.11;Materiali manutenz.impianti e macchinari;2534,92;0,00;
55.07.13;Materiali manutenzioni diverse;3523,65;0,00;
55.07.23;Indumenti da lavoro;50,00;0,00;
57;ACQUISTI DI SERVIZI;505604,42;0,00;
57.01;SERVIZI PER LA PRODUZIONE;437157,55;0,00;
57.01.01;Lavorazioni di terzi;415432,00;0,00;
57.01.01.01;Lavorazioni di terzi;415432,00;0,00;Centro imputazione non assegnato
57.01.51;Altri servizi per la produzione;21725,55;0,00;
57.01.51.01;Altri servizi per la produzione;21725,55;0,00;
57.03;COSTI ACCESSORI PER VENDITE;1610,71;0,00;
57.03.01;Trasporti su vendite;1610,71;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;2257,70;0,00;
57.05.01;Trasporti su acquisti;2257,70;0,00;
57.05.01.01;Trasporti su acquisti;2257,70;0,00;
57.07;COSTI PER INTERMEDIAZIONE VENDITE;105,05;0,00;
57.07.03;Quote ENASARCO;105,05;0,00;
57.07.03.01;Quote ENASARCO;105,05;0,00;
57.09;COSTI PER UTENZE;29959,03;0,00;
57.09.01;Spese telefoniche ordinarie;2363,12;0,00;
57.09.01.01;Spese telefoniche ordinarie;2363,12;0,00;
57.09.03;Spese telefoniche radiomobili;891,38;0,00;
57.09.13;Energia elettrica;26704,53;0,00;
57.09.13.01;Energia elettrica;26704,53;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;34514,38;0,00;
57.11.01;Spese manut.impianti e macchin.propri;16705,02;0,00;
57.11.03;Spese manutenzione attrezzature proprie;139,50;0,00;
57.11.07;Altre spese manutenzione beni propri;9551,92;0,00;
57.11.07.01;Altre spese manutenzione beni propri;9551,92;0,00;
57.11.09;Canoni manut.impianti e macchin.propri;5152,56;0,00;
57.11.15;Spese manut.impianti e macchin.di terzi;2916,38;0,00;
57.11.17;Spese manutenzione attrezzature di terzi;49,00;0,00;
59;GESTIONE VEICOLI AZIENDALI;3600,58;0,00;
59.01;ESERCIZIO AUTOMEZZI;504,35;0,00;
59.01.13;Spese manutenzione automezzi propri;504,35;0,00;
59.01.13.03;Spese manutenzione automezzi propri;504,35;0,00;
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;3096,23;0,00;
59.03.01;Carburanti e lubrificanti veicoli;639,33;0,00;
59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;639,33;0,00;
59.03.03;Premi assicurazioni veicoli;1972,22;0,00;
59.03.03.01;Premi assicur.veicoli aziendali deduc.;846,10;0,00;
59.03.03.05;Premi assicur.veicoli aziend.non strum.;1126,12;0,00;
59.03.05;Altre spese veicoli;2,34;0,00;
59.03.05.07;Altre spese veicoli aziendali non strum.;2,34;0,00;
59.03.13;Tasse possesso veicoli;249,66;0,00;Centro imputazione non assegnato
59.03.13.01;Tassa possesso veicoli aziendali deduc.;69,55;0,00;
59.03.13.11;Tassa possesso veic. azien. non strum.;180,11;0,00;
59.03.15;Spese manutenzione veicoli propri;222,48;0,00;
59.03.15.11;Spese manut.veic.propri aziend.non strum;222,48;0,00;
59.03.25;Servizi generali vari veicoli;10,20;0,00;
59.03.25.09;Servizi generali vari veicoli non strum.;10,20;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;10299,64;0,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;10157,00;0,00;
61.01.11;Consulenze/prestazioni diverse;9743,00;0,00;
61.01.11.05;Consulenze non afferenti diverse;9743,00;0,00;
61.01.17;Altri costi per prestazioni di terzi;350,00;0,00;
61.01.17.03;Altri costi per prest.di terzi non affer.;350,00;0,00;
