47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;2191086,88;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;2190700,38;
47.01.03;Vendita merci;0,00;2074132,31;
47.01.90;Vendite Estero;0,00;23790,10;
47.01.91;Vendite Intracomunitarie;0,00;92777,97;
47.09;RICAVI ACCESSORI DI VENDITA;0,00;386,50;
47.09.03;Rivalsa spese di incasso;0,00;10,50;
47.09.05;Ricavi accessori diversi;0,00;150,00;
47.09.90;Rivalsa Diritti e Bolli;0,00;226,00;
53;ALTRI RICAVI E PROVENTI;0,00;70242,31;
53.01;PROVENTI DIVERSI;0,00;68819,31;
53.01.23;Contributi in conto esercizio;0,00;31032,00;
53.01.23.05;Contributi in c/esercizio non imponibili;0,00;31032,00;
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;9156,00;
53.01.29;Arrotondamenti attivi diversi;0,00;67,33;
53.01.51;Altri ricavi e proventi;0,00;28563,98;
53.01.51.01;Altri ricavi e proventi imponibili;0,00;28563,98;
53.03;PLUSVAL.DA ALIENAZIONE CESPITI;0,00;1000,00;
53.03.01;Plusvalenze da alienazione cespiti;0,00;1000,00;
53.03.01.01;Plusv. da alienazione cespiti impon.;0,00;1000,00;
53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;0,00;423,00;
53.09.03;Sopravv.attive da eventi str./es.prec.;0,00;423,00;
53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;0,00;423,00;
55;ACQUISTI DI BENI;365047,58;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;356198,62;0,00;
55.01.01;Acquisti materie prime;330675,31;0,00;
55.01.05;Acquisti materiali di consumo;23137,57;0,00;
55.01.09;Confezioni e imballi;2350,38;0,00;
55.01.19;Oneri accessori su acquisti;35,36;0,00;
55.07;ACQUISTI DIVERSI;8848,96;0,00;
55.07.03;Attrezzatura minuta;1999,16;0,00;
55.07.11;Materiali manutenz.impianti e macchinari;2745,28;0,00;
55.07.13;Materiali manutenzioni diverse;4054,52;0,00;
55.07.23;Indumenti da lavoro;50,00;0,00;
57;ACQUISTI DI SERVIZI;575892,39;0,00;
57.01;SERVIZI PER LA PRODUZIONE;495005,61;0,00;
57.01.01;Lavorazioni di terzi;464095,46;0,00;
57.01.01.01;Lavorazioni di terzi;464095,46;0,00;Centro imputazione non assegnato
57.01.51;Altri servizi per la produzione;30910,15;0,00;
57.01.51.01;Altri servizi per la produzione;30910,15;0,00;
57.03;COSTI ACCESSORI PER VENDITE;1790,05;0,00;
57.03.01;Trasporti su vendite;1790,05;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;2491,50;0,00;
57.05.01;Trasporti su acquisti;2491,50;0,00;
57.05.01.01;Trasporti su acquisti;2491,50;0,00;
57.07;COSTI PER INTERMEDIAZIONE VENDITE;1078,52;0,00;
57.07.01;Provvigioni passive;973,47;0,00;
57.07.01.01;Provvigioni passive;973,47;0,00;
57.07.03;Quote ENASARCO;105,05;0,00;
57.07.03.01;Quote ENASARCO;105,05;0,00;
57.09;COSTI PER UTENZE;36038,76;0,00;
57.09.01;Spese telefoniche ordinarie;3032,34;0,00;
57.09.01.01;Spese telefoniche ordinarie;3032,34;0,00;
57.09.03;Spese telefoniche radiomobili;1050,71;0,00;
57.09.13;Energia elettrica;31911,36;0,00;
57.09.13.01;Energia elettrica;31911,36;0,00;
57.09.17;Acqua potabile;44,35;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;39487,95;0,00;
57.11.01;Spese manut.impianti e macchin.propri;17829,22;0,00;
57.11.03;Spese manutenzione attrezzature proprie;681,87;0,00;
57.11.07;Altre spese manutenzione beni propri;9638,92;0,00;
57.11.07.01;Altre spese manutenzione beni propri;9638,92;0,00;
57.11.09;Canoni manut.impianti e macchin.propri;5152,56;0,00;
57.11.15;Spese manut.impianti e macchin.di terzi;6136,38;0,00;
57.11.17;Spese manutenzione attrezzature di terzi;49,00;0,00;
59;GESTIONE VEICOLI AZIENDALI;3921,98;0,00;
59.01;ESERCIZIO AUTOMEZZI;504,35;0,00;
59.01.13;Spese manutenzione automezzi propri;504,35;0,00;
59.01.13.03;Spese manutenzione automezzi propri;504,35;0,00;
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;3417,63;0,00;
59.03.01;Carburanti e lubrificanti veicoli;704,90;0,00;
59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;704,90;0,00;
59.03.03;Premi assicurazioni veicoli;1972,22;0,00;
59.03.03.01;Premi assicur.veicoli aziendali deduc.;846,10;0,00;
59.03.03.05;Premi assicur.veicoli aziend.non strum.;1126,12;0,00;Centro imputazione non assegnato
59.03.05;Altre spese veicoli;2,34;0,00;
59.03.05.07;Altre spese veicoli aziendali non strum.;2,34;0,00;
59.03.13;Tasse possesso veicoli;249,66;0,00;
59.03.13.01;Tassa possesso veicoli aziendali deduc.;69,55;0,00;
59.03.13.11;Tassa possesso veic. azien. non strum.;180,11;0,00;
59.03.15;Spese manutenzione veicoli propri;478,31;0,00;
59.03.15.11;Spese manut.veic.propri aziend.non strum;478,31;0,00;
59.03.25;Servizi generali vari veicoli;10,20;0,00;
59.03.25.09;Servizi generali vari veicoli non strum.;10,20;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;10299,64;0,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;10157,00;0,00;
61.01.11;Consulenze/prestazioni diverse;9743,00;0,00;
61.01.11.05;Consulenze non afferenti diverse;9743,00;0,00;
61.01.17;Altri costi per prestazioni di terzi;350,00;0,00;
61.01.17.03;Altri costi per prest.di terzi non affer.;350,00;0,00;
61.01.19;Contributi cassa previdenza lav.autonomo;64,00;0,00;
61.01.19.03;Contrib.cassa previd.lav.aut. non affer.;64,00;0,00;
61.05;COMPENSI ORGANI SOCIALI;142,64;0,00;
61.05.15;Premi INAIL soci/titolari;142,64;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;58461,90;0,00;
63.01;SPESE COMMERCIALI E DI VIAGGIO;18668,15;0,00;
63.01.01;Pubblicit…, inserzioni e affissioni;453,00;0,00;
63.01.01.01;Pubblicit…, inserz. e affissioni ded.;453,00;0,00;
63.01.09;Spese per alberghi e ristoranti;352,75;0,00;
63.01.09.01;Spese per alberghi e ristoranti(no rappr.);352,75;0,00;
63.01.13;Spese di viaggio;16762,83;0,00;
63.01.15;Pedaggi autostradali veicoli;623,51;0,00;
63.01.15.09;Pedaggi autostr.veicoli azien.non strum;623,51;0,00;
63.01.21;Spese rappres.deduc.(con limite ricavi);476,06;0,00;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);877,76;0,00;
63.03.03;Omaggi;877,76;0,00;
63.03.03.01;Omaggi con val.unit.inf.lim.art.108 c.2;565,76;0,00;
63.03.03.05;Omaggi val.unit.mag.lim.art.108 c.2 ind;312,00;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;38915,99;0,00;
63.05.01;Spese postali;67,00;0,00;
63.05.07;Servizi contabili di terzi;17116,13;0,00;
63.05.11;Altre spese amministrative;308,22;0,00;Centro imputazione non assegnato
63.05.13;Premi di assicurazioni non obbligatorie;4198,80;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;4198,80;0,00;
63.05.17;Servizi di vigilanza;1112,40;0,00;
63.05.19;Servizi smaltimento rifiuti;11857,90;0,00;
63.05.23;Valori bollati;1544,91;0,00;
63.05.25;Assistenza software;2710,63;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;164771,81;0,00;
65.01;GESTIONE IMMOBILI;79256,40;0,00;
65.01.05;Canoni locazione immobili;79256,40;0,00;
65.01.05.01;Canoni locazione immobili deducibili;79256,40;0,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;79775,41;0,00;
65.05.03;Canoni leasing impianti e macchinari;74713,37;0,00;
65.05.09;Inter.canoni leasing imp.e macchinari;3949,67;0,00;
65.05.15;Canoni noleggio attrezzature;1112,37;0,00;
65.07;CANONI E LICENZE SOFTWARE;5740,00;0,00;
65.07.03;Licenze d'uso software non capitalizzati;5740,00;0,00;
67;COSTI PERSONALE DIPENDENTE;418131,18;0,00;
67.01;COSTI PERSONALE DIPENDENTE;413658,87;0,00;
67.01.01;Retribuzioni lorde;322534,07;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;322534,07;0,00;
67.01.03;Contributi INPS;84260,58;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;84260,58;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;3430,57;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;3430,57;0,00;
67.01.11;Premi INAIL;3433,65;0,00;
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;4472,31;0,00;
67.03.19;Erogaz.altre indennit…/incentivi/accordi;3169,16;0,00;
67.03.25;Visite mediche periodiche ai dipendenti;1153,15;0,00;
67.03.51;Altri costi per il personale dipendente;150,00;0,00;
71;ONERI DIVERSI DI GESTIONE;12869,70;0,00;
71.01;ONERI TRIBUTARI;2854,50;0,00;
71.01.05;Diritti camerali;231,00;0,00;
71.01.07;Imposta di registro e concess. govern.;398,50;0,00;
71.01.13;Tassa raccolta e smaltimento rifiuti;1828,00;0,00;
71.01.51;Altre imposte e tasse indirette;397,00;0,00;
71.01.51.01;Altre imposte e tasse indirette ded.;397,00;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;8471,77;0,00;Centro imputazione non assegnato
71.03.01;Spese, perdite e sopravvenienze passive;491,57;0,00;
71.03.01.05;Spese, perdite e sopravv.passive inded.;491,57;0,00;
71.03.03;Sanzioni, penalit… e multe;10,77;0,00;
71.03.09;Cancelleria varia;2918,82;0,00;
71.03.17;Arrotondamenti passivi diversi;67,77;0,00;
71.03.19;Carbur.e lubrif.(no costi produz.);2570,19;0,00;
71.03.19.01;Carb.e lubr.veic.az.non strum.(no prod);2570,19;0,00;
71.03.51;Costi e spese diverse;2412,65;0,00;
71.07;COMP.NEG.DA EVENTI STRAORD./ES.PREC.;1543,43;0,00;
71.07.03;Sopr.pass.oneri div.gest.str./es.prec.;1543,43;0,00;
71.07.03.01;Sopravv.pas.ded.oneri div.gest.ev.str.;1267,83;0,00;
71.07.03.07;Sop.pass.imp.indir. e oneri acc.es.prec.;275,60;0,00;
73;PROVENTI FINANZIARI;0,00;709,37;
73.03;PROVENTI DA PARTEC.IN SOC. DI CAPITALI;0,00;0,22;
73.03.01;Dividendi da altre societ… di capitali;0,00;0,22;
73.03.01.01;Dividendi da societ… di capitali imp.;0,00;0,22;
73.09;PROV.TI DA CREDITI A MEDIO/LUNGO TERMINE;0,00;692,15;
73.09.07;Inter.att.su crediti immob.v/terzi;0,00;692,15;
73.13;PROVENTI FINANZIARI VARI;0,00;17,00;
73.13.09;Interessi attivi su c/c bancari;0,00;17,00;
75;ONERI FINANZIARI;19025,32;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;16435,50;0,00;
75.01.01;Interessi passivi bancari;5313,31;0,00;
75.01.07;Commissioni e spese bancarie;5092,19;0,00;
75.01.11;Commissioni bancarie su finanziamenti;1900,00;0,00;
75.01.17;Commissioni disponibilit… fondi;4130,00;0,00;
75.03;ONERI FINANZIARI DIVERSI;2589,82;0,00;
75.03.05;Interessi passivi su mutui;2547,09;0,00;
75.03.27;Interessi passivi di mora;34,46;0,00;
75.03.27.01;Interessi passivi di mora pagati;34,46;0,00;
