47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;354217,75;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;354177,75;
47.01.03;Vendita merci;0,00;309689,75;
47.01.90;Vendite Estero;0,00;42254,90;
47.01.91;Vendite Intracomunitarie;0,00;2233,10;
47.09;RICAVI ACCESSORI DI VENDITA;0,00;40,00;
47.09.90;Rivalsa Diritti e Bolli;0,00;40,00;
53;ALTRI RICAVI E PROVENTI;0,00;33930,09;
53.01;PROVENTI DIVERSI;0,00;33930,09;
53.01.28;Contrib.art.18 DL91/2014 (nuovi invest);0,00;18311,00;
53.01.29;Arrotondamenti attivi diversi;0,00;12,92;
53.01.51;Altri ricavi e proventi;0,00;15606,17;
53.01.51.01;Altri ricavi e proventi imponibili;0,00;15606,17;
55;ACQUISTI DI BENI;54163,52;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;53564,77;0,00;
55.01.01;Acquisti materie prime;48491,77;0,00;
55.01.05;Acquisti materiali di consumo;5020,40;0,00;
55.01.09;Confezioni e imballi;42,10;0,00;
55.01.19;Oneri accessori su acquisti;10,50;0,00;
55.07;ACQUISTI DIVERSI;598,75;0,00;
55.07.03;Attrezzatura minuta;105,00;0,00;
55.07.11;Materiali manutenz.impianti e macchinari;493,75;0,00;
57;ACQUISTI DI SERVIZI;84898,50;0,00;
57.01;SERVIZI PER LA PRODUZIONE;80335,79;0,00;
57.01.01;Lavorazioni di terzi;78391,79;0,00;
57.01.01.01;Lavorazioni di terzi;78391,79;0,00;
57.01.51;Altri servizi per la produzione;1944,00;0,00;
57.01.51.01;Altri servizi per la produzione;1944,00;0,00;
57.03;COSTI ACCESSORI PER VENDITE;127,08;0,00;
57.03.01;Trasporti su vendite;127,08;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;165,00;0,00;
57.05.01;Trasporti su acquisti;165,00;0,00;
57.05.01.01;Trasporti su acquisti;165,00;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;4270,63;0,00;
57.11.01;Spese manut.impianti e macchin.propri;658,38;0,00;
57.11.03;Spese manutenzione attrezzature proprie;489,50;0,00;
57.11.07;Altre spese manutenzione beni propri;1219,95;0,00;
57.11.07.01;Altre spese manutenzione beni propri;1219,95;0,00;Centro imputazione non assegnato
57.11.09;Canoni manut.impianti e macchin.propri;1848,80;0,00;
57.11.17;Spese manutenzione attrezzature di terzi;54,00;0,00;
59;GESTIONE VEICOLI AZIENDALI;1710,52;0,00;
59.01;ESERCIZIO AUTOMEZZI;99,09;0,00;
59.01.13;Spese manutenzione automezzi propri;99,09;0,00;
59.01.13.03;Spese manutenzione automezzi propri;99,09;0,00;
59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;1611,43;0,00;
59.03.01;Carburanti e lubrificanti veicoli;155,74;0,00;
59.03.01.01;Carb.e lubrif.veicoli aziendali deduc.;155,74;0,00;
59.03.03;Premi assicurazioni veicoli;1320,79;0,00;
59.03.03.01;Premi assicur.veicoli aziendali deduc.;598,69;0,00;
59.03.03.05;Premi assicur.veicoli aziend.non strum.;722,10;0,00;
59.03.13;Tasse possesso veicoli;134,90;0,00;
59.03.13.01;Tassa possesso veicoli aziendali deduc.;75,48;0,00;
59.03.13.11;Tassa possesso veic. azien. non strum.;59,42;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;6202,20;0,00;
63.01;SPESE COMMERCIALI E DI VIAGGIO;1677,83;0,00;
63.01.09;Spese per alberghi e ristoranti;20,00;0,00;
63.01.09.01;Spese per alberghi e ristoranti(no rappr.);20,00;0,00;
63.01.13;Spese di viaggio;1434,23;0,00;
63.01.15;Pedaggi autostradali veicoli;126,23;0,00;
