47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;788009,94
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;302009,61
47.01.03;Vendita merci;0,00;302009,61
47.07;CORRISPETTIVI;0,00;485692,21
47.07.01;Corrispettivi;0,00;485692,21
47.09;RICAVI ACCESSORI DI VENDITA;0,00;308,12
47.09.03;Rivalsa spese di incasso;0,00;308,12
53;ALTRI RICAVI E PROVENTI;0,00;124,68
53.01;PROVENTI DIVERSI;0,00;124,68
53.01.29;Arrotondamenti attivi diversi;0,00;24,68
53.01.51;Altri ricavi e proventi;0,00;100,00
53.03;PLUSVAL.DA ALIENAZIONE CESPITI;0,00;9,90
53.03.01;Plusvalenze da alienazione cespiti;0,00;9,90
55;ACQUISTI DI BENI;270936,54;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;267550,10;0,00
55.01.01;Acquisti materie prime;217089,55;0,00
55.01.05;Acquisti materiali di consumo;9046,75;0,00
55.01.07;Acquisti merci per la rivendita;24058,19;0,00
55.01.09;Confezioni e imballi;16673,77;0,00
55.01.19;Oneri accessori su acquisti;681,84;0,00
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-200,26;
55.05.01;Sconti su acquisti;-200,26;
55.07;ACQUISTI DIVERSI;3586,70;0,00
55.07.01;Acquisto beni strumentali inf.516,46;54,40;0,00
55.07.03;Attrezzatura minuta;957,60;0,00
55.07.11;Materiali manutenz.impianti e macchinari;157,00;0,00
55.07.23;Indumenti da lavoro;154,70;0,00
55.07.51;Materiale vario di consumo;2263,00;0,00
57;ACQUISTI DI SERVIZI;43780,35;0,00
57.01;SERVIZI PER LA PRODUZIONE;992,62;0,00
57.01.01;Lavorazioni di terzi;10,40;0,00
57.01.51;Altri servizi per la produzione;982,22;0,00
57.09;COSTI PER UTENZE;36848,38;0,00
57.09.01;Spese telefoniche ordinarie;1423,83;0,00
57.09.13;Energia elettrica;15559,31;0,00
57.09.17;Acqua potabile;1430,46;0,00
57.09.19;Gas;5634,78;0,00
57.09.21;Pulizia locali;12800,00;0,00
