47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;23655,00
47.07;CORRISPETTIVI;0,00;23565,00
47.07.01;Corrispettivi;0,00;23565,00
47.07.01;LEZIONI DI GRUPPO;0,00;20075,00
47.07.01;LEZIONI INDIVIDUALI;0,00;3490,00
47.11;RICAVI DA PRESTAZIONI;0,00;90,00
47.11.03;Prestazioni di servizi;0,00;90,00
53;ALTRI RICAVI E PROVENTI;0,00;194,75
53.01;PROVENTI DIVERSI;0,00;194,75
53.01.51;Altri ricavi e proventi;0,00;194,75
53.01.51.01;Altri ricavi e proventi imponibili;0,00;194,75
55;ACQUISTI DI BENI;651,39;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;590,79;
55.03.01;Acq.beni materiali per produz. servizi;590,79;
55.07;ACQUISTI DIVERSI;60,60;
55.07.03;Attrezzatura minuta;5,70;
55.07.17;Cancelleria varia;54,90;
57;ACQUISTI DI SERVIZI;658,29;
57.03;COSTI ACCESSORI PER VENDITE;139,00;
57.03.01;Trasporti su vendite;139,00;
57.09;COSTI PER UTENZE;508,11;
57.09.03;Spese telefoniche radiomobili;103,66;
57.09.13;Energia elettrica;404,45;
57.09.13.01;Energia elettrica;404,45;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;11,18;
57.11.05;Spese manutenzione telefoni propri;11,18;
57.11.05.01;Spese manut.telefoni radiomobili propri;11,18;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2109,29;
63.01;SPESE COMMERCIALI E DI VIAGGIO;939,40;
63.01.01;Pubblicit…, inserzioni e affissioni;854,00;
63.01.01.01;PUBBLICITA CARTELLONI AUTOBUS E SEAT PG;854,00;
63.01.03;Materiale pubblicitario;85,40;
63.01.03.01;TIPOGRAFIA/PROSPETTI PUBBL., VOLANTINI;85,40;
63.05;SPESE AMMINISTRATIVE E GENERALI;1169,89;
63.05.01;Spese postali;73,65;
63.05.07;Servizi contabili di terzi;1096,24;
65;COSTI PER GODIMENTO BENI DI TERZI;366,38;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;366,38;
65.05.15;Canoni noleggio attrezzature;366,38;
67;COSTI PERSONALE DIPENDENTE;4149,50;
67.01;COSTI PERSONALE DIPENDENTE;4149,50;
67.01.01;Retribuzioni lorde;5305,76;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;5305,76;
67.01.03;Contributi INPS;-1156,26;
67.01.03.01;Contributi INPS dipendenti ordinari;-1156,26;
80;AMMORTAMENTI;117,08;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;117,08;
80.03.13;Amm.ordinario impianti condizionamento;15,06;
80.03.35;Amm.to ordinario mobili e arredi;8,39;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;93,63;
