47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;72447,50
47.07;CORRISPETTIVI;0,00;64302,50
47.07.01;Corrispettivi;0,00;64302,50
47.11;RICAVI DA PRESTAZIONI;0,00;8145,00
47.11.03;Prestazioni di servizi;0,00;8145,00
53;ALTRI RICAVI E PROVENTI;0,00;234,60
53.01;PROVENTI DIVERSI;0,00;234,60
53.01.51;Altri ricavi e proventi;0,00;234,60
55;ACQUISTI DI BENI;3866,25;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;1367,11;
55.03.01;Acq.beni materiali per produz. servizi;1367,11;
55.07;ACQUISTI DIVERSI;2499,14;
55.07.01;Acquisto beni strumentali inf.516,46;556,84;
55.07.17;Cancelleria varia;1901,10;
55.07.51;Materiale vario di consumo;41,20;
57;ACQUISTI DI SERVIZI;2775,41;
57.03;COSTI ACCESSORI PER VENDITE;849,06;
57.03.01;Trasporti su vendite;849,06;
57.09;COSTI PER UTENZE;1552,75;
57.09.01;Spese telefoniche ordinarie;713,51;
57.09.03;Spese telefoniche radiomobili;230,52;
57.09.13;Energia elettrica;608,72;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;373,60;
57.11.01;Spese manut.impianti e macchin.propri;341,60;
57.11.03;Spese manutenzione attrezzature proprie;32,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;466,32;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;466,32;
61.01.17;Altri costi per prestazioni di terzi;466,32;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;11526,09;
63.01;SPESE COMMERCIALI E DI VIAGGIO;6292,40;
63.01.01;Pubblicit…, inserzioni e affissioni;6100,00;
63.01.03;Materiale pubblicitario;192,40;
63.01.09;Spese per alberghi e ristoranti;0,00;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);207,36;
63.03.03;Omaggi;207,36;
63.05;SPESE AMMINISTRATIVE E GENERALI;5026,33;
63.05.07;Servizi contabili di terzi;3984,21;
63.05.11;Altre spese amministrative;292,80;
63.05.13;Premi di assicurazioni non obbligatorie;745,32;
63.05.23;Valori bollati;4,00;
65;COSTI PER GODIMENTO BENI DI TERZI;4450,71;
65.01;GESTIONE IMMOBILI;1580,80;
65.01.05;Canoni locazione immobili;1580,80;
65.03;LOCAZ. E CANONI AUTOV. E ALTRI VEICOLI;419,29;
65.03.05;Canoni/spese access.nolegg.veicoli;419,29;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;2450,62;
65.05.15;Canoni noleggio attrezzature;2450,62;
67;COSTI PERSONALE DIPENDENTE;27436,88;
67.01;COSTI PERSONALE DIPENDENTE;27436,88;
67.01.01;Retribuzioni lorde;22828,59;
67.01.03;Contributi INPS;4608,29;
71;ONERI DIVERSI DI GESTIONE;89,00;
71.01;ONERI TRIBUTARI;89,00;
71.01.07;Imposta di registro e concess. govern.;89,00;
71.03;ALTRI COSTI DI ESERCIZIO;0,00;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
75;ONERI FINANZIARI;426,21;
75.01;ONERI FINANZIARI VERSO BANCHE;426,21;
75.01.07;Commissioni e spese bancarie;426,21;
80;AMMORTAMENTI;259,37;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;0,02;
80.01.53;Amm.to altre spese pluriennali;0,02;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;259,35;
80.03.13;Amm.ordinario impianti condizionamento;75,93;
80.03.35;Amm.to ordinario mobili e arredi;32,49;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;150,93;
