47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;77642,50
47.07;CORRISPETTIVI;0,00;69497,50
47.07.01;Corrispettivi;0,00;69497,50
47.11;RICAVI DA PRESTAZIONI;0,00;8145,00
47.11.03;Prestazioni di servizi;0,00;8145,00
53;ALTRI RICAVI E PROVENTI;0,00;234,60
53.01;PROVENTI DIVERSI;0,00;234,60
53.01.51;Altri ricavi e proventi;0,00;234,60
55;ACQUISTI DI BENI;3953,21;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;1367,11;
55.03.01;Acq.beni materiali per produz. servizi;1367,11;
55.07;ACQUISTI DIVERSI;2586,10;
55.07.01;Acquisto beni strumentali inf.516,46;556,84;
55.07.17;Cancelleria varia;1901,10;
55.07.51;Materiale vario di consumo;128,16;
57;ACQUISTI DI SERVIZI;5249,96;
57.01;SERVIZI PER LA PRODUZIONE;854,00;
57.01.51;Altri servizi per la produzione;854,00;
57.03;COSTI ACCESSORI PER VENDITE;849,06;
57.03.01;Trasporti su vendite;849,06;
57.09;COSTI PER UTENZE;1825,20;
57.09.01;Spese telefoniche ordinarie;713,51;
57.09.03;Spese telefoniche radiomobili;340,66;
57.09.13;Energia elettrica;771,03;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;373,60;
57.11.01;Spese manut.impianti e macchin.propri;341,60;
57.11.03;Spese manutenzione attrezzature proprie;32,00;
57.13;MANUTENZIONE FABBRICATI;1348,10;
57.13.01;Spese manutenzione fabbricati;1348,10;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;466,32;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;466,32;
61.01.17;Altri costi per prestazioni di terzi;466,32;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;14719,39;
63.01;SPESE COMMERCIALI E DI VIAGGIO;8329,80;
63.01.01;Pubblicit…, inserzioni e affissioni;8052,00;
63.01.03;Materiale pubblicitario;277,80;
63.01.09;Spese per alberghi e ristoranti;0,00;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);438,55;
63.03.03;Omaggi;438,55;
63.05;SPESE AMMINISTRATIVE E GENERALI;5951,04;
63.05.01;Spese postali;219,20;
63.05.07;Servizi contabili di terzi;4327,68;
63.05.11;Altre spese amministrative;654,84;
63.05.13;Premi di assicurazioni non obbligatorie;745,32;
63.05.23;Valori bollati;4,00;
65;COSTI PER GODIMENTO BENI DI TERZI;4817,09;
65.01;GESTIONE IMMOBILI;1580,80;
65.01.05;Canoni locazione immobili;1580,80;
65.03;LOCAZ. E CANONI AUTOV. E ALTRI VEICOLI;419,29;
65.03.05;Canoni/spese access.nolegg.veicoli;419,29;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;2817,00;
65.05.15;Canoni noleggio attrezzature;2817,00;
67;COSTI PERSONALE DIPENDENTE;34336,57;
67.01;COSTI PERSONALE DIPENDENTE;34336,57;
67.01.01;Retribuzioni lorde;28537,63;
67.01.03;Contributi INPS;5798,94;
71;ONERI DIVERSI DI GESTIONE;739,00;
71.01;ONERI TRIBUTARI;739,00;
71.01.07;Imposta di registro e concess. govern.;89,00;
71.01.13;Tassa raccolta e smaltimento rifiuti;650,00;
71.03;ALTRI COSTI DI ESERCIZIO;0,00;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
75;ONERI FINANZIARI;1233,36;
75.01;ONERI FINANZIARI VERSO BANCHE;1233,36;
75.01.07;Commissioni e spese bancarie;1233,36;
80;AMMORTAMENTI;321,87;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;0,02;
80.01.53;Amm.to altre spese pluriennali;0,02;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;321,85;
80.03.13;Amm.ordinario impianti condizionamento;91,11;
80.03.35;Amm.to ordinario mobili e arredi;40,88;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;189,86;
