47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;38444,80;;
    47.01;VENDITE PRODOTTI FINITI E MERCI;;354,60;;
        47.01.11;Aggio su beni di monopolio;;354,60;;
    47.07;CORRISPETTIVI;;38090,20;;
        47.07.01;Corrispettivi;;38090,20;;
55;ACQUISTI DI BENI;11344,41;365,30;;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;11344,41;365,30;;
        55.03.01;Acq.beni materiali per produz. servizi;11344,41;365,30;;
57;ACQUISTI DI SERVIZI;1460,48;;;
    57.09;COSTI PER UTENZE;1460,48;;;
        57.09.01;Spese telefoniche ordinarie;167,32;;;
            57.09.01.01;Spese telefoniche ordinarie;167,32;;;
        57.09.13;Energia elettrica;1293,16;;;
            57.09.13.01;Energia elettrica;1293,16;;;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;610,18;;;
    63.05;SPESE AMMINISTRATIVE E GENERALI;610,18;;;
        63.05.07;Servizi contabili di terzi;494,90;;;
        63.05.17;Servizi di vigilanza;115,28;;;
65;COSTI PER GODIMENTO BENI DI TERZI;963,00;;;
    65.01;GESTIONE IMMOBILI;963,00;;;
        65.01.05;Canoni locazione immobili;963,00;;;
            65.01.05.01;Canoni locazione immobili deducibili;963,00;;;
67;COSTI PERSONALE DIPENDENTE;3670,89;4854,19;;
    67.01;COSTI PERSONALE DIPENDENTE;3670,89;4854,19;;
        67.01.01;Retribuzioni lorde;2906,50;3707,44;;
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;2906,50;3707,44;;
        67.01.03;Contributi INPS;710,71;1146,75;;
            67.01.03.01;Contributi INPS dipendenti ordinari;710,71;1146,75;;
        67.01.09;Contrib.altri enti previdenz./assistenz.;53,68;;;
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;53,68;;;
75;ONERI FINANZIARI;4,01;;;
    75.03;ONERI FINANZIARI DIVERSI;4,01;;;
        75.03.27;Interessi passivi di mora;4,01;;;
            75.03.27.01;Inter.pass.di mora pagati (rilev.ROL);4,01;;;
