47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;29217,00
47.07;CORRISPETTIVI;0,00;29217,00
47.07.01;Corrispettivi;0,00;29217,00
47.07.01;LEZIONI DI GRUPPO;0,00;26140,00
47.07.01;LEZIONI INDIVIDUALI;0,00;3077,00
53;ALTRI RICAVI E PROVENTI;0,00;226,23
53.01;PROVENTI DIVERSI;0,00;226,23
53.01.51;Altri ricavi e proventi;0,00;226,23
53.01.51.01;Altri ricavi e proventi imponibili;0,00;226,23
55;ACQUISTI DI BENI;1141,85;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;702,80;
55.03.01;Acq.beni materiali per produz. servizi;702,80;
55.07;ACQUISTI DIVERSI;439,05;
55.07.17;Cancelleria varia;428,05;
55.07.51;Materiale vario di consumo;11,00;
57;ACQUISTI DI SERVIZI;1466,26;
57.03;COSTI ACCESSORI PER VENDITE;545,36;
57.03.01;Trasporti su vendite;545,36;
57.09;COSTI PER UTENZE;920,90;
57.09.01;Spese telefoniche ordinarie;252,25;
57.09.01.01;Spese telefoniche ordinarie;252,25;
57.09.03;Spese telefoniche radiomobili;200,82;
57.09.13;Energia elettrica;467,83;
57.09.13.01;Energia elettrica;467,83;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;222,04;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;222,04;
61.01.11;Consulenze/prestazioni diverse;222,04;
61.01.11.01;Consulenze afferenti diverse;222,04;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;4409,08;
63.01;SPESE COMMERCIALI E DI VIAGGIO;2220,40;
63.01.01;Pubblicit…, inserzioni e affissioni;2074,00;
63.01.01.01;PUBBLICITA CARTELLONI AUTOBUS E SEAT PG;2074,00;
63.01.03;Materiale pubblicitario;146,40;
63.01.03.01;TIPOGRAFIA/PROSPETTI PUBBL., VOLANTINI;146,40;
63.05;SPESE AMMINISTRATIVE E GENERALI;2188,68;
63.05.07;Servizi contabili di terzi;2188,68;
65;COSTI PER GODIMENTO BENI DI TERZI;740,71;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;322,08;
65.05.15;Canoni noleggio attrezzature;322,08;
65.07;CANONI E LICENZE SOFTWARE;418,63;
65.07.03;Licenze d'uso software non capitalizzati;418,63;
67;COSTI PERSONALE DIPENDENTE;2779,41;
67.01;COSTI PERSONALE DIPENDENTE;2779,41;
67.01.01;Retribuzioni lorde;1360,29;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;1360,29;
67.01.03;Contributi INPS;1419,12;
67.01.03.01;Contributi INPS dipendenti ordinari;1419,12;
75;ONERI FINANZIARI;573,68;
75.01;ONERI FINANZIARI VERSO BANCHE;573,68;
75.01.07;Commissioni e spese bancarie;573,68;
80;AMMORTAMENTI;273,53;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;273,53;
80.03.13;Amm.ordinario impianti condizionamento;28,70;
80.03.33;Amm.to ordinario attrezz.varia e minuta;59,89;
80.03.35;Amm.to ordinario mobili e arredi;16,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;166,62;
80.03.47;Amm.to ordinario telefonia mobile;2,32;
80.03.47.01;Amm.to ordin.telef.mobile totalm.deduc.;2,32;
80.03.47.05;Amm.to ordin. telefonia mobile indeduc.;0,00;
