47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;42986,95
47.11;RICAVI DA PRESTAZIONI;;42986,95
47.11.03;Prestazioni di servizi;;42986,95
55;ACQUISTI DI BENI;2868,71;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;136,26;
55.01.05;Acquisti materiali di consumo;136,26;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;1083,32;
55.03.01;Acq.beni materiali per produz. servizi;160,00;
55.03.03;Acq.materiali di consumo (att.servizi);923,32;
55.07;ACQUISTI DIVERSI;1649,13;
55.07.01;Acquisto beni strumentali inf.516,46;595,49;
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;375,00;
55.07.01.03;Acq.beni strum.inf.516,46 tel.fissa/mob.;220,49;
55.07.03;Attrezzatura minuta;163,52;
55.07.17;Cancelleria varia;890,12;
57;ACQUISTI DI SERVIZI;1952,74;
57.01;SERVIZI PER LA PRODUZIONE;483,28;
57.01.51;Altri servizi per la produzione;483,28;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);483,28;
57.03;COSTI ACCESSORI PER VENDITE;65,57;
57.03.01;Trasporti su vendite;65,57;
57.07;COSTI PER INTERMEDIAZIONE VENDITE;1300,00;
57.07.11;Altri costi di intermediazione;1300,00;
57.07.11.03;Altri costi di intermed.(attivit… serv.);1300,00;
57.09;COSTI PER UTENZE;103,89;
57.09.03;Spese telefoniche radiomobili;79,53;
57.09.17;Acqua potabile;24,36;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;3750,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;3750,00;
61.01.11;Consulenze/prestazioni diverse;3750,00;
61.01.11.01;Consulenze afferenti diverse;3750,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2558,66;
63.01;SPESE COMMERCIALI E DI VIAGGIO;1439,01;
63.01.09;Spese per alberghi e ristoranti;707,50;
63.01.09.03;Sp.alberghi,rist(rappr.con limite ricavi);707,50;
63.01.13;Spese di viaggio;731,51;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);695,06;
63.03.01;Spese di rappresentanza (on.gest.);695,06;
63.03.01.01;Sp.di rappr.ded.con lim.ricavi(on.gest.);695,06;
63.05;SPESE AMMINISTRATIVE E GENERALI;424,59;
63.05.01;Spese postali;424,59;
65;COSTI PER GODIMENTO BENI DI TERZI;2921,23;
65.01;GESTIONE IMMOBILI;2800,00;
65.01.05;Canoni locazione immobili;2800,00;
65.01.05.01;Canoni locazione immobili deducibili;2800,00;
65.07;CANONI E LICENZE SOFTWARE;121,23;
65.07.03;Licenze d'uso software non capitalizzati;121,23;
71;ONERI DIVERSI DI GESTIONE;541,03;
71.01;ONERI TRIBUTARI;188,00;
71.01.07;Imposta di registro e concess. govern.;188,00;
71.03;ALTRI COSTI DI ESERCIZIO;353,03;
71.03.01;Spese, perdite e sopravvenienze passive;45,12;
71.03.01.05;Spese, perdite e sopravv.passive inded.;45,12;
71.03.09;Cancelleria varia;307,91;
80;AMMORTAMENTI;10,16;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;10,16;
80.03.35;Amm.to ordinario mobili e arredi;10,16;
