47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;52076,95
    47.11;RICAVI DA PRESTAZIONI;;52076,95
        47.11.03;Prestazioni di servizi;;52076,95
55;ACQUISTI DI BENI;3279,25;
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;154,17;
        55.01.05;Acquisti materiali di consumo;154,17;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;1105,05;
        55.03.01;Acq.beni materiali per produz. servizi;160,00;
        55.03.03;Acq.materiali di consumo (att.servizi);945,05;
    55.07;ACQUISTI DIVERSI;2020,03;
        55.07.01;Acquisto beni strumentali inf.516,46;595,49;
            55.07.01.01;Acquisto beni strument.inf.516,46 ded.;375,00;
            55.07.01.03;Acq.beni strum.inf.516,46 tel.fissa/mob.;220,49;
        55.07.03;Attrezzatura minuta;263,52;
        55.07.17;Cancelleria varia;1161,02;
57;ACQUISTI DI SERVIZI;3018,95;
    57.01;SERVIZI PER LA PRODUZIONE;1424,32;
        57.01.51;Altri servizi per la produzione;1424,32;
            57.01.51.03;Acq.servizi diversi (attiv.di servizi);1424,32;
    57.03;COSTI ACCESSORI PER VENDITE;135,24;
        57.03.01;Trasporti su vendite;135,24;
    57.07;COSTI PER INTERMEDIAZIONE VENDITE;1300,00;
        57.07.11;Altri costi di intermediazione;1300,00;
            57.07.11.03;Altri costi di intermed.(attivit… serv.);1300,00;
    57.09;COSTI PER UTENZE;159,39;
        57.09.03;Spese telefoniche radiomobili;135,03;
        57.09.17;Acqua potabile;24,36;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;6407,00;
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;6407,00;
        61.01.11;Consulenze/prestazioni diverse;5625,00;
            61.01.11.01;Consulenze afferenti diverse;5625,00;
        61.01.17;Altri costi per prestazioni di terzi;782,00;
            61.01.17.03;Altri costi per prest.di terzi non affer.;782,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;3634,25;
    63.01;SPESE COMMERCIALI E DI VIAGGIO;2218,81;
        63.01.09;Spese per alberghi e ristoranti;1044,50;
            63.01.09.03;Sp.alberghi,rist(rappr.con limite ricavi);1044,50;
        63.01.13;Spese di viaggio;1174,31;
    63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);776,90;
        63.03.01;Spese di rappresentanza (on.gest.);776,90;
            63.03.01.01;Sp.di rappr.ded.con lim.ricavi(on.gest.);776,90;
    63.05;SPESE AMMINISTRATIVE E GENERALI;638,54;
        63.05.01;Spese postali;424,59;
        63.05.07;Servizi contabili di terzi;213,95;
65;COSTI PER GODIMENTO BENI DI TERZI;4321,23;
    65.01;GESTIONE IMMOBILI;4200,00;
        65.01.05;Canoni locazione immobili;4200,00;
            65.01.05.01;Canoni locazione immobili deducibili;4200,00;
    65.07;CANONI E LICENZE SOFTWARE;121,23;
        65.07.03;Licenze d'uso software non capitalizzati;121,23;
71;ONERI DIVERSI DI GESTIONE;796,98;
    71.01;ONERI TRIBUTARI;188,00;
        71.01.07;Imposta di registro e concess. govern.;188,00;
    71.03;ALTRI COSTI DI ESERCIZIO;608,98;
        71.03.01;Spese, perdite e sopravvenienze passive;301,07;
            71.03.01.05;Spese, perdite e sopravv.passive inded.;301,07;
        71.03.09;Cancelleria varia;307,91;
75;ONERI FINANZIARI;24,91;
    75.03;ONERI FINANZIARI DIVERSI;24,91;
        75.03.13;Interessi passivi versam.iva trimestrali;24,91;
80;AMMORTAMENTI;12,20;
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;12,20;
        80.03.35;Amm.to ordinario mobili e arredi;12,20;
