47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;8,75;681764,51
    47.01;VENDITE PRODOTTI FINITI E MERCI;8,75;259849,42
        47.01.03;Vendita merci;8,75;259849,42
    47.07;CORRISPETTIVI;;421321,90
        47.07.01;Corrispettivi;;421321,90
    47.09;RICAVI ACCESSORI DI VENDITA;;593,19
        47.09.03;Rivalsa spese di incasso;;593,19
51;VARIAZ. RIMANENZE INIZIALI;10652,00;
    51.01;RIMANENZE INIZIALI;10652,00;
        51.01.13;Rim.iniz.mat.prime, sussid.e di consumo;10652,00;
53;ALTRI RICAVI E PROVENTI;0,66;16411,42
    53.01;PROVENTI DIVERSI;0,66;15311,17
        53.01.19;Sopravvenienze attive da gestione ordin.;;15267,79
            53.01.19.01;Sopravv.attive da gestione ordin.impon.;;15267,79
        53.01.29;Arrotondamenti attivi diversi;0,66;43,38
    53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;;1100,25
        53.09.03;Sopravv.attive da eventi str./es.prec.;;1100,25
            53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;;1100,25
55;ACQUISTI DI BENI;249816,61;9831,43
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;245952,48;9810,92
        55.01.01;Acquisti materie prime;205547,32;9370,13
        55.01.05;Acquisti materiali di consumo;5531,74;81,21
        55.01.07;Acquisti merci per la rivendita;22720,25;359,40
        55.01.09;Confezioni e imballi;11696,86;
        55.01.19;Oneri accessori su acquisti;456,31;0,18
    55.07;ACQUISTI DIVERSI;3864,13;20,51
        55.07.03;Attrezzatura minuta;1054,88;
        55.07.11;Materiali manutenz.impianti e macchinari;594,00;
        55.07.23;Indumenti da lavoro;282,30;
        55.07.51;Materiale vario di consumo;1932,95;20,51
57;ACQUISTI DI SERVIZI;43659,45;2743,86
    57.01;SERVIZI PER LA PRODUZIONE;607,96;
        57.01.51;Altri servizi per la produzione;607,96;
            57.01.51.01;Altri servizi per la produzione;607,96;
    57.09;COSTI PER UTENZE;34098,27;2743,86
        57.09.01;Spese telefoniche ordinarie;1287,03;152,64
            57.09.01.01;Spese telefoniche ordinarie;1287,03;152,64
        57.09.13;Energia elettrica;14078,36;1278,92
            57.09.13.01;Energia elettrica;14078,36;1278,92
        57.09.17;Acqua potabile;966,77;
        57.09.19;Gas;6066,11;1312,30
        57.09.21;Pulizia locali;11700,00;
    57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;8953,22;
        57.11.01;Spese manut.impianti e macchin.propri;7922,00;
        57.11.03;Spese manutenzione attrezzature proprie;993,00;
        57.11.11;Canoni manutenzione attrezzature proprie;38,22;
59;GESTIONE VEICOLI AZIENDALI;7853,55;
    59.01;ESERCIZIO AUTOMEZZI;7420,87;
        59.01.01;Carburanti e lubrificanti automezzi;1322,73;
        59.01.05;Premi di assicurazione automezzi;1166,29;
        59.01.07;Altre spese automezzi;2578,79;
        59.01.13;Spese manutenzione automezzi propri;2353,06;
            59.01.13.03;Spese manutenzione automezzi propri;2353,06;
    59.03;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;432,68;
        59.03.01;Carburanti e lubrificanti veicoli;432,68;
            59.03.01.11;Carburanti e lubrificanti indeducibili;432,68;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;3997,84;362,34
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;3665,93;362,34
        61.01.01;Consulenze amministrative e fiscali;3461,93;362,34
            61.01.01.01;Consulenze ammin.e fiscali (non ordin.);3461,93;362,34
        61.01.03;Consulenze tecniche;204,00;
    61.05;COMPENSI ORGANI SOCIALI;331,91;
        61.05.15;Premi INAIL soci/titolari;331,91;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;10317,47;39,77
    63.01;SPESE COMMERCIALI E DI VIAGGIO;358,18;
        63.01.21;Spese rappres.deduc.(con limite ricavi);358,18;
    63.05;SPESE AMMINISTRATIVE E GENERALI;9959,29;39,77
        63.05.01;Spese postali;35,20;
        63.05.07;Servizi contabili di terzi;7720,62;
        63.05.11;Altre spese amministrative;442,12;9,00
        63.05.15;Premi di assicurazioni obbligatorie;1167,76;
        63.05.17;Servizi di vigilanza;181,98;
        63.05.23;Valori bollati;211,61;30,77
        63.05.25;Assistenza software;200,00;
65;COSTI PER GODIMENTO BENI DI TERZI;45891,06;
    65.01;GESTIONE IMMOBILI;44534,26;
        65.01.05;Canoni locazione immobili;44534,26;
            65.01.05.01;Canoni locazione immobili deducibili;44534,26;
    65.03;LOCAZ. E CANONI AUTOV. E ALTRI VEICOLI;597,80;
        65.03.05;Canoni/spese access.nolegg.veicoli;597,80;
            65.03.05.01;Can./spese access.noleg.veicoli deduc.;597,80;
    65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;27,00;
        65.05.15;Canoni noleggio attrezzature;27,00;
    65.07;CANONI E LICENZE SOFTWARE;732,00;
        65.07.03;Licenze d'uso software non capitalizzati;732,00;
67;COSTI PERSONALE DIPENDENTE;281890,88;11020,81
    67.01;COSTI PERSONALE DIPENDENTE;279740,88;11020,81
        67.01.01;Retribuzioni lorde;219409,98;8726,25
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;219409,98;8726,25
        67.01.03;Contributi INPS;53726,93;2294,56
            67.01.03.01;Contributi INPS dipendenti ordinari;53726,93;2294,56
        67.01.07;Quote TFR dipendenti;1964,29;
            67.01.07.01;Quote TFR dipend.ordinari (in azienda);1964,29;
        67.01.11;Premi INAIL;4639,68;
    67.03;COSTI DIVERSI PERSONALE DIPENDENTE;2150,00;
        67.03.13;Ricerca, formazione e addestramento;750,00;
        67.03.25;Visite mediche periodiche ai dipendenti;650,00;
