47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;8,75;760449,34
    47.01;VENDITE PRODOTTI FINITI E MERCI;8,75;289738,16
        47.01.03;Vendita merci;8,75;289738,16
    47.07;CORRISPETTIVI;;470109,99
        47.07.01;Corrispettivi;;470109,99
    47.09;RICAVI ACCESSORI DI VENDITA;;601,19
        47.09.03;Rivalsa spese di incasso;;601,19
49;VARIAZ.RIM.FINALI E COSTRUZIONI INTERNE;;16720,00
    49.01;RIMANENZE FINALI;;16720,00
        49.01.03;Rimanenze finali di merci;;16720,00
51;VARIAZ. RIMANENZE INIZIALI;10652,00;
    51.01;RIMANENZE INIZIALI;10652,00;
        51.01.13;Rim.iniz.mat.prime, sussid.e di consumo;10652,00;
53;ALTRI RICAVI E PROVENTI;0,66;16411,98
    53.01;PROVENTI DIVERSI;0,66;15311,73
        53.01.19;Sopravvenienze attive da gestione ordin.;;15267,79
            53.01.19.01;Sopravv.attive da gestione ordin.impon.;;15267,79
        53.01.29;Arrotondamenti attivi diversi;0,66;43,94
    53.09;COMPONENTI POSITIVI DA EVENTI STRAORD.;;1100,25
        53.09.03;Sopravv.attive da eventi str./es.prec.;;1100,25
            53.09.03.01;Sopravv.attive imp.da ev.str./es.prec.;;1100,25
55;ACQUISTI DI BENI;274448,20;10697,65
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;270489,58;10675,59
        55.01.01;Acquisti materie prime;225598,27;10234,80
        55.01.05;Acquisti materiali di consumo;5848,96;81,21
        55.01.07;Acquisti merci per la rivendita;25358,29;359,40
        55.01.09;Confezioni e imballi;13227,75;
        55.01.19;Oneri accessori su acquisti;456,31;0,18
    55.07;ACQUISTI DIVERSI;3958,62;22,06
        55.07.03;Attrezzatura minuta;1054,88;
        55.07.11;Materiali manutenz.impianti e macchinari;594,00;
        55.07.23;Indumenti da lavoro;282,30;
        55.07.51;Materiale vario di consumo;2027,44;22,06
57;ACQUISTI DI SERVIZI;50728,52;2885,65
    57.01;SERVIZI PER LA PRODUZIONE;607,96;
        57.01.51;Altri servizi per la produzione;607,96;
            57.01.51.01;Altri servizi per la produzione;607,96;
    57.07;COSTI PER INTERMEDIAZIONE VENDITE;540,82;
        57.07.11;Altri costi di intermediazione;540,82;
            57.07.11.01;PROVVIGIONI TICKET;540,82;
    57.09;COSTI PER UTENZE;40626,52;2743,86
        57.09.01;Spese telefoniche ordinarie;1723,08;152,64
            57.09.01.01;Spese telefoniche ordinarie;1723,08;152,64
        57.09.13;Energia elettrica;16843,71;1278,92
            57.09.13.01;Energia elettrica;16843,71;1278,92
        57.09.17;Acqua potabile;1769,01;
        57.09.19;Gas;7490,72;1312,30
        57.09.21;Pulizia locali;12800,00;
    57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;8953,22;141,79
        57.11.01;Spese manut.impianti e macchin.propri;7922,00;39,92
        57.11.03;Spese manutenzione attrezzature proprie;993,00;101,87
        57.11.11;Canoni manutenzione attrezzature proprie;38,22;
59;GESTIONE VEICOLI AZIENDALI;8270,23;186,24
    59.01;ESERCIZIO AUTOMEZZI;7837,55;186,24
        59.01.01;Carburanti e lubrificanti automezzi;1475,75;
        59.01.05;Premi di assicurazione automezzi;1166,29;186,24
        59.01.07;Altre spese automezzi;2842,45;
        59.01.13;Spese manutenzione automezzi propri;2353,06;
