47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;142026,53
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;49818,49
47.01.03;Vendita merci;0,00;49818,49
47.07;CORRISPETTIVI;0,00;92180,04
47.07.01;Corrispettivi;0,00;92180,04
47.09;RICAVI ACCESSORI DI VENDITA;0,00;28,00
47.09.03;Rivalsa spese di incasso;0,00;28,00
55;ACQUISTI DI BENI;45593,26;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;45080,37;0,00
55.01.01;Acquisti materie prime;38706,99;0,00
55.01.05;Acquisti materiali di consumo;770,55;0,00
55.01.07;Acquisti merci per la rivendita;3474,61;0,00
55.01.09;Confezioni e imballi;1987,54;0,00
55.01.19;Oneri accessori su acquisti;140,68;0,00
55.07;ACQUISTI DIVERSI;512,89;0,00
55.07.03;Attrezzatura minuta;85,22;0,00
55.07.51;Materiale vario di consumo;427,67;0,00
57;ACQUISTI DI SERVIZI;5213,36;0,00
57.09;COSTI PER UTENZE;4605,14;0,00
57.09.01;Spese telefoniche ordinarie;98,34;0,00
57.09.13;Energia elettrica;1317,59;0,00
57.09.19;Gas;989,21;0,00
57.09.21;Pulizia locali;2200,00;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;608,22;0,00
57.11.01;Spese manut.impianti e macchin.propri;570,00;0,00
57.11.11;Canoni manutenzione attrezzature proprie;38,22;0,00
59;GESTIONE VEICOLI AZIENDALI;1084,32;0,00
59.01;ESERCIZIO AUTOMEZZI;1084,32;0,00
59.01.01;Carburanti e lubrificanti automezzi;300,46;0,00
59.01.05;Premi di assicurazione automezzi;148,94;0,00
59.01.07;Altre spese automezzi;454,92;0,00
59.01.13;Spese manutenzione automezzi propri;180,00;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;0,00;0,00
61.01;PRESTAZIONI DI LAVORO AUTONOMO;0,00;0,00
61.01.01;Consulenze amministrative e fiscali;0,00;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1131,44;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;1131,44;0,00
63.05.07;Servizi contabili di terzi;520,71;0,00
63.05.11;Altre spese amministrative;64,96;0,00
63.05.15;Premi di assicurazioni obbligatorie;545,77;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;8694,00;0,00
65.01;GESTIONE IMMOBILI;7962,00;0,00
65.01.05;Canoni locazione immobili;7962,00;0,00
65.07;CANONI E LICENZE SOFTWARE;732,00;0,00
65.07.03;Licenze d'uso software non capitalizzati;732,00;0,00
67;COSTI PERSONALE DIPENDENTE;39416,58;0,00
67.01;COSTI PERSONALE DIPENDENTE;39416,58;0,00
67.01.01;Retribuzioni lorde;31737,40;0,00
67.01.03;Contributi INPS;7462,63;0,00
67.01.07;Quote TFR dipendenti;216,55;0,00
71;ONERI DIVERSI DI GESTIONE;189,73;0,00
71.03;ALTRI COSTI DI ESERCIZIO;189,73;0,00
71.03.09;Cancelleria varia;189,73;0,00
75;ONERI FINANZIARI;101,56;0,00
75.01;ONERI FINANZIARI VERSO BANCHE;101,56;0,00
75.01.07;Commissioni e spese bancarie;101,56;0,00
80;AMMORTAMENTI;5547,10;0,00
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;652,33;0,00
80.01.27;Amm.to spese di manut.su beni di terzi;652,33;0,00
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;4894,77;0,00
80.03.19;Amm.to ordinario impianti elettrici;189,25;0,00
80.03.23;Amm.to ordinario impianti specifici;802,43;0,00
80.03.29;Amm.to ordin.altri impianti e macchinari;53,22;0,00
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;762,96;0,00
80.03.35;Amm.to ordinario mobili e arredi;2489,85;0,00
80.03.39;Amm.ord.macchine d'ufficio elettroniche;55,88;0,00
80.03.45;Amm.to ordinario automezzi;541,18;0,00
