47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;199251,08
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1663,66
47.01.11;Aggio su beni di monopolio;0,00;1663,66
47.07;CORRISPETTIVI;0,00;197587,42
47.07.01;Corrispettivi;0,00;197587,42
47.07.01;BAR- ATTIVIT… PRINCIPALE;0,00;123384,84
47.07.01;MINIMERCATO;0,00;74202,58
55;ACQUISTI DI BENI;87031,48;47.07.01
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;340,97;47.07.01
55.01.09;Confezioni e imballi;337,12;47.07.01
55.01.19;Oneri accessori su acquisti;3,85;47.07.01
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;88106,31;47.07.01
55.03.01;Acq.beni materiali per produz. servizi;87933,63;47.07.01
55.03.03;Acq.materiali di consumo (att.servizi);172,68;47.07.01
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-1814,92;47.07.01
55.05.01;Sconti su acquisti;-1814,92;47.07.01
55.05.01.03;Sconti su acquisti beni per produz.serv.;-1814,92;47.07.01
55.07;ACQUISTI DIVERSI;399,12;47.07.01
55.07.01;Acquisto beni strumentali inf.516,46;162,35;47.07.01
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;162,35;47.07.01
55.07.51;Materiale vario di consumo;236,77;47.07.01
57;ACQUISTI DI SERVIZI;8928,59;47.07.01
57.01;SERVIZI PER LA PRODUZIONE;325,52;47.07.01
57.01.51;Altri servizi per la produzione;325,52;47.07.01
57.01.51.03;Acq.servizi diversi (attiv.di servizi);325,52;47.07.01
57.09;COSTI PER UTENZE;8129,07;47.07.01
57.09.01;Spese telefoniche ordinarie;550,50;47.07.01
57.09.01.01;Spese telefoniche ordinarie;550,50;47.07.01
57.09.13;Energia elettrica;6716,70;47.07.01
57.09.13.01;Energia elettrica;6716,70;47.07.01
57.09.17;Acqua potabile;861,87;47.07.01
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;474,00;47.07.01
57.11.01;Spese manut.impianti e macchin.propri;474,00;47.07.01
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;377,45;47.07.01
61.01;PRESTAZIONI DI LAVORO AUTONOMO;377,45;47.07.01
61.01.03;Consulenze tecniche;176,47;47.07.01
61.01.11;Consulenze/prestazioni diverse;200,98;47.07.01
61.01.11.01;Consulenze afferenti diverse;200,98;47.07.01
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;7817,88;47.07.01
63.05;SPESE AMMINISTRATIVE E GENERALI;7817,88;47.07.01
63.05.01;Spese postali;1,50;47.07.01
63.05.07;Servizi contabili di terzi;6077,15;47.07.01
63.05.11;Altre spese amministrative;345,81;47.07.01
63.05.15;Premi di assicurazioni obbligatorie;815,02;47.07.01
63.05.17;Servizi di vigilanza;576,40;47.07.01
63.05.23;Valori bollati;2,00;47.07.01
65;COSTI PER GODIMENTO BENI DI TERZI;9720,00;47.07.01
65.01;GESTIONE IMMOBILI;9630,00;47.07.01
65.01.05;Canoni locazione immobili;9630,00;47.07.01
65.01.05.01;Canoni locazione immobili deducibili;9630,00;47.07.01
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;90,00;47.07.01
65.05.15;Canoni noleggio attrezzature;90,00;47.07.01
67;COSTI PERSONALE DIPENDENTE;23332,54;47.07.01
67.01;COSTI PERSONALE DIPENDENTE;23332,54;47.07.01
67.01.01;Retribuzioni lorde;17516,14;47.07.01
67.01.01.01;Retribuzioni lorde dipendenti ordinari;17516,14;47.07.01
67.01.03;Contributi INPS;5488,95;47.07.01
67.01.03.01;Contributi INPS dipendenti ordinari;5488,95;47.07.01
67.01.09;Contrib.altri enti previdenz./assistenz.;327,45;47.07.01
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;327,45;47.07.01
71;ONERI DIVERSI DI GESTIONE;2476,92;47.07.01
71.01;ONERI TRIBUTARI;2085,24;47.07.01
71.01.13;Tassa raccolta e smaltimento rifiuti;2019,00;47.07.01
71.01.51;Altre imposte e tasse indirette;66,24;47.07.01
71.01.51.01;Altre imposte e tasse indirette ded.;66,24;47.07.01
71.03;ALTRI COSTI DI ESERCIZIO;391,68;47.07.01
71.03.11;Abbonamenti, libri e pubblicazioni;391,68;47.07.01
75;ONERI FINANZIARI;302,97;47.07.01
75.01;ONERI FINANZIARI VERSO BANCHE;288,20;47.07.01
75.01.07;Commissioni e spese bancarie;288,20;47.07.01
75.03;ONERI FINANZIARI DIVERSI;14,77;47.07.01
75.03.27;Interessi passivi di mora;14,77;47.07.01
75.03.27.01;Interessi passivi di mora pagati;14,77;47.07.01
80;AMMORTAMENTI;11348,41;47.07.01
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;10362,06;47.07.01
80.01.19;Amm.to avviamento;8982,20;47.07.01
80.01.27;Amm.to spese di manut.su beni di terzi;1379,86;47.07.01
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;986,35;47.07.01
80.03.29;Amm.to ordin.altri impianti e macchinari;324,74;47.07.01
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;494,81;47.07.01
80.03.33;Amm.to ordinario attrezz.varia e minuta;26,03;47.07.01
80.03.35;Amm.to ordinario mobili e arredi;140,77;47.07.01
