47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;38444,8
    47.01;VENDITE PRODOTTI FINITI E MERCI;;354,6
        47.01.11;Aggio su beni di monopolio;;354,6
    47.07;CORRISPETTIVI;;38090,2
        47.07.01;Corrispettivi;;38090,2
55;ACQUISTI DI BENI;10979,11;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;10979,11;
        55.03.01;Acq.beni materiali per produz. servizi;10979,11;
57;ACQUISTI DI SERVIZI;1460,48;
    57.09;COSTI PER UTENZE;1460,48;
        57.09.01;Spese telefoniche ordinarie;167,32;
            57.09.01.01;Spese telefoniche ordinarie;167,32;
        57.09.13;Energia elettrica;1293,16;
            57.09.13.01;Energia elettrica;1293,16;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;610,18;
    63.05;SPESE AMMINISTRATIVE E GENERALI;610,18;
        63.05.07;Servizi contabili di terzi;494,9;
        63.05.17;Servizi di vigilanza;115,28;
65;COSTI PER GODIMENTO BENI DI TERZI;963;
    65.01;GESTIONE IMMOBILI;963;
        65.01.05;Canoni locazione immobili;963;
            65.01.05.01;Canoni locazione immobili deducibili;963;
67;COSTI PERSONALE DIPENDENTE;-1183,3;
    67.01;COSTI PERSONALE DIPENDENTE;-1183,3;
        67.01.01;Retribuzioni lorde;-800,94;
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;-800,94;
        67.01.03;Contributi INPS;-436,04;
            67.01.03.01;Contributi INPS dipendenti ordinari;-436,04;
        67.01.09;Contrib.altri enti previdenz./assistenz.;53,68;
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;53,68;
75;ONERI FINANZIARI;4,01;
    75.03;ONERI FINANZIARI DIVERSI;4,01;
        75.03.27;Interessi passivi di mora;4,01;
            75.03.27.01;Inter.pass.di mora pagati (rilev.ROL);4,01;
80;AMMORTAMENTI;12726,94;
    80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;12442,89;
        80.01.19;Amm.to avviamento;10786,4;
        80.01.27;Amm.to spese di manut.su beni di terzi;1656,49;
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;284,05;
        80.03.29;Amm.to ordin.altri impianti e macchinari;62,92;
        80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;157,79;
        80.03.33;Amm.to ordinario attrezz.varia e minuta;10,1;
        80.03.35;Amm.to ordinario mobili e arredi;53,24;
