47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;77347,12
    47.01;VENDITE PRODOTTI FINITI E MERCI;;767,2
        47.01.11;Aggio su beni di monopolio;;767,2
    47.07;CORRISPETTIVI;;76579,92
        47.07.01;Corrispettivi;;76579,92
55;ACQUISTI DI BENI;32733,28;
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;82,5;
        55.01.09;Confezioni e imballi;82,5;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;32650,78;
        55.03.01;Acq.beni materiali per produz. servizi;32582,39;
        55.03.03;Acq.materiali di consumo (att.servizi);68,39;
57;ACQUISTI DI SERVIZI;3215,83;
    57.09;COSTI PER UTENZE;3215,83;
        57.09.01;Spese telefoniche ordinarie;353,78;
            57.09.01.01;Spese telefoniche ordinarie;353,78;
        57.09.13;Energia elettrica;2577,18;
            57.09.13.01;Energia elettrica;2577,18;
        57.09.17;Acqua potabile;284,87;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;58,82;
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;58,82;
        61.01.11;Consulenze/prestazioni diverse;58,82;
            61.01.11.01;Consulenze afferenti diverse;58,82;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1228,56;
    63.05;SPESE AMMINISTRATIVE E GENERALI;1228,56;
        63.05.07;Servizi contabili di terzi;783,88;
        63.05.11;Altre spese amministrative;214,12;
        63.05.17;Servizi di vigilanza;230,56;
65;COSTI PER GODIMENTO BENI DI TERZI;1926;
    65.01;GESTIONE IMMOBILI;1926;
        65.01.05;Canoni locazione immobili;1926;
            65.01.05.01;Canoni locazione immobili deducibili;1926;
67;COSTI PERSONALE DIPENDENTE;777,38;
    67.01;COSTI PERSONALE DIPENDENTE;777,38;
        67.01.01;Retribuzioni lorde;658,05;
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;658,05;
        67.01.03;Contributi INPS;10,93;
            67.01.03.01;Contributi INPS dipendenti ordinari;10,93;
        67.01.09;Contrib.altri enti previdenz./assistenz.;108,4;
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;108,4;
75;ONERI FINANZIARI;140,11;
    75.01;ONERI FINANZIARI VERSO BANCHE;136,1;
        75.01.07;Commissioni e spese bancarie;136,1;
    75.03;ONERI FINANZIARI DIVERSI;4,01;
        75.03.27;Interessi passivi di mora;4,01;
            75.03.27.01;Inter.pass.di mora pagati (rilev.ROL);4,01;
80;AMMORTAMENTI;13020,53;
    80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;12442,89;
        80.01.19;Amm.to avviamento;10786,4;
        80.01.27;Amm.to spese di manut.su beni di terzi;1656,49;
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;577,64;
        80.03.29;Amm.to ordin.altri impianti e macchinari;128,18;
        80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;320,45;
        80.03.33;Amm.to ordinario attrezz.varia e minuta;20,55;
        80.03.35;Amm.to ordinario mobili e arredi;108,46;
