47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;99310,41
    47.01;VENDITE PRODOTTI FINITI E MERCI;;976
        47.01.11;Aggio su beni di monopolio;;976
    47.07;CORRISPETTIVI;;98334,41
        47.07.01;Corrispettivi;;98334,41
55;ACQUISTI DI BENI;41174,42;
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;192,27;
        55.01.09;Confezioni e imballi;192,27;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;40982,15;
        55.03.01;Acq.beni materiali per produz. servizi;40899,08;
        55.03.03;Acq.materiali di consumo (att.servizi);83,07;
57;ACQUISTI DI SERVIZI;4786,24;
    57.01;SERVIZI PER LA PRODUZIONE;106,68;
        57.01.51;Altri servizi per la produzione;106,68;
            57.01.51.03;Acq.servizi diversi (attiv.di servizi);106,68;
    57.09;COSTI PER UTENZE;4679,56;
        57.09.01;Spese telefoniche ordinarie;540,24;
            57.09.01.01;Spese telefoniche ordinarie;540,24;
        57.09.13;Energia elettrica;3854,45;
            57.09.13.01;Energia elettrica;3854,45;
        57.09.17;Acqua potabile;284,87;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;58,82;
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;58,82;
        61.01.11;Consulenze/prestazioni diverse;58,82;
            61.01.11.01;Consulenze afferenti diverse;58,82;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2515,1;
    63.05;SPESE AMMINISTRATIVE E GENERALI;2515,1;
        63.05.07;Servizi contabili di terzi;1187,26;
        63.05.11;Altre spese amministrative;214,12;
        63.05.13;Premi di assicurazioni non obbligatorie;825,52;
            63.05.13.01;Premi di assicuraz.non obblig.deducibili;825,52;
        63.05.17;Servizi di vigilanza;288,2;
65;COSTI PER GODIMENTO BENI DI TERZI;3852;
    65.01;GESTIONE IMMOBILI;3852;
        65.01.05;Canoni locazione immobili;3852;
            65.01.05.01;Canoni locazione immobili deducibili;3852;
67;COSTI PERSONALE DIPENDENTE;5614,85;
    67.01;COSTI PERSONALE DIPENDENTE;5614,85;
        67.01.01;Retribuzioni lorde;4639,01;
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;4639,01;
        67.01.03;Contributi INPS;787,94;
            67.01.03.01;Contributi INPS dipendenti ordinari;787,94;
        67.01.09;Contrib.altri enti previdenz./assistenz.;187,9;
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;187,9;
71;ONERI DIVERSI DI GESTIONE;949;
    71.01;ONERI TRIBUTARI;949;
        71.01.13;Tassa raccolta e smaltimento rifiuti;949;
75;ONERI FINANZIARI;140,11;
    75.01;ONERI FINANZIARI VERSO BANCHE;136,1;
        75.01.07;Commissioni e spese bancarie;136,1;
    75.03;ONERI FINANZIARI DIVERSI;4,01;
        75.03.27;Interessi passivi di mora;4,01;
            75.03.27.01;Inter.pass.di mora pagati (rilev.ROL);4,01;
80;AMMORTAMENTI;13170,06;
    80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;12442,89;
        80.01.19;Amm.to avviamento;10786,4;
        80.01.27;Amm.to spese di manut.su beni di terzi;1656,49;
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;727,17;
        80.03.29;Amm.to ordin.altri impianti e macchinari;161,46;
        80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;403,24;
        80.03.33;Amm.to ordinario attrezz.varia e minuta;25,85;
        80.03.35;Amm.to ordinario mobili e arredi;136,62;
