47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;151863,82
    47.01;VENDITE PRODOTTI FINITI E MERCI;;1387,65
        47.01.11;Aggio su beni di monopolio;;1387,65
    47.07;CORRISPETTIVI;;150476,17
        47.07.01;Corrispettivi;;150476,17
55;ACQUISTI DI BENI;62639,73;
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;529,44;
        55.01.09;Confezioni e imballi;529,44;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;62056,49;
        55.03.01;Acq.beni materiali per produz. servizi;61968,18;
        55.03.03;Acq.materiali di consumo (att.servizi);88,31;
    55.07;ACQUISTI DIVERSI;53,8;
        55.07.51;Materiale vario di consumo;53,8;
57;ACQUISTI DI SERVIZI;6862,93;
    57.01;SERVIZI PER LA PRODUZIONE;213,36;
        57.01.51;Altri servizi per la produzione;213,36;
            57.01.51.03;Acq.servizi diversi (attiv.di servizi);213,36;
    57.09;COSTI PER UTENZE;6649,57;
        57.09.01;Spese telefoniche ordinarie;732,7;
            57.09.01.01;Spese telefoniche ordinarie;732,7;
        57.09.13;Energia elettrica;5363,13;
            57.09.13.01;Energia elettrica;5363,13;
        57.09.17;Acqua potabile;553,74;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;171,57;
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;171,57;
        61.01.11;Consulenze/prestazioni diverse;171,57;
            61.01.11.01;Consulenze afferenti diverse;171,57;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;4426,89;
    63.05;SPESE AMMINISTRATIVE E GENERALI;4426,89;
        63.05.07;Servizi contabili di terzi;2926,13;
        63.05.11;Altre spese amministrative;214,12;
        63.05.13;Premi di assicurazioni non obbligatorie;825,52;
            63.05.13.01;Premi di assicuraz.non obblig.deducibili;825,52;
        63.05.17;Servizi di vigilanza;461,12;
65;COSTI PER GODIMENTO BENI DI TERZI;7704;
    65.01;GESTIONE IMMOBILI;7704;
        65.01.05;Canoni locazione immobili;7704;
            65.01.05.01;Canoni locazione immobili deducibili;7704;
67;COSTI PERSONALE DIPENDENTE;15278;
    67.01;COSTI PERSONALE DIPENDENTE;15278;
        67.01.01;Retribuzioni lorde;11982,85;
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;11982,85;
        67.01.03;Contributi INPS;2988;
            67.01.03.01;Contributi INPS dipendenti ordinari;2988;
        67.01.09;Contrib.altri enti previdenz./assistenz.;307,15;
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;307,15;
71;ONERI DIVERSI DI GESTIONE;2268,44;
    71.01;ONERI TRIBUTARI;2268,44;
        71.01.13;Tassa raccolta e smaltimento rifiuti;1897;
        71.01.51;Altre imposte e tasse indirette;371,44;
            71.01.51.01;Altre imposte e tasse indirette ded.;371,44;
75;ONERI FINANZIARI;144,11;
    75.01;ONERI FINANZIARI VERSO BANCHE;140,1;
        75.01.07;Commissioni e spese bancarie;140,1;
    75.03;ONERI FINANZIARI DIVERSI;4,01;
        75.03.27;Interessi passivi di mora;4,01;
            75.03.27.01;Inter.pass.di mora pagati (rilev.ROL);4,01;
80;AMMORTAMENTI;13612,69;
    80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;12442,89;
        80.01.19;Amm.to avviamento;10786,4;
        80.01.27;Amm.to spese di manut.su beni di terzi;1656,49;
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1169,8;
        80.03.29;Amm.to ordin.altri impianti e macchinari;259,74;
        80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;648,68;
        80.03.33;Amm.to ordinario attrezz.varia e minuta;41,6;
        80.03.35;Amm.to ordinario mobili e arredi;219,78;
