47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;218355,46;
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1825,06;
47.01.11;Aggio su beni di monopolio;0,00;1825,06;
47.07;CORRISPETTIVI;0,00;216530,40;
47.07.01;Corrispettivi;0,00;216530,40;
47.07.01;BAR- ATTIVIT… PRINCIPALE;0,00;134337,90;
47.07.01;MINIMERCATO;0,00;82192,50;
55;ACQUISTI DI BENI;99192,09;;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;477,68;;
55.01.09;Confezioni e imballi;473,06;;
55.01.19;Oneri accessori su acquisti;4,62;;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;100130,21;;
55.03.01;Acq.beni materiali per produz. servizi;99956,76;;
55.03.03;Acq.materiali di consumo (att.servizi);172,68;;
55.03.05;Oneri accessori su acquisti (att.serv.);0,77;;
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-1814,92;;
55.05.01;Sconti su acquisti;-1814,92;;
55.05.01.03;Sconti su acquisti beni per produz.serv.;-1814,92;;
55.07;ACQUISTI DIVERSI;399,12;;
55.07.01;Acquisto beni strumentali inf.516,46;162,35;;
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;162,35;;
55.07.51;Materiale vario di consumo;236,77;;
57;ACQUISTI DI SERVIZI;10694,35;;
57.01;SERVIZI PER LA PRODUZIONE;325,52;;
57.01.51;Altri servizi per la produzione;325,52;;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);325,52;;
57.09;COSTI PER UTENZE;9894,83;;
57.09.01;Spese telefoniche ordinarie;683,34;;
57.09.01.01;Spese telefoniche ordinarie;683,34;;
57.09.13;Energia elettrica;8349,62;;
57.09.13.01;Energia elettrica;8349,62;;
57.09.17;Acqua potabile;861,87;;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;474,00;;
57.11.01;Spese manut.impianti e macchin.propri;474,00;;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;377,45;;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;377,45;;
61.01.03;Consulenze tecniche;176,47;;
61.01.11;Consulenze/prestazioni diverse;200,98;;
61.01.11.01;Consulenze afferenti diverse;200,98;;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;9546,32;;
63.05;SPESE AMMINISTRATIVE E GENERALI;9546,32;;
63.05.01;Spese postali;1,50;;
63.05.07;Servizi contabili di terzi;6932,93;;
63.05.11;Altre spese amministrative;345,81;;
63.05.15;Premi di assicurazioni obbligatorie;1630,04;;
63.05.17;Servizi di vigilanza;634,04;;
63.05.23;Valori bollati;2,00;;
65;COSTI PER GODIMENTO BENI DI TERZI;10683,00;;
65.01;GESTIONE IMMOBILI;10593,00;;
65.01.05;Canoni locazione immobili;10593,00;;
65.01.05.01;Canoni locazione immobili deducibili;10593,00;;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;90,00;;
65.05.15;Canoni noleggio attrezzature;90,00;;
67;COSTI PERSONALE DIPENDENTE;25380,24;;
67.01;COSTI PERSONALE DIPENDENTE;25380,24;;
67.01.01;Retribuzioni lorde;19056,82;;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;19056,82;;
67.01.03;Contributi INPS;5971,15;;
67.01.03.01;Contributi INPS dipendenti ordinari;5971,15;;
67.01.09;Contrib.altri enti previdenz./assistenz.;352,27;;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;352,27;;
71;ONERI DIVERSI DI GESTIONE;2476,92;;
71.01;ONERI TRIBUTARI;2085,24;;
71.01.13;Tassa raccolta e smaltimento rifiuti;2019,00;;
71.01.51;Altre imposte e tasse indirette;66,24;;
71.01.51.01;Altre imposte e tasse indirette ded.;66,24;;
71.03;ALTRI COSTI DI ESERCIZIO;391,68;;
71.03.11;Abbonamenti, libri e pubblicazioni;391,68;;
75;ONERI FINANZIARI;403,77;;
75.01;ONERI FINANZIARI VERSO BANCHE;389,00;;
75.01.07;Commissioni e spese bancarie;389,00;;
75.03;ONERI FINANZIARI DIVERSI;14,77;;
75.03.27;Interessi passivi di mora;14,77;;
75.03.27.01;Interessi passivi di mora pagati;14,77;;
80;AMMORTAMENTI;12472,56;;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;11390,29;;
80.01.19;Amm.to avviamento;9874,60;;
80.01.27;Amm.to spese di manut.su beni di terzi;1515,69;;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1082,27;;
80.03.29;Amm.to ordin.altri impianti e macchinari;356,98;;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;543,52;;
80.03.33;Amm.to ordinario attrezz.varia e minuta;28,60;;
80.03.35;Amm.to ordinario mobili e arredi;153,17;;
