47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;240575,21
    47.01;VENDITE PRODOTTI FINITI E MERCI;;1988,66
        47.01.11;Aggio su beni di monopolio;;1988,66
    47.07;CORRISPETTIVI;;238586,55
        47.07.01;Corrispettivi;;238586,55
49;VARIAZ.RIM.FINALI E COSTRUZIONI INTERNE;;12470,00
    49.01;RIMANENZE FINALI;;12470,00
        49.01.03;Rimanenze finali di merci;;12470,00
51;VARIAZ. RIMANENZE INIZIALI;18538,00;
    51.01;RIMANENZE INIZIALI;18538,00;
        51.01.03;Rimanenze iniziali di merci;18538,00;
55;ACQUISTI DI BENI;108095,08;
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;669,69;
        55.01.09;Confezioni e imballi;664,30;
        55.01.19;Oneri accessori su acquisti;5,39;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;108841,19;
        55.03.01;Acq.beni materiali per produz. servizi;108614,54;
        55.03.03;Acq.materiali di consumo (att.servizi);225,88;
        55.03.05;Oneri accessori su acquisti (att.serv.);0,77;
    55.05;VARIAZIONI ATTIVE SU ACQUISTI;;-1814,92
        55.05.01;Sconti su acquisti;;-1814,92
            55.05.01.03;Sconti su acquisti beni per produz.serv.;;-1814,92
    55.07;ACQUISTI DIVERSI;399,12;
        55.07.01;Acquisto beni strumentali inf.516,46;162,35;
            55.07.01.01;Acquisto beni strument.inf.516,46 ded.;162,35;
        55.07.51;Materiale vario di consumo;236,77;
57;ACQUISTI DI SERVIZI;11320,35;
    57.01;SERVIZI PER LA PRODUZIONE;485,54;
        57.01.51;Altri servizi per la produzione;485,54;
            57.01.51.03;Acq.servizi diversi (attiv.di servizi);485,54;
    57.09;COSTI PER UTENZE;10360,81;
        57.09.01;Spese telefoniche ordinarie;854,18;
            57.09.01.01;Spese telefoniche ordinarie;854,18;
        57.09.13;Energia elettrica;8349,62;
            57.09.13.01;Energia elettrica;8349,62;
        57.09.17;Acqua potabile;1157,01;
    57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;474,00;
        57.11.01;Spese manut.impianti e macchin.propri;474,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;490,20;
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;490,20;
        61.01.03;Consulenze tecniche;176,47;
        61.01.11;Consulenze/prestazioni diverse;313,73;
            61.01.11.01;Consulenze afferenti diverse;313,73;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;10621,88;
    63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);207,00;
        63.03.03;Omaggi;207,00;
            63.03.03.03;Omaggi val.unit.mag.lim.art.108 c.2 ded;207,00;
    63.05;SPESE AMMINISTRATIVE E GENERALI;10414,88;
        63.05.01;Spese postali;1,50;
        63.05.07;Servizi contabili di terzi;7743,85;
        63.05.11;Altre spese amministrative;345,81;
        63.05.15;Premi di assicurazioni obbligatorie;1630,04;
        63.05.17;Servizi di vigilanza;691,68;
        63.05.23;Valori bollati;2,00;
65;COSTI PER GODIMENTO BENI DI TERZI;11685,00;
    65.01;GESTIONE IMMOBILI;11556,00;
        65.01.05;Canoni locazione immobili;11556,00;
            65.01.05.01;Canoni locazione immobili deducibili;11556,00;
    65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;90,00;
        65.05.15;Canoni noleggio attrezzature;90,00;
    65.07;CANONI E LICENZE SOFTWARE;39,00;
        65.07.03;Licenze d'uso software non capitalizzati;39,00;
67;COSTI PERSONALE DIPENDENTE;36406,63;
    67.01;COSTI PERSONALE DIPENDENTE;36406,63;
        67.01.01;Retribuzioni lorde;25658,84;
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;25658,84;
        67.01.03;Contributi INPS;8011,50;
            67.01.03.01;Contributi INPS dipendenti ordinari;8011,50;
        67.01.07;Quote TFR dipendenti;1652,14;
            67.01.07.01;Quote TFR dipend.ordinari (in azienda);1652,14;
        67.01.09;Contrib.altri enti previdenz./assistenz.;379,91;
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;379,91;
        67.01.11;Premi INAIL;704,24;
71;ONERI DIVERSI DI GESTIONE;4245,42;
    71.01;ONERI TRIBUTARI;3853,74;
        71.01.13;Tassa raccolta e smaltimento rifiuti;2850,00;
        71.01.51;Altre imposte e tasse indirette;1003,74;
            71.01.51.01;Altre imposte e tasse indirette ded.;1003,74;
    71.03;ALTRI COSTI DI ESERCIZIO;391,68;
        71.03.11;Abbonamenti, libri e pubblicazioni;391,68;
75;ONERI FINANZIARI;403,77;
    75.01;ONERI FINANZIARI VERSO BANCHE;389,00;
        75.01.07;Commissioni e spese bancarie;389,00;
    75.03;ONERI FINANZIARI DIVERSI;14,77;
        75.03.27;Interessi passivi di mora;14,77;
            75.03.27.01;Interessi passivi di mora pagati;14,77;
80;AMMORTAMENTI;12604,01;
    80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;11142,89;
        80.01.19;Amm.to avviamento;10786,40;
        80.01.27;Amm.to spese di manut.su beni di terzi;356,49;
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1461,12;
        80.03.29;Amm.to ordin.altri impianti e macchinari;390,00;
        80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;784,00;
        80.03.33;Amm.to ordinario attrezz.varia e minuta;31,25;
        80.03.35;Amm.to ordinario mobili e arredi;255,87;
