47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;140598,21
    47.01;VENDITE PRODOTTI FINITI E MERCI;;1301
        47.01.11;Aggio su beni di monopolio;;1301
    47.07;CORRISPETTIVI;;139297,21
        47.07.01;Corrispettivi;;139297,21
55;ACQUISTI DI BENI;58798,86;
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;268,96;
        55.01.09;Confezioni e imballi;268,96;
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;58476,1;
        55.03.01;Acq.beni materiali per produz. servizi;58387,79;
        55.03.03;Acq.materiali di consumo (att.servizi);88,31;
    55.07;ACQUISTI DIVERSI;53,8;
        55.07.51;Materiale vario di consumo;53,8;
57;ACQUISTI DI SERVIZI;6862,93;
    57.01;SERVIZI PER LA PRODUZIONE;213,36;
        57.01.51;Altri servizi per la produzione;213,36;
            57.01.51.03;Acq.servizi diversi (attiv.di servizi);213,36;
    57.09;COSTI PER UTENZE;6649,57;
        57.09.01;Spese telefoniche ordinarie;732,7;
            57.09.01.01;Spese telefoniche ordinarie;732,7;
        57.09.13;Energia elettrica;5363,13;
            57.09.13.01;Energia elettrica;5363,13;
        57.09.17;Acqua potabile;553,74;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;171,57;
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;171,57;
        61.01.11;Consulenze/prestazioni diverse;171,57;
            61.01.11.01;Consulenze afferenti diverse;171,57;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;4369,25;
    63.05;SPESE AMMINISTRATIVE E GENERALI;4369,25;
        63.05.07;Servizi contabili di terzi;2926,13;
        63.05.11;Altre spese amministrative;214,12;
        63.05.13;Premi di assicurazioni non obbligatorie;825,52;
            63.05.13.01;Premi di assicuraz.non obblig.deducibili;825,52;
        63.05.17;Servizi di vigilanza;403,48;
65;COSTI PER GODIMENTO BENI DI TERZI;3852;
    65.01;GESTIONE IMMOBILI;3852;
        65.01.05;Canoni locazione immobili;3852;
            65.01.05.01;Canoni locazione immobili deducibili;3852;
67;COSTI PERSONALE DIPENDENTE;10177,96;
    67.01;COSTI PERSONALE DIPENDENTE;10177,96;
        67.01.01;Retribuzioni lorde;8122,2;
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;8122,2;
        67.01.03;Contributi INPS;1828,11;
            67.01.03.01;Contributi INPS dipendenti ordinari;1828,11;
        67.01.09;Contrib.altri enti previdenz./assistenz.;227,65;
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;227,65;
71;ONERI DIVERSI DI GESTIONE;949;
    71.01;ONERI TRIBUTARI;949;
        71.01.13;Tassa raccolta e smaltimento rifiuti;949;
75;ONERI FINANZIARI;140,11;
    75.01;ONERI FINANZIARI VERSO BANCHE;136,1;
        75.01.07;Commissioni e spese bancarie;136,1;
    75.03;ONERI FINANZIARI DIVERSI;4,01;
        75.03.27;Interessi passivi di mora;4,01;
            75.03.27.01;Inter.pass.di mora pagati (rilev.ROL);4,01;
80;AMMORTAMENTI;13463,17;
    80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;12442,89;
        80.01.19;Amm.to avviamento;10786,4;
        80.01.27;Amm.to spese di manut.su beni di terzi;1656,49;
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1020,28;
        80.03.29;Amm.to ordin.altri impianti e macchinari;226,46;
        80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;565,9;
        80.03.33;Amm.to ordinario attrezz.varia e minuta;36,3;
        80.03.35;Amm.to ordinario mobili e arredi;191,62;
