29;COSTI PER SERVIZI;12.143,13;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.832,50;
29 / 5 / 16;      Servizi vari deducibili;1.832,50;
29 / 15;   COSTI PER SERVIZI (GENERALI);10.310,63;
29 / 15 / 11;      Servizi vari commerciali;8.194,70;
29 / 15 / 53;      Servizi amministrativi e contabili;711,52;
29 / 15 / 81;      Altre spese deducibili;125,60;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;46,41;
29 / 15 / 1010;      Serv,prest.rese da prof.Minimi/For;1.232,40;
31;COSTI PER GODIMENTO BENI DI TERZI;1.200,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;1.200,00;
31 / 5 / 3;      Locazione uffici;1.200,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;38.907,87
44 / 15;   RICAVI DELLE PRESTAZIONI;;38.907,87
44 / 15 / 1;      Prestazioni di servizi Italia;;38.907,87
