Conto;;Saldo Contabile;
29;COSTI PER SERVIZI;41.141,93;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);2.735,50;
29 / 5 / 16;      Servizi vari deducibili;2.735,50;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);251,75;
29 / 10 / 10;      Spese di pubblicita' e propaganda;120,00;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);131,75;
29 / 15;   COSTI PER SERVIZI (GENERALI);38.154,68;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;48,86;
29 / 15 / 11;      Servizi vari commerciali;27.809,80;
29 / 15 / 53;      Servizi amministrativi e contabili;2.266,89;
29 / 15 / 81;      Altre spese deducibili;1.115,64;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;274,21;
29 / 15 / 1010;      Serv,prest.rese da prof.Minimi/For;6.507,28;
29 / 15 / 5001;"      Servizio "" Call Tracking Tel.""";132,00;
31;COSTI PER GODIMENTO BENI DI TERZI;3.600,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;3.600,00;
31 / 5 / 3;      Locazione uffici;3.600,00;
33;COSTI PER IL PERSONALE;14.238,67;
33 / 5;   SALARI E STIPENDI;7.918,00;
33 / 5 / 1001;      Stipendi e salari;7.918,00;
33 / 10;   ONERI SOCIALI;6.320,67;
33 / 10 / 1001;      Contributi dipendenti;6.320,67;
38;ONERI DIVERSI DI GESTIONE;164,23;
38 / 5;   ONERI DIVERSI DI GESTIONE;164,23;
38 / 5 / 1002;      Inail titolare e soci soc.pers.;164,23;
44;RICAVI DELLE VENDITE E DELLE PREST.;;109.905,21
44 / 15;   RICAVI DELLE PRESTAZIONI;;109.905,21
44 / 15 / 1;      Prestazioni di servizi Italia;;107.005,21
44 / 15 / 2;      Prestazioni di servizi estero;;2.900,00
