47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;112,00
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;112,00
47.01.03;Vendita merci;0,00;112,00
55;ACQUISTI DI BENI;190,57;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;171,43;
55.01.01;Acquisti materie prime;98,86;
55.01.07;Acquisti merci per la rivendita;27,57;
55.01.09;Confezioni e imballi;45,00;
55.07;ACQUISTI DIVERSI;19,14;
55.07.51;Materiale vario di consumo;19,14;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1,80;
63.05;SPESE AMMINISTRATIVE E GENERALI;1,80;
63.05.11;Altre spese amministrative;1,80;
65;COSTI PER GODIMENTO BENI DI TERZI;1073,27;
65.01;GESTIONE IMMOBILI;1073,27;
65.01.05;Canoni locazione immobili;1073,27;
80;AMMORTAMENTI;1863,65;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;99,76;
80.01.11;Amm.to costi di pubblicita';99,76;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1763,89;
80.03.23;Amm.to ordinario impianti specifici;20,14;
80.03.27;Amm.to ordinario macchinari automatici;13,57;
80.03.29;Amm.to ordin.altri impianti e macchinari;65,84;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;77,81;
80.03.33;Amm.to ordinario attrezz.varia e minuta;55,65;
80.03.35;Amm.to ordinario mobili e arredi;1051,80;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;52,56;
80.03.47;Amm.to ordinario telefonia mobile;12,45;
80.03.49;Ammortamento ordinario veicoli;414,07;
