47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-499340,62;A;;;;;499340,62;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-195378,98;A;;;;;195378,98;;
        47.01.03;;Vendita merci;;100,00;-195378,98;A;;;;;195378,98;;
    47.07;;CORRISPETTIVI;;;-303929,64;A;;;;;303929,64;;
        47.07.01;P;Corrispettivi;;100,00;-303929,64;A;;;;;303929,64;;
    47.09;;RICAVI ACCESSORI DI VENDITA;;;-32,00;A;;;;;32,00;;
        47.09.03;;Rivalsa spese di incasso;;100,00;-32,00;A;;;;;32,00;;
53;;ALTRI RICAVI E PROVENTI;;;-2579,72;A;;;;;2579,72;;
    53.01;;PROVENTI DIVERSI;;;-776,54;A;;;;;776,54;;
        53.01.15;;Risarcim.danni perdita prodotti/sinistri;;100,00;-764,76;A;;;;;764,76;;
        53.01.19;;Sopravvenienze attive da gestione ordin.;;;-3,32;A;;;;;3,32;;
            53.01.19.01;;Sopravv.attive da gestione ordin.impon.;;100,00;-3,32;A;;;;;3,32;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-8,46;A;;;;;8,46;;
    53.03;;PLUSVAL.DA ALIENAZIONE CESPITI;;;-1803,18;A;;;;;1803,18;;
        53.03.01;;Plusvalenze da alienazione cespiti;;;-1803,18;A;;;;;1803,18;;
            53.03.01.01;;Plusv. da alienazione cespiti impon.;;100,00;-1803,18;A;;;;;1803,18;;
55;;ACQUISTI DI BENI;;;159543,92;D;;;;167396,52;7852,60;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;157606,05;D;;;;165450,22;7844,17;;
        55.01.01;;Acquisti materie prime;;100,00;126821,17;D;;;;132300,55;5479,38;;
        55.01.05;;Acquisti materiali di consumo;;100,00;2155,71;D;;;;2155,71;;;
        55.01.07;;Acquisti merci per la rivendita;;100,00;19863,12;D;;;;22227,91;2364,79;;
        55.01.09;;Confezioni e imballi;;100,00;8762,45;D;;;;8762,45;;;
        55.01.19;;Oneri accessori su acquisti;;100,00;3,60;D;;;;3,60;;;
    55.07;;ACQUISTI DIVERSI;;;1937,87;D;;;;1946,30;8,43;;
        55.07.03;;Attrezzatura minuta;;100,00;1040,97;D;;;;1040,97;;;
        55.07.51;P;Materiale vario di consumo;;100,00;896,90;D;;;;905,33;8,43;;
57;;ACQUISTI DI SERVIZI;;;29747,16;D;;;;33007,88;3260,72;;
    57.01;;SERVIZI PER LA PRODUZIONE;;;126,00;D;;;;126,00;;;
        57.01.51;;Altri servizi per la produzione;;;126,00;D;;;;126,00;;;
            57.01.51.01;P;Altri servizi per la produzione;;100,00;126,00;D;;;;126,00;;;
    57.09;;COSTI PER UTENZE;;;23150,22;D;;;;26410,94;3260,72;;
        57.09.01;;Spese telefoniche ordinarie;;;1160,54;D;;;;1376,57;216,03;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;1160,54;D;;;;1376,57;216,03;;
        57.09.13;;Energia elettrica;;;9019,03;D;;;;10376,77;1357,74;;
            57.09.13.01;;Energia elettrica;;100,00;9019,03;D;;;;10376,77;1357,74;;
        57.09.17;;Acqua potabile;;100,00;73,69;D;;;;696,30;622,61;;
        57.09.19;;Gas;;100,00;4496,96;D;;;;5561,30;1064,34;;
        57.09.21;;Pulizia locali;;100,00;8400,00;D;;;;8400,00;;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;6470,94;D;;;;6470,94;;;
        57.11.01;;Spese manut.impianti e macchin.propri;;100,00;6075,07;D;;;;6075,07;;;
        57.11.03;;Spese manutenzione attrezzature proprie;;100,00;395,87;D;;;;395,87;;;
59;;GESTIONE VEICOLI AZIENDALI;;;4651,07;D;;;;4844,28;;-193,21;A
    59.01;;ESERCIZIO AUTOMEZZI;;;4651,07;D;;;;4844,28;;-193,21;A
        59.01.01;;Carburanti e lubrificanti automezzi;;100,00;1004,12;D;;;;1004,12;;;
        59.01.05;;Premi di assicurazione automezzi;;100,00;1035,77;D;;;;1228,98;;-193,21;A
        59.01.07;;Altre spese automezzi;;100,00;1492,28;D;;;;1492,28;;;
        59.01.09;;Multe automezzi;;;60,90;D;;;;60,90;;;
        59.01.13;;Spese manutenzione automezzi propri;;;1058,00;D;;;;1058,00;;;
            59.01.13.03;;Spese manutenzione automezzi propri;;100,00;1058,00;D;;;;1058,00;;;
61;;PRESTAZIONI DI LAVORO NON DIPENDENTE;;;4296,46;D;;;;4296,46;;;
    61.01;;PRESTAZIONI DI LAVORO AUTONOMO;;;4129,52;D;;;;4129,52;;;
        61.01.01;;Consulenze amministrative e fiscali;;;3207,41;D;;;;3207,41;;;
            61.01.01.01;;Consulenze ammin.e fiscali (non ordin.);;100,00;3207,41;D;;;;3207,41;;;
        61.01.11;;Consulenze/prestazioni diverse;;;652,00;D;;;;652,00;;;
            61.01.11.05;;Consulenze non afferenti diverse;;100,00;652,00;D;;;;652,00;;;
        61.01.17;;Altri costi per prestazioni di terzi;;;256,08;D;;;;256,08;;;
            61.01.17.01;;Altri costi per prest.di terzi affer.;;100,00;256,08;D;;;;256,08;;;
        61.01.19;;Contributi cassa previdenza lav.autonomo;;;14,03;D;;;;14,03;;;
            61.01.19.05;;Contr.cassa prev.cons.ammin.fisc.(ordin);;100,00;14,03;D;;;;14,03;;;
    61.05;;COMPENSI ORGANI SOCIALI;;;166,94;D;;;;166,94;;;
        61.05.15;;Premi INAIL soci/titolari;;100,00;166,94;D;;;;166,94;;;
63;;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;;;6100,76;D;;;;6219,30;118,54;;
    63.01;;SPESE COMMERCIALI E DI VIAGGIO;;;513,62;D;;;;513,62;;;
        63.01.21;;Spese rappres.deduc.(con limite ricavi);;100,00;437,00;D;;;;437,00;;;
        63.01.51;;Spese commerciali varie;;100,00;76,62;D;;;;76,62;;;
    63.05;;SPESE AMMINISTRATIVE E GENERALI;;;5587,14;D;;;;5705,68;118,54;;
        63.05.07;;Servizi contabili di terzi;;100,00;3935,38;D;;;;3935,38;;;
        63.05.11;P;Altre spese amministrative;;100,00;371,45;D;;;;489,99;118,54;;
        63.05.17;;Servizi di vigilanza;;100,00;121,32;D;;;;121,32;;;
        63.05.23;;Valori bollati;;100,00;16,66;D;;;;16,66;;;
        63.05.25;;Assistenza software;;100,00;776,99;D;;;;776,99;;;
        63.05.51;;Spese generali varie;;100,00;365,34;D;;;;365,34;;;
65;;COSTI PER GODIMENTO BENI DI TERZI;;;36744,62;D;;;;36744,62;;;
    65.01;;GESTIONE IMMOBILI;;;32763,53;D;;;;32763,53;;;
        65.01.05;;Canoni locazione immobili;;;32763,53;D;;;;32763,53;;;
            65.01.05.01;;Canoni locazione immobili deducibili;;100,00;32763,53;D;;;;32763,53;;;
    65.03;;LOCAZ. E CANONI AUTOV. E ALTRI VEICOLI;;;2488,09;D;;;;2488,09;;;
        65.03.05;;Canoni/spese access.nolegg.veicoli;;;2488,09;D;;;;2488,09;;;
            65.03.05.01;;Can./spese access.noleg.veicoli deduc.;;100,00;2488,09;D;;;;2488,09;;;
    65.05;;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;;;132,00;D;;;;132,00;;;
        65.05.15;;Canoni noleggio attrezzature;;100,00;132,00;D;;;;132,00;;;
    65.07;;CANONI E LICENZE SOFTWARE;;;1361,00;D;;;;1361,00;;;
        65.07.01;;Canoni per utilizzo licenze software;;100,00;1292,00;D;;;;1292,00;;;
        65.07.03;;Licenze d'uso software non capitalizzati;;100,00;69,00;D;;;;69,00;;;
67;;COSTI PERSONALE DIPENDENTE;;;194811,88;D;;;;206492,71;11680,83;;
    67.01;;COSTI PERSONALE DIPENDENTE;;;194725,88;D;;;;206406,71;11680,83;;
        67.01.01;;Retribuzioni lorde;;;152079,81;D;;;;161269,13;9189,32;;
            67.01.01.01;;Retribuzioni lorde dipendenti ordinari;;100,00;152079,81;D;;;;161269,13;9189,32;;
        67.01.03;;Contributi INPS;;;39965,77;D;;;;42457,28;2491,51;;
            67.01.03.01;;Contributi INPS dipendenti ordinari;;100,00;39965,77;D;;;;42457,28;2491,51;;
        67.01.07;;Quote TFR dipendenti;;;343,25;D;;;;343,25;;;
            67.01.07.01;;Quote TFR dipend.ordinari (in azienda);;100,00;343,25;D;;;;343,25;;;
        67.01.11;;Premi INAIL;;100,00;2337,05;D;;;;2337,05;;;
    67.03;;COSTI DIVERSI PERSONALE DIPENDENTE;;;86,00;D;;;;86,00;;;
        67.03.25;;Visite mediche periodiche ai dipendenti;;100,00;86,00;D;;;;86,00;;;
71;;ONERI DIVERSI DI GESTIONE;;;1032,58;D;;;;1032,58;;;
    71.01;;ONERI TRIBUTARI;;;4,10;D;;;;4,10;;;
        71.01.05;;Diritti camerali;;100,00;4,10;D;;;;4,10;;;
    71.03;;ALTRI COSTI DI ESERCIZIO;;;1028,48;D;;;;1028,48;;;
        71.03.01;;Spese, perdite e sopravvenienze passive;;;623,17;D;;;;623,17;;;
            71.03.01.01;;Spese, perdite e sopravv.passive deduc.;;100,00;1,80;D;;;;1,80;;;
            71.03.01.05;;Spese, perdite e sopravv.passive inded.;;;621,37;D;;;;621,37;;;
        71.03.07;;Contributi associativi;;;181,10;D;;;;181,10;;;
            71.03.07.01;;Contributi associativi versati;;100,00;181,10;D;;;;181,10;;;
        71.03.09;;Cancelleria varia;;100,00;211,05;D;;;;211,05;;;
        71.03.11;;Abbonamenti, libri e pubblicazioni;;100,00;8,87;D;;;;8,87;;;
        71.03.17;;Arrotondamenti passivi diversi;;100,00;4,29;D;;;;4,29;;;
75;;ONERI FINANZIARI;;;1038,11;D;;;;1191,60;9,36;-144,13;A
    75.01;;ONERI FINANZIARI VERSO BANCHE;;;559,51;D;;;;708,95;5,31;-144,13;A
        75.01.01;;Interessi passivi bancari;;100,00;2,12;D;;;;2,12;;;
        75.01.07;;Commissioni e spese bancarie;;100,00;557,39;D;;;;706,83;5,31;-144,13;A
    75.03;;ONERI FINANZIARI DIVERSI;;;478,60;D;;;;482,65;4,05;;
        75.03.05;;Interessi passivi su mutui;;100,00;475,03;D;;;;475,03;;;
        75.03.19;;Interessi passivi acquisto automezzi;;100,00;3,57;D;;;;7,62;4,05;;
80;;AMMORTAMENTI;;;23471,05;D;;;;;;23471,05;D
    80.01;;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;;;4739,20;D;;;;;;4739,20;D
        80.01.27;;Amm.to spese di manut.su beni di terzi;Simulazione calcolo ammortamento;100,00;4739,20;D;;;;;;4739,20;D
    80.03;;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;;;18731,85;D;;;;;;18731,85;D
