47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-563278,43;A;;;;;563278,43;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-220999,70;A;;;;;220999,70;;
        47.01.03;;Vendita merci;;100,00;-220999,70;A;;;;;220999,70;;
    47.07;;CORRISPETTIVI;;;-342246,73;A;;;;;342246,73;;
        47.07.01;P;Corrispettivi;;100,00;-342246,73;A;;;;;342246,73;;
    47.09;;RICAVI ACCESSORI DI VENDITA;;;-32,00;A;;;;;32,00;;
        47.09.03;;Rivalsa spese di incasso;;100,00;-32,00;A;;;;;32,00;;
53;;ALTRI RICAVI E PROVENTI;;;-2579,72;A;;;;;2579,72;;
    53.01;;PROVENTI DIVERSI;;;-776,54;A;;;;;776,54;;
        53.01.15;;Risarcim.danni perdita prodotti/sinistri;;100,00;-764,76;A;;;;;764,76;;
        53.01.19;;Sopravvenienze attive da gestione ordin.;;;-3,32;A;;;;;3,32;;
            53.01.19.01;;Sopravv.attive da gestione ordin.impon.;;100,00;-3,32;A;;;;;3,32;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-8,46;A;;;;;8,46;;
    53.03;;PLUSVAL.DA ALIENAZIONE CESPITI;;;-1803,18;A;;;;;1803,18;;
        53.03.01;;Plusvalenze da alienazione cespiti;;;-1803,18;A;;;;;1803,18;;
            53.03.01.01;;Plusv. da alienazione cespiti impon.;;100,00;-1803,18;A;;;;;1803,18;;
55;;ACQUISTI DI BENI;;;185298,04;D;;;;194682,11;9384,07;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;182989,47;D;;;;192363,61;9374,14;;
        55.01.01;;Acquisti materie prime;;100,00;149077,30;D;;;;155468,58;6391,28;;
        55.01.05;;Acquisti materiali di consumo;;100,00;2155,71;D;;;;2155,71;;;
        55.01.07;;Acquisti merci per la rivendita;;100,00;21297,21;D;;;;24280,07;2982,86;;
        55.01.09;;Confezioni e imballi;;100,00;10452,56;D;;;;10452,56;;;
        55.01.19;;Oneri accessori su acquisti;;100,00;6,69;D;;;;6,69;;;
    55.07;;ACQUISTI DIVERSI;;;2308,57;D;;;;2318,50;9,93;;
        55.07.03;;Attrezzatura minuta;;100,00;1272,89;D;;;;1272,89;;;
