47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-593786,40;A;;;;;593786,40;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-593186,40;A;;;;;593186,40;;
        47.01.01;;Vendita prodotti finiti;;100,00;-587988,90;A;;;;;587988,90;;
        47.01.03;;Vendita merci;;100,00;-5197,50;A;;;;;5197,50;;
    47.09;;RICAVI ACCESSORI DI VENDITA;;;-600,00;A;;;;;600,00;;
        47.09.01;;Rivalsa spese di trasporto e installaz.;;100,00;-600,00;A;;;;;600,00;;
53;;ALTRI RICAVI E PROVENTI;;;-13968,42;A;;;;;13968,42;;
    53.01;;PROVENTI DIVERSI;;;-13968,42;A;;;;;13968,42;;
        53.01.01;;Proventi immobiliari;;;-11400,00;A;;;;;11400,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-11400,00;A;;;;;11400,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-14,42;A;;;;;14,42;;
        53.01.51;;Altri ricavi e proventi;;;-2554,00;A;;;;;2554,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-2554,00;A;;;;;2554,00;;
55;;ACQUISTI DI BENI;;;287639,70;D;;;;289419,53;1779,83;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;274962,31;D;;;;276701,32;1739,01;;
        55.01.01;;Acquisti materie prime;;100,00;260311,94;D;;;;262050,95;1739,01;;
        55.01.05;;Acquisti materiali di consumo;;100,00;2443,88;D;;;;2443,88;;;
        55.01.09;;Confezioni e imballi;;100,00;12206,49;D;;;;12206,49;;;
    55.07;;ACQUISTI DIVERSI;;;12677,39;D;;;;12718,21;40,82;;
        55.07.11;;Materiali manutenz.impianti e macchinari;;100,00;4979,50;D;;;;4979,50;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;7591,10;D;;;;7591,10;;;
        55.07.23;;Indumenti da lavoro;;100,00;106,79;D;;;;147,61;40,82;;
57;;ACQUISTI DI SERVIZI;;;86586,82;D;;;;86628,30;41,48;;
    57.03;;COSTI ACCESSORI PER VENDITE;;;25160,00;D;;;;25160,00;;;
        57.03.01;;Trasporti su vendite;;100,00;25160,00;D;;;;25160,00;;;
    57.09;;COSTI PER UTENZE;;;46525,86;D;;;;46567,34;41,48;;
        57.09.01;;Spese telefoniche ordinarie;;;78,05;D;;;;108,05;30,00;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;78,05;D;;;;108,05;30,00;;
        57.09.03;;Spese telefoniche radiomobili;;80,00;36,63;D;;;;47,73;11,10;;
        57.09.13;;Energia elettrica;;;46376,92;D;;;;46377,30;0,38;;
            57.09.13.01;;Energia elettrica;;100,00;46376,92;D;;;;46377,30;0,38;;
        57.09.17;;Acqua potabile;;100,00;34,26;D;;;;34,26;;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;12420,81;D;;;;12420,81;;;
        57.11.01;;Spese manut.impianti e macchin.propri;;100,00;3000,00;D;;;;3000,00;;;
        57.11.03;;Spese manutenzione attrezzature proprie;;100,00;8935,33;D;;;;8935,33;;;
        57.11.07;;Altre spese manutenzione beni propri;;;485,48;D;;;;485,48;;;
            57.11.07.01;;Altre spese manutenzione beni propri;;100,00;485,48;D;;;;485,48;;;
    57.13;;MANUTENZIONE FABBRICATI;;;2480,15;D;;;;2480,15;;;
        57.13.01;;Spese manutenzione fabbricati;;;2480,15;D;;;;2480,15;;;
            57.13.01.01;;Spese manut.fabbricati strumentali;;100,00;2480,15;D;;;;2480,15;;;
59;;GESTIONE VEICOLI AZIENDALI;;;648,69;D;;;;648,69;;;
    59.01;;ESERCIZIO AUTOMEZZI;;;648,69;D;;;;648,69;;;
        59.01.01;;Carburanti e lubrificanti automezzi;;100,00;501,15;D;;;;501,15;;;
        59.01.13;;Spese manutenzione automezzi propri;;;147,54;D;;;;147,54;;;
            59.01.13.03;;Spese manutenzione automezzi propri;;100,00;147,54;D;;;;147,54;;;
61;;PRESTAZIONI DI LAVORO NON DIPENDENTE;;;6526,15;D;;;;6526,15;;;
    61.03;;ALTRE PRESTAZIONI DI LAVORO;;;5847,63;D;;;;5847,63;;;
        61.03.01;;Compensi/rimborsi co.co.co.;;;4319,00;D;;;;4319,00;;;
            61.03.01.01;;Compensi/rimborsi co.co.co.afferenti;;100,00;4319,00;D;;;;4319,00;;;
        61.03.07;;Contributi previdenziali co.co.co.;;;691,04;D;;;;691,04;;;
            61.03.07.01;;Contrib.previd. co.co.co. afferenti;;100,00;691,04;D;;;;691,04;;;
        61.03.13;;Contributi INAIL co.co.co;;100,00;837,59;D;;;;837,59;;;
    61.05;;COMPENSI ORGANI SOCIALI;;;678,52;D;;;;678,52;;;
        61.05.15;;Premi INAIL soci/titolari;;100,00;678,52;D;;;;678,52;;;
63;;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;;;7700,00;D;;;;7700,00;;;
    63.01;;SPESE COMMERCIALI E DI VIAGGIO;;;95,82;D;;;;95,82;;;
        63.01.21;;Spese rappres.deduc.(con limite ricavi);;100,00;95,82;D;;;;95,82;;;
    63.05;;SPESE AMMINISTRATIVE E GENERALI;;;7604,18;D;;;;7604,18;;;
        63.05.01;;Spese postali;;100,00;3,00;D;;;;3,00;;;
