47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-960755,20;A;;;;;960755,20;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-960155,20;A;;;;;960155,20;;
        47.01.01;;Vendita prodotti finiti;;100,00;-953855,20;A;;;;;953855,20;;
        47.01.03;;Vendita merci;;100,00;-6300,00;A;;;;;6300,00;;
    47.09;;RICAVI ACCESSORI DI VENDITA;;;-600,00;A;;;;;600,00;;
        47.09.01;;Rivalsa spese di trasporto e installaz.;;100,00;-600,00;A;;;;;600,00;;
53;;ALTRI RICAVI E PROVENTI;;;-21572,70;A;;;;;21572,70;;
    53.01;;PROVENTI DIVERSI;;;-21572,70;A;;;;;21572,70;;
        53.01.01;;Proventi immobiliari;;;-19000,00;A;;;;;19000,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-19000,00;A;;;;;19000,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-18,70;A;;;;;18,70;;
        53.01.51;;Altri ricavi e proventi;;;-2554,00;A;;;;;2554,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-2554,00;A;;;;;2554,00;;
55;;ACQUISTI DI BENI;;;426376,42;D;;;;430075,74;3699,32;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;410894,45;D;;;;414552,95;3658,50;;
        55.01.01;;Acquisti materie prime;;100,00;395037,62;D;;;;398696,12;3658,50;;
        55.01.05;;Acquisti materiali di consumo;;100,00;3648,74;D;;;;3648,74;;;
        55.01.09;;Confezioni e imballi;;100,00;12206,49;D;;;;12206,49;;;
        55.01.19;;Oneri accessori su acquisti;;100,00;1,60;D;;;;1,60;;;
    55.07;;ACQUISTI DIVERSI;;;15481,97;D;;;;15522,79;40,82;;
        55.07.11;;Materiali manutenz.impianti e macchinari;;100,00;5677,50;D;;;;5677,50;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;9697,68;D;;;;9697,68;;;
        55.07.23;;Indumenti da lavoro;;100,00;106,79;D;;;;147,61;40,82;;
57;;ACQUISTI DI SERVIZI;;;139692,29;D;;;;139786,58;94,29;;
