47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-1537933,94;A;;;;;1537933,94;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-1537333,94;A;;;;;1537333,94;;
        47.01.01;;Vendita prodotti finiti;;100,00;-1482938,94;A;;;;;1482938,94;;
        47.01.03;;Vendita merci;;100,00;-54395,00;A;;;;;54395,00;;
    47.09;;RICAVI ACCESSORI DI VENDITA;;;-600,00;A;;;;;600,00;;
        47.09.01;;Rivalsa spese di trasporto e installaz.;;100,00;-600,00;A;;;;;600,00;;
53;;ALTRI RICAVI E PROVENTI;;;-33206,32;A;;;;;33206,32;;
    53.01;;PROVENTI DIVERSI;;;-32980,42;A;;;;;32980,42;;
        53.01.01;;Proventi immobiliari;;;-30400,00;A;;;;;30400,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-30400,00;A;;;;;30400,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-26,42;A;;;;;26,42;;
        53.01.51;;Altri ricavi e proventi;;;-2554,00;A;;;;;2554,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-2554,00;A;;;;;2554,00;;
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;;-225,90;A;;;;;225,90;;
        53.09.01;;Plusvalenze da eventi straordinari;;;-225,90;A;;;;;225,90;;
            53.09.01.11;;Plusv.e altri proventi da eventi straor.;;100,00;-225,90;A;;;;;225,90;;
55;;ACQUISTI DI BENI;;;598207,73;D;;;;603747,05;5539,32;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;579021,77;D;;;;584520,27;5498,50;;
        55.01.01;;Acquisti materie prime;;100,00;554929,59;D;;;;560428,09;5498,50;;
        55.01.05;;Acquisti materiali di consumo;;100,00;5729,44;D;;;;5729,44;;;
        55.01.09;;Confezioni e imballi;;100,00;18361,14;D;;;;18361,14;;;
        55.01.19;;Oneri accessori su acquisti;;100,00;1,60;D;;;;1,60;;;
    55.07;;ACQUISTI DIVERSI;;;19185,96;D;;;;19226,78;40,82;;
        55.07.03;;Attrezzatura minuta;;100,00;529,49;D;;;;529,49;;;
        55.07.11;;Materiali manutenz.impianti e macchinari;;100,00;7258,18;D;;;;7258,18;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;11162,48;D;;;;11162,48;;;
        55.07.23;;Indumenti da lavoro;;100,00;235,81;D;;;;276,63;40,82;;
57;;ACQUISTI DI SERVIZI;;;224361,68;D;;;;224542,42;180,74;;
    57.03;;COSTI ACCESSORI PER VENDITE;;;67130,00;D;;;;67130,00;;;
        57.03.01;;Trasporti su vendite;;100,00;67130,00;D;;;;67130,00;;;
    57.09;;COSTI PER UTENZE;;;134410,91;D;;;;134591,65;180,74;;
        57.09.01;;Spese telefoniche ordinarie;;;194,81;D;;;;318,86;124,05;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;194,81;D;;;;318,86;124,05;;
        57.09.03;;Spese telefoniche radiomobili;;80,00;218,67;D;;;;274,17;55,50;;
        57.09.13;;Energia elettrica;;;133706,33;D;;;;133707,52;1,19;;
            57.09.13.01;;Energia elettrica;;100,00;133706,33;D;;;;133707,52;1,19;;
        57.09.17;;Acqua potabile;;100,00;291,10;D;;;;291,10;;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;20340,62;D;;;;20340,62;;;
        57.11.01;;Spese manut.impianti e macchin.propri;;100,00;8323,21;D;;;;8323,21;;;
        57.11.03;;Spese manutenzione attrezzature proprie;;100,00;10951,93;D;;;;10951,93;;;
        57.11.07;;Altre spese manutenzione beni propri;;;1065,48;D;;;;1065,48;;;
            57.11.07.01;;Altre spese manutenzione beni propri;;100,00;1065,48;D;;;;1065,48;;;
    57.13;;MANUTENZIONE FABBRICATI;;;2480,15;D;;;;2480,15;;;
        57.13.01;;Spese manutenzione fabbricati;;;2480,15;D;;;;2480,15;;;
            57.13.01.01;;Spese manut.fabbricati strumentali;;100,00;2480,15;D;;;;2480,15;;;
59;;GESTIONE VEICOLI AZIENDALI;;;3797,47;D;;;;3797,47;;;
    59.01;;ESERCIZIO AUTOMEZZI;;;2897,47;D;;;;2897,47;;;
        59.01.01;;Carburanti e lubrificanti automezzi;;100,00;2464,87;D;;;;2464,87;;;
        59.01.13;;Spese manutenzione automezzi propri;;;432,60;D;;;;432,60;;;
            59.01.13.03;;Spese manutenzione automezzi propri;;100,00;432,60;D;;;;432,60;;;
    59.03;;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;;;900,00;D;;;;900,00;;;
        59.03.03;;Premi assicurazioni veicoli;;;900,00;D;;;;900,00;;;
            59.03.03.01;;Premi assicur.veicoli aziendali deduc.;;100,00;900,00;D;;;;900,00;;;
61;;PRESTAZIONI DI LAVORO NON DIPENDENTE;;;15615,39;D;;;;15615,39;;;
    61.01;;PRESTAZIONI DI LAVORO AUTONOMO;;;738,40;D;;;;738,40;;;
        61.01.11;;Consulenze/prestazioni diverse;;;714,40;D;;;;714,40;;;
            61.01.11.05;;Consulenze non afferenti diverse;;100,00;714,40;D;;;;714,40;;;
        61.01.19;;Contributi cassa previdenza lav.autonomo;;;24,00;D;;;;24,00;;;
            61.01.19.03;;Contrib.cassa previd.lav.aut. non affer.;;100,00;24,00;D;;;;24,00;;;
