47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-1713121,34;A;;;;382,65;1713503,99;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-1712521,34;A;;;;382,65;1712903,99;;
        47.01.01;;Vendita prodotti finiti;;100,00;-1656026,34;A;;;;382,65;1656408,99;;
        47.01.03;;Vendita merci;;100,00;-56495,00;A;;;;;56495,00;;
    47.09;;RICAVI ACCESSORI DI VENDITA;;;-600,00;A;;;;;600,00;;
        47.09.01;;Rivalsa spese di trasporto e installaz.;;100,00;-600,00;A;;;;;600,00;;
53;;ALTRI RICAVI E PROVENTI;;;-37009,56;A;;;;;37009,56;;
    53.01;;PROVENTI DIVERSI;;;-36783,66;A;;;;;36783,66;;
        53.01.01;;Proventi immobiliari;;;-34200,00;A;;;;;34200,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-34200,00;A;;;;;34200,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-29,66;A;;;;;29,66;;
        53.01.51;;Altri ricavi e proventi;;;-2554,00;A;;;;;2554,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-2554,00;A;;;;;2554,00;;
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;;-225,90;A;;;;;225,90;;
        53.09.01;;Plusvalenze da eventi straordinari;;;-225,90;A;;;;;225,90;;
            53.09.01.11;;Plusv.e altri proventi da eventi straor.;;100,00;-225,90;A;;;;;225,90;;
55;;ACQUISTI DI BENI;;;751894,17;D;;;;786301,62;34407,45;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;732474,97;D;;;;766841,60;34366,63;;
        55.01.01;;Acquisti materie prime;;100,00;708382,79;D;;;;742749,42;34366,63;;
        55.01.05;;Acquisti materiali di consumo;;100,00;5729,44;D;;;;5729,44;;;
        55.01.09;;Confezioni e imballi;;100,00;18361,14;D;;;;18361,14;;;
        55.01.19;;Oneri accessori su acquisti;;100,00;1,60;D;;;;1,60;;;
    55.07;;ACQUISTI DIVERSI;;;19419,20;D;;;;19460,02;40,82;;
        55.07.03;;Attrezzatura minuta;;100,00;537,68;D;;;;537,68;;;
        55.07.11;;Materiali manutenz.impianti e macchinari;;100,00;7258,18;D;;;;7258,18;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;11363,02;D;;;;11363,02;;;
        55.07.23;;Indumenti da lavoro;;100,00;260,32;D;;;;301,14;40,82;;
