47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;-2315184,80;A;;;;382,65;2315567,45;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;-2314584,80;A;;;;382,65;2314967,45;;
        47.01.01;;Vendita prodotti finiti;100,00;-2250999,80;A;;;;382,65;2251382,45;;
        47.01.03;;Vendita merci;100,00;-63585,00;A;;;;;63585,00;;
    47.09;;RICAVI ACCESSORI DI VENDITA;;-600,00;A;;;;;600,00;;
        47.09.01;;Rivalsa spese di trasporto e installaz.;100,00;-600,00;A;;;;;600,00;;
49;;VARIAZ.RIM.FINALI E COSTRUZIONI INTERNE;;-232260,00;A;;;;;232260,00;;
    49.01;;RIMANENZE FINALI;;-232260,00;A;;;;;232260,00;;
        49.01.13;;Rim.finali mat.prime,sussid.e di consumo;100,00;-232260,00;A;;;;;232260,00;;
51;;VARIAZ. RIMANENZE INIZIALI;;225000,00;D;;;;225000,00;;;
    51.01;;RIMANENZE INIZIALI;;225000,00;D;;;;225000,00;;;
        51.01.13;;Rim.iniz.mat.prime, sussid.e di consumo;100,00;225000,00;D;;;;225000,00;;;
53;;ALTRI RICAVI E PROVENTI;;-49673,90;A;;;;;49673,90;;
    53.01;;PROVENTI DIVERSI;;-49448,00;A;;;;;49448,00;;
        53.01.01;;Proventi immobiliari;;-45600,00;A;;;;;45600,00;;
            53.01.01.01;;Proventi da immobili strumentali;100,00;-45600,00;A;;;;;45600,00;;
        53.01.15;;Risarcim.danni perdita prodotti/sinistri;100,00;-748,50;A;;;;;748,50;;
        53.01.29;;Arrotondamenti attivi diversi;100,00;-40,00;A;;;;;40,00;;
        53.01.51;;Altri ricavi e proventi;;-3059,50;A;;;;;3059,50;;
            53.01.51.01;;Altri ricavi e proventi imponibili;100,00;-3059,50;A;;;;;3059,50;;
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;-225,90;A;;;;;225,90;;
        53.09.01;;Plusvalenze da eventi straordinari;;-225,90;A;;;;;225,90;;
            53.09.01.11;;Plusv.e altri proventi da eventi straor.;100,00;-225,90;A;;;;;225,90;;
55;;ACQUISTI DI BENI;;1485861,88;D;;;;1527357,33;41495,45;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;1463892,34;D;;;;1505346,97;41454,63;;
        55.01.01;;Acquisti materie prime;100,00;1433709,64;D;;;;1475164,27;41454,63;;
        55.01.05;;Acquisti materiali di consumo;100,00;8161,86;D;;;;8161,86;;;
        55.01.09;;Confezioni e imballi;100,00;22019,24;D;;;;22019,24;;;
        55.01.19;;Oneri accessori su acquisti;100,00;1,60;D;;;;1,60;;;
    55.07;;ACQUISTI DIVERSI;;21969,54;D;;;;22010,36;40,82;;
        55.07.03;;Attrezzatura minuta;100,00;537,68;D;;;;537,68;;;
        55.07.11;;Materiali manutenz.impianti e macchinari;100,00;7258,18;D;;;;7258,18;;;
        55.07.13;;Materiali manutenzioni diverse;100,00;13869,11;D;;;;13869,11;;;
        55.07.23;;Indumenti da lavoro;100,00;304,57;D;;;;345,39;40,82;;
57;;ACQUISTI DI SERVIZI;;344815,81;D;;;;345096,95;281,14;;
    57.03;;COSTI ACCESSORI PER VENDITE;;103702,00;D;;;;103702,00;;;
        57.03.01;;Trasporti su vendite;100,00;103702,00;D;;;;103702,00;;;
    57.09;;COSTI PER UTENZE;;209598,41;D;;;;209879,55;281,14;;
        57.09.01;;Spese telefoniche ordinarie;;315,38;D;;;;495,43;180,05;;
            57.09.01.01;;Spese telefoniche ordinarie;80,00;315,38;D;;;;495,43;180,05;;
        57.09.03;;Spese telefoniche radiomobili;80,00;573,71;D;;;;673,61;99,90;;
        57.09.13;;Energia elettrica;;208167,97;D;;;;208169,16;1,19;;
            57.09.13.01;;Energia elettrica;100,00;208167,97;D;;;;208169,16;1,19;;
        57.09.17;;Acqua potabile;100,00;541,35;D;;;;541,35;;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;29035,25;D;;;;29035,25;;;
        57.11.01;;Spese manut.impianti e macchin.propri;100,00;16294,43;D;;;;16294,43;;;
        57.11.03;;Spese manutenzione attrezzature proprie;100,00;11146,93;D;;;;11146,93;;;
        57.11.07;;Altre spese manutenzione beni propri;;1593,89;D;;;;1593,89;;;
            57.11.07.01;;Altre spese manutenzione beni propri;100,00;1593,89;D;;;;1593,89;;;
    57.13;;MANUTENZIONE FABBRICATI;;2480,15;D;;;;2480,15;;;
        57.13.01;;Spese manutenzione fabbricati;;2480,15;D;;;;2480,15;;;
            57.13.01.01;;Spese manut.fabbricati strumentali;100,00;2480,15;D;;;;2480,15;;;
59;;GESTIONE VEICOLI AZIENDALI;;5809,14;D;;;;5809,14;;;
    59.01;;ESERCIZIO AUTOMEZZI;;4909,14;D;;;;4909,14;;;
        59.01.01;;Carburanti e lubrificanti automezzi;100,00;3876,39;D;;;;3876,39;;;
        59.01.13;;Spese manutenzione automezzi propri;;1012,75;D;;;;1012,75;;;
            59.01.13.03;;Spese manutenzione automezzi propri;100,00;1012,75;D;;;;1012,75;;;
        59.01.25;;Servizi generali vari automezzi;100,00;20,00;D;;;;20,00;;;
    59.03;;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;;900,00;D;;;;900,00;;;
        59.03.03;;Premi assicurazioni veicoli;;900,00;D;;;;900,00;;;
            59.03.03.01;;Premi assicur.veicoli aziendali deduc.;100,00;900,00;D;;;;900,00;;;
61;;PRESTAZIONI DI LAVORO NON DIPENDENTE;;23535,05;D;;;;23814,23;279,18;;
    61.01;;PRESTAZIONI DI LAVORO AUTONOMO;;2256,80;D;;;;2256,80;;;
        61.01.11;;Consulenze/prestazioni diverse;;2184,80;D;;;;2184,80;;;
            61.01.11.05;;Consulenze non afferenti diverse;100,00;2184,80;D;;;;2184,80;;;
        61.01.19;;Contributi cassa previdenza lav.autonomo;;72,00;D;;;;72,00;;;
            61.01.19.03;;Contrib.cassa previd.lav.aut. non affer.;100,00;72,00;D;;;;72,00;;;
    61.03;;ALTRE PRESTAZIONI DI LAVORO;;20599,73;D;;;;20878,91;279,18;;
        61.03.01;;Compensi/rimborsi co.co.co.;;17277,00;D;;;;17277,00;;;
            61.03.01.01;;Compensi/rimborsi co.co.co.afferenti;100,00;17277,00;D;;;;17277,00;;;
        61.03.07;;Contributi previdenziali co.co.co.;;2764,32;D;;;;2764,32;;;
            61.03.07.01;;Contrib.previd. co.co.co. afferenti;100,00;2764,32;D;;;;2764,32;;;
        61.03.13;;Contributi INAIL co.co.co;100,00;558,41;D;;;;837,59;279,18;;
    61.05;;COMPENSI ORGANI SOCIALI;;678,52;D;;;;678,52;;;
        61.05.15;;Premi INAIL soci/titolari;100,00;678,52;D;;;;678,52;;;
63;;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;;35992,33;D;;;;39541,07;3548,74;;
    63.01;;SPESE COMMERCIALI E DI VIAGGIO;;1058,02;D;;;;1058,02;;;
        63.01.09;;Spese per alberghi e ristoranti;;295,50;D;;;;295,50;;;
            63.01.09.03;;Sp.alberghi,rist(rappr.con limite ricavi);75,00;295,50;D;;;;295,50;;;
        63.01.21;;Spese rappres.deduc.(con limite ricavi);100,00;762,52;D;;;;762,52;;;
    63.05;;SPESE AMMINISTRATIVE E GENERALI;;34934,31;D;;;;38483,05;3548,74;;
        63.05.01;;Spese postali;100,00;64,50;D;;;;64,50;;;
        63.05.07;;Servizi contabili di terzi;100,00;14430,72;D;;;;14695,84;265,12;;
        63.05.11;;Altre spese amministrative;100,00;6794,30;D;;;;6794,30;;;
        63.05.13;;Premi di assicurazioni non obbligatorie;;9500,16;D;;;;12783,78;3283,62;;
            63.05.13.01;;Premi di assicuraz.non obblig.deducibili;100,00;9080,16;D;;;;12363,78;3283,62;;
            63.05.13.03;;Premi di assicuraz.non obblig.indeducib.;;420,00;D;;;;420,00;;;
        63.05.17;;Servizi di vigilanza;100,00;1740,00;D;;;;1740,00;;;
        63.05.19;;Servizi smaltimento rifiuti;100,00;128,90;D;;;;128,90;;;
        63.05.23;;Valori bollati;100,00;451,04;D;;;;451,04;;;
        63.05.25;;Assistenza software;100,00;1824,69;D;;;;1824,69;;;
65;;COSTI PER GODIMENTO BENI DI TERZI;;48206,54;D;;;;55134,81;6928,27;;
    65.01;;GESTIONE IMMOBILI;;31800,00;D;;;;31800,00;;;
        65.01.05;;Canoni locazione immobili;;31800,00;D;;;;31800,00;;;
            65.01.05.01;;Canoni locazione immobili deducibili;100,00;31800,00;D;;;;31800,00;;;
    65.05;;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;;16406,54;D;;;;23334,81;6928,27;;
        65.05.03;;Canoni leasing impianti e macchinari;100,00;6325,56;D;;;;13253,83;6928,27;;
        65.05.09;;Inter.canoni leasing imp.e macchinari;100,00;136,44;D;;;;136,44;;;
        65.05.15;;Canoni noleggio attrezzature;100,00;9944,54;D;;;;9944,54;;;
67;;COSTI PERSONALE DIPENDENTE;;134495,50;D;;;;138868,00;4372,50;;
    67.01;;COSTI PERSONALE DIPENDENTE;;133197,50;D;;;;137570,00;4372,50;;
        67.01.01;;Retribuzioni lorde;;96363,92;D;;;;99124,96;2761,04;;
            67.01.01.01;;Retribuzioni lorde dipendenti ordinari;100,00;95109,14;D;;;;97870,18;2761,04;;
            67.01.01.05;;Retribuzioni lorde apprendisti;100,00;1254,78;D;;;;1254,78;;;
        67.01.03;;Contributi INPS;;25889,07;D;;;;26546,35;657,28;;
            67.01.03.01;;Contributi INPS dipendenti ordinari;100,00;25868,41;D;;;;26525,69;657,28;;
            67.01.03.05;;Contributi INPS apprendisti;100,00;20,66;D;;;;20,66;;;
        67.01.07;;Quote TFR dipendenti;;7516,42;D;;;;7516,42;;;
            67.01.07.01;;Quote TFR dipend.ordinari (in azienda);100,00;6774,08;D;;;;6774,08;;;
            67.01.07.07;;Quote TFR apprendisti (in azienda);100,00;98,20;D;;;;98,20;;;
            67.01.07.21;;Quote TFR (Qu.I.R.) dipendenti ordinari;100,00;644,14;D;;;;644,14;;;
        67.01.09;;Contrib.altri enti previdenz./assistenz.;;863,94;D;;;;863,94;;;
            67.01.09.01;;Contrib.altri enti previd/ass.dip.ordin.;100,00;842,89;D;;;;842,89;;;
            67.01.09.03;;Contrib.altri enti previd/ass.apprend.;100,00;21,05;D;;;;21,05;;;
        67.01.11;;Premi INAIL;100,00;2564,15;D;;;;3518,33;954,18;;
    67.03;;COSTI DIVERSI PERSONALE DIPENDENTE;;1298,00;D;;;;1298,00;;;
        67.03.13;;Ricerca, formazione e addestramento;100,00;680,00;D;;;;680,00;;;
        67.03.25;;Visite mediche periodiche ai dipendenti;100,00;280,00;D;;;;280,00;;;
        67.03.51;;Altri costi per il personale dipendente;100,00;338,00;D;;;;338,00;;;
71;;ONERI DIVERSI DI GESTIONE;;20937,81;D;;;;31730,03;10792,22;;
    71.01;;ONERI TRIBUTARI;;10096,00;D;;;;12878,00;2782,00;;
        71.01.04;;IMU;;7726,00;D;;;;7726,00;;;
        71.01.07;;Imposta di registro e concess. govern.;100,00;387,00;D;;;;615,00;228,00;;
        71.01.13;;Tassa raccolta e smaltimento rifiuti;100,00;1555,00;D;;;;4109,00;2554,00;;
        71.01.17;;TASI;100,00;428,00;D;;;;428,00;;;
    71.03;;ALTRI COSTI DI ESERCIZIO;;10736,81;D;;;;18747,03;8010,22;;
        71.03.01;;Spese, perdite e sopravvenienze passive;;7021,08;D;;;;11142,06;4120,98;;
            71.03.01.05;;Spese, perdite e sopravv.passive inded.;;7021,08;D;;;;11142,06;4120,98;;
        71.03.09;;Cancelleria varia;100,00;50,94;D;;;;50,94;;;
        71.03.11;;Abbonamenti, libri e pubblicazioni;100,00;2117,65;D;;;;6000,00;3882,35;;
        71.03.17;;Arrotondamenti passivi diversi;100,00;43,24;D;;;;43,24;;;
        71.03.51;;Costi e spese diverse;100,00;1503,90;D;;;;1510,79;6,89;;
    71.07;;COMP.NEG.DA EVENTI STRAORD./ES.PREC.;;105,00;D;;;;105,00;;;
        71.07.01;;Minusvalenze da eventi straordinari;;105,00;D;;;;105,00;;;
            71.07.01.09;;Minus.e perdite da eventi straordinari;100,00;105,00;D;;;;105,00;;;
73;;PROVENTI FINANZIARI;;-98,54;A;;;;;98,54;;
    73.13;;PROVENTI FINANZIARI VARI;;-98,54;A;;;;;98,54;;
        73.13.09;;Interessi attivi su c/c bancari;100,00;-11,67;A;;;;;11,67;;
        73.13.29;;Sconti attivi di natura finanziaria;100,00;-0,03;A;;;;;0,03;;
        73.13.51;;Altri proventi finanziari da terzi;100,00;-86,84;A;;;;;86,84;;
75;;ONERI FINANZIARI;;69753,76;D;;;;69754,56;0,80;;
    75.01;;ONERI FINANZIARI VERSO BANCHE;;60661,49;D;;;;60662,29;0,80;;
        75.01.01;;Interessi passivi bancari;100,00;13981,51;D;;;;13981,51;;;
        75.01.07;;Commissioni e spese bancarie;100,00;19261,64;D;;;;19262,44;0,80;;
        75.01.11;;Commissioni bancarie su finanziamenti;100,00;12822,43;D;;;;12822,43;;;
        75.01.17;;Commissioni disponibilit… fondi;100,00;14595,91;D;;;;14595,91;;;
    75.03;;ONERI FINANZIARI DIVERSI;;9092,27;D;;;;9092,27;;;
        75.03.05;;Interessi passivi su mutui;100,00;8382,51;D;;;;8382,51;;;
        75.03.27;;Interessi passivi di mora;;646,47;D;;;;646,47;;;
            75.03.27.01;;Interessi passivi di mora pagati;100,00;646,47;D;;;;646,47;;;
        75.03.29;;Inter.pass.per dilaz. pagamento imposte;100,00;63,29;D;;;;63,29;;;
80;;AMMORTAMENTI;;59110,75;D;;;;59110,75;;;
    80.01;;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;;793,40;D;;;;793,40;;;
        80.01.01;;Amm.to spese societarie;100,00;793,40;D;;;;793,40;;;
    80.03;;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;;58317,35;D;;;;58317,35;;;
        80.03.05;;Amm.to ordinario fabbricati strumentali;;28306,85;D;;;;28306,85;;;
            80.03.05.01;;Amm.to ordinario fabbricati strum.ded.;100,00;28306,85;D;;;;28306,85;;;
        80.03.13;;Amm.ordinario impianti condizionamento;100,00;165,00;D;;;;165,00;;;
        80.03.19;;Amm.to ordinario impianti elettrici;100,00;765,00;D;;;;765,00;;;
        80.03.23;;Amm.to ordinario impianti specifici;100,00;1493,75;D;;;;1493,75;;;
        80.03.27;;Amm.to ordinario macchinari automatici;100,00;8776,88;D;;;;8776,88;;;
        80.03.29;;Amm.to ordin.altri impianti e macchinari;100,00;14464,16;D;;;;14464,16;;;
        80.03.31;;Amm.ord.attrez.spec.industr.comm.agric.;100,00;1707,97;D;;;;1707,97;;;
        80.03.33;;Amm.to ordinario attrezz.varia e minuta;100,00;1328,00;D;;;;1328,00;;;
        80.03.41;;Amm.to ordinario costruzioni leggere;100,00;1245,00;D;;;;1245,00;;;
        80.03.47;;Amm.to ordinario telefonia mobile;;64,74;D;;;;64,74;;;
            80.03.47.01;;Amm.to ordin.telef.mobile totalm.deduc.;100,00;51,79;D;;;;51,79;;;
            80.03.47.05;;Amm.to ordin. telefonia mobile indeduc.;;12,95;D;;;;12,95;;;
84;;IMPOSTE DELL'ESERCIZIO;;7918,00;D;;;;7918,00;;;
    84.01;;IMPOSTE DELL'ESERCIZIO;;7918,00;D;;;;7918,00;;;
        84.01.03;;IRAP corrente;;7918,00;D;;;;7918,00;;;
