47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-555792,80;A;;;;1232,61;557025,41;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-555792,80;A;;;;1232,61;557025,41;;
        47.01.01;;Vendita prodotti finiti;;100,00;-554156,55;A;;;;1232,61;555389,16;;
        47.01.03;;Vendita merci;;100,00;-1636,25;A;;;;;1636,25;;
53;;ALTRI RICAVI E PROVENTI;;;-23529,32;A;;;;;23529,32;;
    53.01;;PROVENTI DIVERSI;;;-21630,51;A;;;;;21630,51;;
        53.01.01;;Proventi immobiliari;;;-11400,00;A;;;;;11400,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-11400,00;A;;;;;11400,00;;
        53.01.23;;Contributi in conto esercizio;;;-2600,00;A;;;;;2600,00;;
            53.01.23.01;;Contributi in conto esercizio impon.;;100,00;-2600,00;A;;;;;2600,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-10,51;A;;;;;10,51;;
        53.01.51;;Altri ricavi e proventi;;;-7620,00;A;;;;;7620,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-7620,00;A;;;;;7620,00;;
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;;-1898,81;A;;;;;1898,81;;
        53.09.03;;Sopravv.attive da eventi str./es.prec.;;;-1898,81;A;;;;;1898,81;;
            53.09.03.01;;Sopravv.attive imp.da ev.str./es.prec.;;100,00;-1898,81;A;;;;;1898,81;;
55;;ACQUISTI DI BENI;;;133254,45;D;;;;133334,97;80,52;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;125287,59;D;;;;125368,11;80,52;;
        55.01.01;;Acquisti materie prime;;100,00;116461,20;D;;;;116541,72;80,52;;
        55.01.05;;Acquisti materiali di consumo;;100,00;1684,37;D;;;;1684,37;;;
        55.01.09;;Confezioni e imballi;;100,00;7130,56;D;;;;7130,56;;;
        55.01.17;;Acquisti materiali vari;;100,00;11,46;D;;;;11,46;;;
    55.07;;ACQUISTI DIVERSI;;;7966,86;D;;;;7966,86;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;7966,86;D;;;;7966,86;;;
57;;ACQUISTI DI SERVIZI;;;52307,81;D;;;;52328,24;20,43;;
    57.03;;COSTI ACCESSORI PER VENDITE;;;27782,58;D;;;;27782,58;;;
        57.03.01;;Trasporti su vendite;;100,00;27782,58;D;;;;27782,58;;;
    57.09;;COSTI PER UTENZE;;;11343,70;D;;;;11364,13;20,43;;
        57.09.01;;Spese telefoniche ordinarie;;;20,00;D;;;;20,00;;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;20,00;D;;;;20,00;;;
        57.09.03;;Spese telefoniche radiomobili;;80,00;149,78;D;;;;149,78;;;
        57.09.13;;Energia elettrica;;;11173,92;D;;;;11194,35;20,43;;
            57.09.13.01;;Energia elettrica;;100,00;11173,92;D;;;;11194,35;20,43;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;13181,53;D;;;;13181,53;;;
