47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-681678,11;A;;;;1232,61;682910,72;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-681678,11;A;;;;1232,61;682910,72;;
        47.01.01;;Vendita prodotti finiti;;100,00;-680041,86;A;;;;1232,61;681274,47;;
        47.01.03;;Vendita merci;;100,00;-1636,25;A;;;;;1636,25;;
53;;ALTRI RICAVI E PROVENTI;;;-27332,68;A;;;;;27332,68;;
    53.01;;PROVENTI DIVERSI;;;-25433,87;A;;;;;25433,87;;
        53.01.01;;Proventi immobiliari;;;-15200,00;A;;;;;15200,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-15200,00;A;;;;;15200,00;;
        53.01.23;;Contributi in conto esercizio;;;-2600,00;A;;;;;2600,00;;
            53.01.23.01;;Contributi in conto esercizio impon.;;100,00;-2600,00;A;;;;;2600,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-13,87;A;;;;;13,87;;
        53.01.51;;Altri ricavi e proventi;;;-7620,00;A;;;;;7620,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-7620,00;A;;;;;7620,00;;
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;;-1898,81;A;;;;;1898,81;;
        53.09.03;;Sopravv.attive da eventi str./es.prec.;;;-1898,81;A;;;;;1898,81;;
            53.09.03.01;;Sopravv.attive imp.da ev.str./es.prec.;;100,00;-1898,81;A;;;;;1898,81;;
55;;ACQUISTI DI BENI;;;231540,58;D;;;;238002,16;6461,58;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;211352,63;D;;;;217814,21;6461,58;;
        55.01.01;;Acquisti materie prime;;100,00;194386,02;D;;;;200667,54;6281,52;;
        55.01.05;;Acquisti materiali di consumo;;100,00;2793,63;D;;;;2973,69;180,06;;
        55.01.09;;Confezioni e imballi;;100,00;14161,52;D;;;;14161,52;;;
        55.01.17;;Acquisti materiali vari;;100,00;11,46;D;;;;11,46;;;
    55.07;;ACQUISTI DIVERSI;;;10392,32;D;;;;10392,32;;;
        55.07.03;;Attrezzatura minuta;;100,00;155,49;D;;;;155,49;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;10236,83;D;;;;10236,83;;;
    55.09;;SOPRAVV.PASS.ACQUISTI EV.STR./ES.PREC.;;;9795,63;D;;;;9795,63;;;
        55.09.01;;Sopravv.pass.acquisti ev.str./es.prec.;;;9795,63;D;;;;9795,63;;;
            55.09.01.01;;Sopravv.pas.ded.acq.beni ev.str.;;100,00;9795,63;D;;;;9795,63;;;
57;;ACQUISTI DI SERVIZI;;;76725,86;D;;;;77492,79;766,93;;
    57.03;;COSTI ACCESSORI PER VENDITE;;;36256,58;D;;;;36256,58;;;
        57.03.01;;Trasporti su vendite;;100,00;36256,58;D;;;;36256,58;;;
    57.09;;COSTI PER UTENZE;;;21072,51;D;;;;21839,44;766,93;;
        57.09.01;;Spese telefoniche ordinarie;;;20,00;D;;;;20,00;;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;20,00;D;;;;20,00;;;
        57.09.03;;Spese telefoniche radiomobili;;80,00;149,78;D;;;;149,78;;;
        57.09.13;;Energia elettrica;;;20902,73;D;;;;21669,66;766,93;;
            57.09.13.01;;Energia elettrica;;100,00;20902,73;D;;;;21669,66;766,93;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;19396,77;D;;;;19396,77;;;
        57.11.01;;Spese manut.impianti e macchin.propri;;100,00;5251,74;D;;;;5251,74;;;
        57.11.03;;Spese manutenzione attrezzature proprie;;100,00;14145,03;D;;;;14145,03;;;
59;;GESTIONE VEICOLI AZIENDALI;;;1425,16;D;;;;1425,16;;;
    59.01;;ESERCIZIO AUTOMEZZI;;;1353,22;D;;;;1353,22;;;
        59.01.01;;Carburanti e lubrificanti automezzi;;100,00;1289,43;D;;;;1289,43;;;
        59.01.13;;Spese manutenzione automezzi propri;;;63,79;D;;;;63,79;;;
            59.01.13.03;;Spese manutenzione automezzi propri;;100,00;63,79;D;;;;63,79;;;
    59.03;;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;;;71,94;D;;;;71,94;;;
        59.03.13;;Tasse possesso veicoli;;;71,94;D;;;;71,94;;;
            59.03.13.01;;Tassa possesso veicoli aziendali deduc.;;100,00;71,94;D;;;;71,94;;;
61;;PRESTAZIONI DI LAVORO NON DIPENDENTE;;;8198,56;D;;;;8198,56;;;
    61.01;;PRESTAZIONI DI LAVORO AUTONOMO;;;1329,04;D;;;;1329,04;;;
        61.01.05;;Consulenze legali;;100,00;783,04;D;;;;783,04;;;
        61.01.17;;Altri costi per prestazioni di terzi;;;546,00;D;;;;546,00;;;
            61.01.17.03;;Altri costi per prest.di terzi non affer.;;100,00;546,00;D;;;;546,00;;;
    61.03;;ALTRE PRESTAZIONI DI LAVORO;;;6869,52;D;;;;6869,52;;;
        61.03.01;;Compensi/rimborsi co.co.co.;;;5922,00;D;;;;5922,00;;;
            61.03.01.01;;Compensi/rimborsi co.co.co.afferenti;;100,00;5922,00;D;;;;5922,00;;;
        61.03.07;;Contributi previdenziali co.co.co.;;;947,52;D;;;;947,52;;;
            61.03.07.01;;Contrib.previd. co.co.co. afferenti;;100,00;947,52;D;;;;947,52;;;
63;;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;;;6232,10;D;;;;6380,19;25,00;-123,09;A
    63.01;;SPESE COMMERCIALI E DI VIAGGIO;;;258,60;D;;;;258,60;;;
        63.01.21;;Spese rappres.deduc.(con limite ricavi);;100,00;258,60;D;;;;258,60;;;
    63.05;;SPESE AMMINISTRATIVE E GENERALI;;;5973,50;D;;;;6121,59;25,00;-123,09;A
        63.05.01;;Spese postali;;100,00;11,40;D;;;;11,40;;;
        63.05.07;;Servizi contabili di terzi;;100,00;3024,27;D;;;;3024,27;;;
        63.05.11;;Altre spese amministrative;;100,00;62,10;D;;;;62,10;;;
        63.05.13;;Premi di assicurazioni non obbligatorie;;;2566,54;D;;;;2689,63;;-123,09;A
            63.05.13.01;;Premi di assicuraz.non obblig.deducibili;;100,00;2566,54;D;;;;2689,63;;-123,09;A
        63.05.23;;Valori bollati;;100,00;249,19;D;;;;274,19;25,00;;
        63.05.25;;Assistenza software;;100,00;60,00;D;;;;60,00;;;
65;;COSTI PER GODIMENTO BENI DI TERZI;;;23431,79;D;;;;30600,22;42,94;-7125,49;A
    65.01;;GESTIONE IMMOBILI;;;7950,00;D;;;;7950,00;;;
        65.01.05;;Canoni locazione immobili;;;7950,00;D;;;;7950,00;;;
            65.01.05.01;;Canoni locazione immobili deducibili;;100,00;7950,00;D;;;;7950,00;;;
