47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-915381,46;A;;;;1232,61;916614,07;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-915381,46;A;;;;1232,61;916614,07;;
        47.01.01;;Vendita prodotti finiti;;100,00;-912738,91;A;;;;1232,61;913971,52;;
        47.01.03;;Vendita merci;;100,00;-2642,55;A;;;;;2642,55;;
53;;ALTRI RICAVI E PROVENTI;;;-31137,34;A;;;;;31137,34;;
    53.01;;PROVENTI DIVERSI;;;-29238,53;A;;;;;29238,53;;
        53.01.01;;Proventi immobiliari;;;-19000,00;A;;;;;19000,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-19000,00;A;;;;;19000,00;;
        53.01.23;;Contributi in conto esercizio;;;-2600,00;A;;;;;2600,00;;
            53.01.23.01;;Contributi in conto esercizio impon.;;100,00;-2600,00;A;;;;;2600,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-18,53;A;;;;;18,53;;
        53.01.51;;Altri ricavi e proventi;;;-7620,00;A;;;;;7620,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-7620,00;A;;;;;7620,00;;
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;;-1898,81;A;;;;;1898,81;;
        53.09.03;;Sopravv.attive da eventi str./es.prec.;;;-1898,81;A;;;;;1898,81;;
            53.09.03.01;;Sopravv.attive imp.da ev.str./es.prec.;;100,00;-1898,81;A;;;;;1898,81;;
55;;ACQUISTI DI BENI;;;275904,71;D;;;;282417,93;6513,22;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;252787,26;D;;;;259248,84;6461,58;;
        55.01.01;;Acquisti materie prime;;100,00;234864,82;D;;;;241146,34;6281,52;;
        55.01.05;;Acquisti materiali di consumo;;100,00;3749,46;D;;;;3929,52;180,06;;
        55.01.09;;Confezioni e imballi;;100,00;14161,52;D;;;;14161,52;;;
        55.01.17;;Acquisti materiali vari;;100,00;11,46;D;;;;11,46;;;
    55.07;;ACQUISTI DIVERSI;;;13321,82;D;;;;13373,46;51,64;;
        55.07.03;;Attrezzatura minuta;;100,00;155,49;D;;;;155,49;;;
        55.07.11;;Materiali manutenz.impianti e macchinari;;100,00;2261,41;D;;;;2261,41;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;10743,72;D;;;;10795,36;51,64;;
        55.07.23;;Indumenti da lavoro;;100,00;161,20;D;;;;161,20;;;
    55.09;;SOPRAVV.PASS.ACQUISTI EV.STR./ES.PREC.;;;9795,63;D;;;;9795,63;;;
        55.09.01;;Sopravv.pass.acquisti ev.str./es.prec.;;;9795,63;D;;;;9795,63;;;
            55.09.01.01;;Sopravv.pas.ded.acq.beni ev.str.;;100,00;9795,63;D;;;;9795,63;;;
57;;ACQUISTI DI SERVIZI;;;100465,51;D;;;;102354,44;1888,93;;
    57.03;;COSTI ACCESSORI PER VENDITE;;;48331,58;D;;;;49453,58;1122,00;;
        57.03.01;;Trasporti su vendite;;100,00;48331,58;D;;;;49453,58;1122,00;;
    57.09;;COSTI PER UTENZE;;;32344,36;D;;;;33111,29;766,93;;
        57.09.01;;Spese telefoniche ordinarie;;;20,00;D;;;;20,00;;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;20,00;D;;;;20,00;;;
        57.09.03;;Spese telefoniche radiomobili;;80,00;389,67;D;;;;389,67;;;
        57.09.13;;Energia elettrica;;;31794,83;D;;;;32561,76;766,93;;
            57.09.13.01;;Energia elettrica;;100,00;31794,83;D;;;;32561,76;766,93;;
        57.09.17;;Acqua potabile;;100,00;139,86;D;;;;139,86;;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;19789,57;D;;;;19789,57;;;
        57.11.01;;Spese manut.impianti e macchin.propri;;100,00;5644,54;D;;;;5644,54;;;
        57.11.03;;Spese manutenzione attrezzature proprie;;100,00;14145,03;D;;;;14145,03;;;
59;;GESTIONE VEICOLI AZIENDALI;;;2963,96;D;;;;2963,96;;;
