47;0;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;85429,74
47.11;0;RICAVI DA PRESTAZIONI;;85429,74
47.11.03;0;Prestazioni di servizi;;85429,74
55;0;ACQUISTI DI BENI;7071,04;
55.01;0;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;154,17;
55.01.05;0;Acquisti materiali di consumo;154,17;
55.03;0;ACQUISTI PER LA PRODUZIONE DI SERVIZI;4092,83;
55.03.01;0;Acq.beni materiali per produz. servizi;1167,86;
55.03.03;0;Acq.materiali di consumo (att.servizi);2924,97;
55.07;0;ACQUISTI DIVERSI;2824,04;
55.07.01;0;Acquisto beni strumentali inf.516,46;602,80;
55.07.01.01;0;Acquisto beni strument.inf.516,46 ded.;426,41;
55.07.01.03;0;Acq.beni strum.inf.516,46 tel.fissa/mob.;176,39;
55.07.03;0;Attrezzatura minuta;403,52;
55.07.17;0;Cancelleria varia;1817,72;
57;0;ACQUISTI DI SERVIZI;7177,81;
57.01;0;SERVIZI PER LA PRODUZIONE;3228,68;
57.01.51;0;Altri servizi per la produzione;3228,68;
57.01.51.03;0;Acq.servizi diversi (attiv.di servizi);3228,68;
57.03;0;COSTI ACCESSORI PER VENDITE;135,24;
57.03.01;0;Trasporti su vendite;135,24;
57.07;0;COSTI PER INTERMEDIAZIONE VENDITE;1300,00;
57.07.11;0;Altri costi di intermediazione;1300,00;
57.07.11.03;0;Altri costi di intermed.(attivit… serv.);1300,00;
57.09;0;COSTI PER UTENZE;333,89;
57.09.03;0;Spese telefoniche radiomobili;152,42;
57.09.07;0;Servizi telematici;151,20;
57.09.17;0;Acqua potabile;30,27;
57.13;0;MANUTENZIONE FABBRICATI;2180,00;
57.13.01;0;Spese manutenzione fabbricati;2180,00;
57.13.01.13;0;Spese manut.su immobili di terzi;2180,00;
61;0;PRESTAZIONI DI LAVORO NON DIPENDENTE;6857,00;
61.01;0;PRESTAZIONI DI LAVORO AUTONOMO;6857,00;
61.01.01;0;Consulenze amministrative e fiscali;450,00;
61.01.01.03;0;Consulenze ammin.e fiscali (ordinarie);450,00;
61.01.11;0;Consulenze/prestazioni diverse;5625,00;
61.01.11.01;0;Consulenze afferenti diverse;5625,00;
61.01.17;0;Altri costi per prestazioni di terzi;782,00;
61.01.17.03;0;Altri costi per prest.di terzi non affer.;782,00;
63;0;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;4697,99;
63.01;0;SPESE COMMERCIALI E DI VIAGGIO;2377,41;
63.01.09;0;Spese per alberghi e ristoranti;783,37;
63.01.09.03;0;Sp.alberghi,rist(rappr.con limite ricavi);783,37;
63.01.13;0;Spese di viaggio;1594,04;
63.03;0;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);974,03;
63.03.01;0;Spese di rappresentanza (on.gest.);974,03;
63.03.01.01;0;Sp.di rappr.ded.con lim.ricavi(on.gest.);974,03;
63.05;0;SPESE AMMINISTRATIVE E GENERALI;1346,55;
63.05.01;0;Spese postali;424,59;
63.05.07;0;Servizi contabili di terzi;921,96;
65;0;COSTI PER GODIMENTO BENI DI TERZI;8569,63;
65.01;0;GESTIONE IMMOBILI;8400,00;
65.01.05;0;Canoni locazione immobili;8400,00;
65.01.05.01;0;Canoni locazione immobili deducibili;8400,00;
65.05;0;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;38,00;
65.05.15;0;Canoni noleggio attrezzature;38,00;
65.07;0;CANONI E LICENZE SOFTWARE;131,63;
65.07.03;0;Licenze d'uso software non capitalizzati;131,63;
71;0;ONERI DIVERSI DI GESTIONE;561,07;
71.01;0;ONERI TRIBUTARI;188,00;
71.01.07;0;Imposta di registro e concess. govern.;188,00;
71.03;0;ALTRI COSTI DI ESERCIZIO;373,07;
71.03.01;0;Spese, perdite e sopravvenienze passive;0,00;
71.03.01.05;0;Spese, perdite e sopravv.passive inded.;0,00;
71.03.09;0;Cancelleria varia;373,00;
71.03.17;0;Arrotondamenti passivi diversi;0,07;
75;0;ONERI FINANZIARI;25,40;
75.01;0;ONERI FINANZIARI VERSO BANCHE;25,40;
75.01.07;0;Commissioni e spese bancarie;25,40;
75.03;0;ONERI FINANZIARI DIVERSI;0,00;
75.03.13;0;Interessi passivi versam.iva trimestrali;0,00;
80;0;AMMORTAMENTI;18,39;
80.03;0;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;18,39;
80.03.35;0;Amm.to ordinario mobili e arredi;18,39;
